West Frisian	West Frisian	probability
χ_t	x	1.0
χ	ɕ	1.0
ˈɪə̯_f	v̥	1.0
ˈɪə̯_#>	ˈuː_d̥_#>	1.0
ˈɛ_j	ˈeɪ̯	1.0
ˈɔu̯	-	1.0
ˈɔ_χ	ɕ	1.0
ˈøə̯	ˈœ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈøː	1.0
ˈoː_#>	ˈoː_#>	1.0
ˈi_t	s	1.0
ˈeː	-	1.0
ˈaː_j	ˈeɪ̯	1.0
ɣ_ə_#>	k_#>	1.0
ɣ_j	ɣ	1.0
ɣ	-	1.0
ɡ	j	1.0
ə_r	ɐ	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
z	-	1.0
t_#>	#>	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_#>	#>	1.0
m	m	1.0
l_ˈɛː	l	1.0
l_ə	ɫ	1.0
j_ˈɪ	ˈeː	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	e	1.0
j_ə	ə	1.0
h	h	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#	<#_d	1.0
f	f	0.923
d	d	0.913
ʋ	ʋ	0.9
j	-	0.692
ə	ə	0.667
<#_j	<#_j	0.667
ˈɔː	ˈa	0.6
ˈuə̯	ˈoː	0.6
ˈu	ˈo	0.6
l	l	0.6
n	n	0.577
v	ʋ	0.571
ˈa	ˈa	0.556
p	p	0.538
χ_#>	k_#>	0.5
χ_#>	#>	0.5
ˈɛː	ˈœ	0.5
ˈɛː	ˈaː	0.5
ˈɛ	ˈɛ	0.5
ʦ	k	0.5
ʦ	-	0.5
r	ʀ	0.487
k	ɕ	0.471
r	ɐ	0.462
p	f	0.462
s	ʃ	0.432
ˈɛi̯	ˈɛː	0.429
v	-	0.429
ˈɛ	-	0.417
ˈaː	ˈa	0.417
ˈɔ	ˈɔ	0.412
s	z	0.405
ˈɔː	ˈa_ɫ	0.4
ˈu	-	0.4
ˈoə̯	ˈɔː	0.4
ˈi	ˈe	0.4
l	ɫ	0.4
ˈɪ	ˈe	0.37
ˈuː	ˈuː	0.357
k	k	0.353
t	ʦ	0.351
t	s	0.351
ˈiː	ˈiː	0.333
ˈiː	-	0.333
ˈa	ˈaː	0.333
<#_j	<#	0.333
ˈi	ˈiː	0.3
ˈi	-	0.3
ə	-	0.298
t	t	0.297
ˈɛi̯	k	0.286
ˈɛi̯	-	0.286
ˈiə̯	ˈoː	0.286
ˈiə̯	ˈeː	0.286
ˈaː	ˈɛ	0.25
#>	ɡ̊_#>	0.25
#>	d̥_#>	0.25
ˈɔ	ˈo	0.235
ˈɔ	-	0.235
ˈɪ	ˈɪ	0.222
ˈuː	ˈyː	0.214
ˈuə̯	ˈoː_d	0.2
ˈuə̯	-	0.2
ˈoə̯	ˈoː	0.2
ˈoə̯	ˈo	0.2
ˈoə̯	-	0.2
ˈiə̯	ˈøː	0.19
ˈɪə̯	ˈɛ	0.188
ˈɪə̯	ˈoː	0.188
ˈɪə̯	ˈa	0.188
ˈɪə̯	-	0.188
k	x	0.176
ˈiː	ˈɪ	0.167
ˈiː	ˈeː	0.167
ˈaː	ˈoː	0.167
ˈaː	-	0.167
n	ŋ	0.154
j	ˈɛː	0.154
j	ˈeː	0.154
ˈuː	ˈɔʊ̯	0.143
ˈuː	ˈɔ	0.143
ˈuː	ˈo	0.143
ˈiə̯	ˈiː	0.143
n	ŋ_ɡ̊	0.135
ˈɪə̯	ˈuː	0.125
ˈɪə̯	ˈeː	0.125
ˈɔ	ˈu	0.118
ˈɪ	ˈɛ	0.111
ˈɪ	ˈœ	0.111
ˈɪ	-	0.111
ˈa	-	0.111
s	s	0.108
ʋ	-	0.1
#>	ə_#>	0.1
#>	ɕ_#>	0.1
#>	ɐ_#>	0.1
#>	v̥_#>	0.1
#>	f_#>	0.1
ˈiə̯	ˈɛː	0.095
d	-	0.087
ˈɛ	ˈøʏ̯	0.083
n	-	0.077
f	v̥	0.077
ˈɪ	ˈeː	0.074
n	v_ə	0.058
s	z_ˈɛ	0.054
r	d_ɐ	0.051
