Old French	Campidanese	probability
θ	ð	1.0
ˈɛ_r	ɾ_u	1.0
ˈɔ_r	ɾ_ˈo	1.0
ˈỹ	ˈu	1.0
ˈy_j	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	i	1.0
ˈã	ˈa	1.0
ˈa_j	ˈa	1.0
ˈa	ˈa	1.0
ɲ	ʤ	1.0
ɛ	-	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z	ʒ	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
ũ	-	1.0
t_ə	t_a	1.0
s_ˈɛ	s_ˈi	1.0
p	p	1.0
o	-	1.0
n_ə	n_a	1.0
m	m	1.0
k_ˈɔ	k_ˈo	1.0
k_l	k_ɾ	1.0
j_ɲ	ɲ	1.0
j_t	ð	1.0
j_s	ʒ	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
e_s	s	1.0
e	i	1.0
d_r	ɾ	1.0
b	b	1.0
ã	a	1.0
t	t	0.92
ʧ	k	0.907
a	a	0.869
k	k	0.858
n	n	0.829
ˈy	ˈu	0.794
ˈi	ˈi	0.775
ˈe_r	ˈa_i	0.693
d	d	0.691
s	s	0.679
ɡ	ɡ	0.672
ˈẽ	ˈɛ	0.668
ə	a	0.618
ʎ	ɭː	0.605
v	b	0.6
ˈe	ˈa	0.597
j_ˈɛ	ˈɛ	0.578
ʤ	ʤ	0.571
j_n	n	0.565
r_ə	i	0.554
r	ɾ	0.542
ˈɔ_j	ˈi	0.537
ˈɛ_f	u	0.5
ˈɛ_f	i	0.5
ʦ	ʧ	0.492
ˈɔ_j	ˈɛ	0.463
r_ə	ɾ_i	0.446
ˈũ	ˈo	0.438
ˈɛ	ˈa	0.436
l	l	0.435
j_n	n_u	0.435
ˈu	ˈu	0.424
j_ˈɛ	ˈe	0.422
ˈu	ˈɔ	0.42
j	i	0.347
ˈũ	ˈɔ	0.346
ɡ	ɣ	0.328
u	-	0.315
d	ʤ	0.309
v	-	0.308
ˈe_r	i	0.307
u	ɔ	0.287
w	ˈɔ	0.246
ʦ	-	0.241
ˈɛ	ˈɛ	0.239
ˈẽ	-	0.227
w	u	0.222
ˈɔ	ˈi	0.219
ʎ	u	0.219
l	ɖː	0.216
ˈũ	ˈu	0.215
r	ɾ_i	0.213
ˈe	ˈi	0.212
w	w	0.212
u	ˈɔ	0.212
ˈɔ	ˈɔ	0.21
ˈy	ˈu_ʦ	0.206
ˈɛ	ˈe	0.205
w	ˈo	0.205
u	u	0.186
ʎ	ɣ_u	0.177
ʤ	d	0.175
j	j	0.174
j	-	0.165
ˈɔ	ˈɛ	0.163
ˈu	ˈo	0.156
ʦ	ʒ	0.146
ʤ	-	0.142
ˈɔ	ˈu	0.141
ˈɔ	ˈa	0.141
j	ˈa	0.134
ˈi	ˈɛ	0.133
n	nː	0.131
a	-	0.131
ˈɔ	ˈo	0.126
l	ɾ	0.125
ʦ	u_z	0.121
ə	i	0.121
w	-	0.115
r	r	0.115
ʤ	β_j	0.111
ˈẽ	ˈe	0.105
ə	u	0.105
j	u	0.104
ˈe	i	0.103
s	z	0.103
k	k_ɾ	0.097
s	ʃ	0.096
ʧ	-	0.093
v	β_ɛ	0.092
ˈi	ˈe	0.091
l	ɭː	0.089
ˈe	-	0.088
ə	-	0.081
t	-	0.08
j	ð	0.077
l	-	0.07
l	u	0.066
ˈɛ	ˈo_ɣ	0.06
ˈɛ	ˈi	0.06
ə	ð_a	0.06
s	-	0.059
r	-	0.058
