Lengadocian	Franco-Provençal	probability
ˈɛ_s	ˈe	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_s	ˈoː	1.0
ˈɔ_k	ˈa	1.0
ˈy_β	ˈy	1.0
ˈu_n	ˈɔ̃	1.0
ˈi_w	ˈi	1.0
ˈi_n	ˈe_n	1.0
ˈe_t	ˈɛː	1.0
ˈe_k	ˈɛ_t	1.0
ˈe_j	ˈɛː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_w	w_ˈe	1.0
ˈa_t	ˈa	1.0
ˈa_s	ˈɑː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ˈa_l	ˈoː	1.0
ˈa_j	ˈaː	1.0
ʧ	-	1.0
ʎ	ʎ	1.0
ʀ_t	ʁ	1.0
ɾ_ɔ	ʁ_a	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
ð_ɔ	a	1.0
t_ɔ	t_a	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
j_ˈɛ	j_ˈø	1.0
f	f	1.0
e_ʀ	ɛ_ʁ	1.0
e_s	e	1.0
d	d	1.0
a_β	ə_v	1.0
a_ɾ	a_ð	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
l	l	0.89
ʦ	ʃ	0.861
p	p	0.851
s	s	0.848
a	a	0.819
ʀ	ʁ	0.816
t	t	0.764
ɥ	w	0.697
ɣ	-	0.682
b	v	0.64
z	z	0.62
ð	-	0.617
e_n	ə_n	0.608
w	-	0.6
ʤ	ð	0.588
ɔ	a	0.585
n	n	0.585
i	o	0.577
ˈa	ˈa	0.564
e	ə	0.564
β	v	0.562
ɾ	ʁ	0.558
ɲ	ɲ	0.531
u	o	0.493
k	k	0.492
j	ˈe	0.478
ɲ	ˈɛ̃	0.469
ˈɛ	ˈe	0.454
i	i	0.423
ʤ	ʒ	0.412
ˈy	w	0.411
ɾ	ð	0.403
e_n	ɛ̃	0.392
u	ɔ	0.39
ˈe	ˈɛː	0.389
k	ʃ	0.387
ð	j	0.383
z	-	0.38
b	b	0.36
ˈi	ˈi	0.359
ˈy	-	0.336
ɣ	ɡ	0.318
ˈɔ	ˈoː	0.304
ɥ	-	0.303
j	j	0.295
ˈy	ˈu	0.254
w	ˈoː	0.253
ɔ	ə	0.251
ˈe	ˈi	0.238
t	-	0.236
ˈi	ˈĩ	0.232
ˈe	ˈɛ	0.231
ˈi	ˈe	0.229
j	-	0.228
ˈɔ	-	0.224
e	-	0.223
ˈu	ˈɔ	0.219
ˈɛ	ˈɛ	0.215
ˈu	ˈɔ̃	0.199
ʀ	ð	0.184
ˈi	-	0.181
a	-	0.181
β	b	0.164
n	-	0.163
ˈɛ	-	0.157
e	e	0.155
p	-	0.149
w	ˈɔ	0.147
β	-	0.143
ˈe	ˈɛ̃	0.142
n	ˈɑ̃	0.14
ˈɔ	ˈu	0.139
ʦ	ʦ	0.139
ˈɔ	w	0.135
ˈa	ˈe	0.132
β	ˈe_v	0.131
ˈu	ˈo	0.129
ˈɔ	ˈø	0.122
ˈu	ˈu	0.121
u	u	0.117
n	ˈɛ̃	0.112
ˈu	w	0.109
ˈa	ˈaː	0.104
ɔ	-	0.098
s	ʃ	0.095
ˈɛ	ˈɛː	0.09
ˈu	ˈoː	0.09
k	ʃ_j	0.077
ˈɔ	ˈo	0.076
ɔ	i	0.066
l	-	0.063
ˈu	w_ˈɛː	0.059
ˈa	ˈɑ̃	0.058
e	ɛ	0.058
s	ʁ	0.056
ˈɛ	j	0.053
ˈa	ˈɛː	0.053
