Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈɛə̯_t	1.0
ˈɑː_s	ˈeə̯_z	1.0
ˈy	-	1.0
ˈoː	ˈɔə̯	1.0
ˈo	ˈo	1.0
ˈi_#>	ˈɛ_#>	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈeə̯_#>	1.0
ɲ	ɲ	1.0
ɛ	ɡ	1.0
y	u	1.0
w	v	1.0
v	v	1.0
ũ	u_n	1.0
t_#>	d_#>	1.0
p	p	1.0
o	ɐ	1.0
m_#>	m_#>	1.0
m	m	1.0
l_t	t	1.0
l	l	1.0
ĩ	i	1.0
ẽ	v_ɐ_n	1.0
e_r_#>	#>	1.0
e_r	ɐ_r	1.0
e_n	n	1.0
b	b	1.0
a_l	ɐ_l	1.0
a_#>	#>	1.0
a	ɐ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_ɐ	1.0
#>	v_#>	1.0
r	r	0.923
d	d	0.893
ɡ	ɡ	0.867
f	f	0.862
n	n	0.857
j	j	0.857
ˈã	ˈʌ̃	0.846
k	k	0.826
s	s	0.796
u	u	0.75
t	t	0.743
ʤ	ʤ	0.714
s_#>	θ_#>	0.714
ˈuː	ˈou̯	0.7
ˈu	ˈo	0.636
ʒ	ð	0.625
z	z	0.6
i	-	0.6
ˈɑː	ˈeə̯	0.565
ˈøː	ˈɔə̯	0.538
ˈɛ	ˈɛə̯	0.5
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ˈĩ	ˈẽ_j̃	0.5
ˈĩ	ˈẽ	0.5
ˈiː	ˈi	0.5
ˈẽ	ˈɛ_n	0.5
f_#>	v_ɐ_#>	0.5
f_#>	#>	0.5
ˈa	ˈa	0.455
ˈũ	ˈõũ̯	0.444
ˈe	ˈɛ	0.429
ˈe	ˈi	0.429
ʧ	θ	0.421
ˈɔ	ˈɔə̯	0.4
ˈyː	ˈo	0.4
ˈeː	ˈeː	0.4
z	-	0.4
i	i	0.4
ʒ	-	0.375
ʧ	ʧ	0.368
ˈu	ˈou̯	0.364
ˈɛ	ˈɛ	0.353
ˈɔ	ˈɔ	0.35
ˈyː	ˈou̯	0.333
ˈũ	ˈou̯_n	0.333
ˈẽ	n	0.333
ˈeː	ˈi	0.333
e	-	0.333
ˈøː	ˈu	0.308
ˈɑː	ˈʌ̃	0.304
ˈuː	-	0.3
ʤ	-	0.286
s_#>	#>	0.286
ˈa	ˈeə̯	0.273
ˈyː	ˈu	0.267
ˈeː	ˈɛ	0.267
u	-	0.25
e	i	0.25
ˈũ	n	0.222
ˈa	ˈʌ̃	0.182
ˈiː	ˈɛ	0.167
ˈiː	ˈẽ	0.167
ˈiː	ˈeː	0.167
ˈẽ	ˈɛ̃	0.167
e	ɐ	0.167
e	r	0.167
ˈøː	-	0.154
ˈã	ˈʌ̃_ŋ	0.154
ˈɔ	ˈo	0.15
ˈɛ	ˈeː	0.147
ˈe	ˈe	0.143
j	-	0.143
f	v	0.138
ɡ	-	0.133
ˈɑː	ˈa	0.13
k	ɡ	0.13
t	n_t	0.114
d	-	0.107
ʧ	ð_ɐ	0.105
ʧ	ð	0.105
ˈɔ	-	0.1
s	z	0.093
ˈa	ˈɛ	0.091
t	t_ɐ	0.086
n	-	0.086
e	e	0.083
t	d	0.057
n	ˈẽ_n	0.057
s	θ	0.056
s	z_ɐ	0.056
