West Flemish	Nynorsk Norwegian	probability
b	b	1.0
d	tʰ	0.338
d	d	0.335
d	-	0.287
f	ʋ	0.886
f	-	0.114
h	-	0.411
h	ɡ	0.364
h	k	0.226
iə̯	e	1.0
j	-	0.775
j	ˈæɪ̯	0.225
k	k	0.36
k	kʰ	0.259
k	ɕ	0.221
k	ɡː	0.051
l	l	0.836
l	lː	0.076
l	j	0.067
m	m	0.926
m	mː	0.074
n	n	0.456
n	ɑ	0.321
n	nː	0.11
n	-	0.1
p	p	0.676
p	ʰpː	0.124
p	-	0.12
p	pʰ	0.08
s	s	0.965
t	t	0.538
t	tʰ	0.123
t	d	0.109
t	-	0.075
t	ʰtː	0.054
v	f	0.65
v	-	0.17
v	ʋ	0.149
w	l	0.776
w	lː	0.202
z	s	0.726
z	ʃ	0.274
ç	ɡ	1.0
ŋ	ŋː	0.602
ŋ	-	0.192
ŋ	ʰkː	0.152
ŋ	ɲ	0.054
ə	e	0.582
ə	ɑ	0.232
ə	-	0.104
ə	ə	0.065
ɦ	ɡ	0.509
ɦ	j	0.212
ɦ	-	0.156
ɦ	ɡː	0.074
ɪ	ŋ	1.0
ɾ	ɾ	0.856
ɾ	e_ɾ	0.073
ɾ	-	0.058
ʃ	ʃ	0.54
ʃ	s	0.46
ʋ	ʋ	0.463
ʋ	-	0.312
ʋ	kʰ_ʋ	0.123
ʋ	v	0.082
ˈeː	ˈeː	0.307
ˈeː	ˈæɪ̯	0.258
ˈeː	ˈʉː	0.138
ˈeː	ˈoː	0.096
ˈeː	ˈæː	0.091
ˈeː	ˈiː	0.078
ˈi	ˈiː	0.905
ˈi	ˈeː	0.095
ˈiə̯	ˈyː	0.315
ˈiə̯	ˈʉː	0.199
ˈiə̯	ˈiː	0.124
ˈiə̯	ˈɛ	0.112
ˈiə̯	ˈoː	0.086
ˈiə̯	ˈeː	0.083
ˈiə̯	ə	0.055
ˈoː	ˈʊ	0.403
ˈoː	ˈæʉ̯	0.209
ˈoː	ˈœʏ̯	0.117
ˈoː	ˈuː	0.113
ˈoː	ˈoː	0.096
ˈu	ˈʉ	0.699
ˈu	lː	0.085
ˈu	ˈɑ	0.085
ˈu	ˈʏ	0.058
ˈuə̯	ˈuː	0.669
ˈuə̯	ˈøː	0.295
ˈyː	ˈʉː	0.755
ˈyː	ˈɔ	0.131
ˈyː	ˈʉ	0.061
ˈyː	ˈʏ	0.053
ˈæ	ˈɛ	0.347
ˈæ	-	0.141
ˈæ	j	0.139
ˈæ	ˈʏ	0.138
ˈæ	ˈɑ	0.088
ˈæ	ˈæ	0.059
ˈæ	ˈœ	0.055
ˈøː	ˈɔ	0.478
ˈøː	ˈœ	0.29
ˈøː	ˈɑː	0.172
ˈøː	ˈʉ	0.06
ˈœ	ˈʏ	0.507
ˈœ	ˈʉ	0.262
ˈœ	ˈuː	0.118
ˈœ	ˈɛ	0.114
ˈɑ	ˈɑ	0.659
ˈɑ	ˈɑː	0.121
ˈɑ	ˈɔ	0.065
ˈɑ	ˈoː	0.064
ˈɒː	ˈoː	0.435
ˈɒː	ˈɑ	0.294
ˈɒː	ˈɑː	0.215
ˈɒː	ˈæː	0.056
ˈɔ	ˈɔ	0.432
ˈɔ	ˈʉ	0.156
ˈɔ	ˈɑ	0.112
ˈɔ	ˈʉː	0.112
ˈɔ	ˈʏ	0.112
ˈɔ	-	0.076
ˈɛ	ˈɪ	0.444
ˈɛ	ˈiː	0.206
ˈɛ	ˈɛ	0.177
ˈɛ	ˈæɪ̯	0.173
ˈɛː	ˈæɪ̯	0.672
ˈɛː	ˈuː	0.218
ˈɛː	ˈøː	0.098
ˈɪ	ˈɪ	0.606
ˈɪ	ˈɛ	0.17
ˈɪ	ˈʏ	0.142
