Old Prussian	Old Prussian	probability
ŋ	ŋ	1.0
w	v	1.0
uː	ɨ	1.0
u_r	r	1.0
t_o	ʨ	1.0
oːu̯	i	1.0
n_a	n	1.0
i_s_#>	#>	1.0
i_#>	#>	1.0
eː	j	1.0
e_#>	#>	1.0
aː	ɲ	1.0
au̯	u	1.0
ai̯	ɛ_d	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
#>	a_#>	1.0
b	b	0.857
<#	<#_j	0.714
r	r	0.667
k	k	0.667
v	v	0.636
z	z	0.625
t	ʨ	0.556
m	m	0.556
i	-	0.556
e	ɛ	0.556
s	-	0.542
o	a	0.538
n	-	0.52
p	p	0.5
p	-	0.5
l	w	0.5
l	l	0.5
iː	j	0.5
iː	-	0.5
d	d	0.5
t	t	0.444
u	u	0.4
ɡ	ʐ	0.375
ɡ	ɡ̊	0.375
z	ʑ	0.375
d	ʥ	0.375
r	-	0.333
k	ʦ	0.333
a	ɔ	0.32
o	ɔ	0.308
u	ɨ	0.3
u	-	0.3
<#	<#_v	0.286
v	-	0.273
ɡ	ɡ	0.25
n	n	0.24
a	ɛ	0.24
m	m_j	0.222
m	-	0.222
i	ɛ	0.222
i	j_ɛ	0.222
s	ɕ	0.167
s	s	0.167
e	a	0.167
e	-	0.167
n	w̃	0.16
a	u	0.16
a	-	0.16
o	-	0.154
b	b̥	0.143
s	x	0.125
d	d̥	0.125
a	ɨ	0.12
e	i	0.111
v	f	0.091
n	ɛ	0.08
