Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈʊ_n	n	1.0
ˈɪ_ɡ̊	ˈɛː_x	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɛɪ̯	1.0
ˈɛ_n	n	1.0
ˈɘ	r	1.0
ˈɒː	ˈɔː	1.0
ˈuː_d̥	ˈoː_d	1.0
ˈiː_ɐ_#>	ˈi_#>	1.0
ˈiː_s	ˈɛɪ̯_t	1.0
ˈaː_x	ˈoː_k	1.0
ˈa	k_ˈɛː	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɪ	-	1.0
ɡ̊_ˈɒ	k_ˈoː	1.0
ə	-	1.0
ɐ_n	ə	1.0
ç_#>	k_#>	1.0
z̥_n	t_ə	1.0
z̥	t_ə	1.0
x_d̥	x_t	1.0
v̥	p	1.0
t	t	1.0
r	r	1.0
n_#>	#>	1.0
l_n	l_ə	1.0
l_d̥	l_d	1.0
l_#>	l_#>	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	i	1.0
d̥_n	d_ə	1.0
b̥͡v̥	p	1.0
b̥_#>	#>	1.0
a	ə	1.0
<#_ˈɒ	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
#>	k_#>	1.0
m	m	0.933
v	v	0.931
l	l	0.909
ˈaʊ̯	ˈuː	0.875
b̥	b	0.85
f	f	0.786
ç	x	0.714
s	s	0.7
d̥	d	0.617
n	n	0.605
ˈuː	ˈoːu̯	0.6
ʃ	s_k	0.583
ŋ	ŋ	0.562
ˈaː	ˈeː	0.5
ɡ̊	k	0.5
ɐ	r	0.487
ˈʊ	ˈʊ	0.471
ˈɪ	ˈɪ	0.429
ˈeː	-	0.429
ʃ	s	0.417
ˈɪ	ˈiː	0.381
ˈaː	ˈoː	0.375
ˈʊ	ˈuː	0.353
ˈaɪ̯	ˈi	0.333
ɐ	ə_r	0.333
ˈɛ	-	0.316
ˈɒ	ˈɔː	0.304
ˈeː	ˈoː_n	0.286
ɡ̊	ɣ	0.286
ç	ˈʊ_x	0.286
d̥	t	0.283
n	ə	0.279
ˈiː	j_ˈoː	0.273
ˈiː	-	0.273
x	x	0.25
x	k_ə	0.25
x	k	0.25
x	-	0.25
ˈɔ	ˈoːu̯	0.235
s	t	0.225
ˈɛ	ˈɛ	0.211
ˈɛ	ˈeː	0.211
ˈuː	ˈoː	0.2
ˈuː	-	0.2
ˈaɪ̯	ˈɛɪ̯	0.19
ŋ	ɣ_j	0.188
ˈʊ	-	0.176
ˈɔ	ˈʊ	0.176
ˈɔ	ˈɔ	0.176
ˈɔ	-	0.176
ˈɒ	ˈoːu̯	0.174
ˈɒ	ˈa	0.174
ˈɒ	-	0.174
ˈɛ	ˈa	0.158
ˈoː	ˈɛɪ̯	0.15
ˈoː	ˈɔː	0.15
ˈoː	ˈoː	0.15
ˈoː	-	0.15
b̥	f	0.15
ˈeː	ˈœː	0.143
ˈeː	ˈiːu̯	0.143
ˈaɪ̯	ˈiː	0.143
ˈaɪ̯	j_ˈuː	0.143
ˈiː	ˈɛɪ̯	0.136
ˈiː	ˈi	0.136
ˈaː	ˈaː	0.125
ˈaʊ̯	ˈøː	0.125
ŋ	ɣ_ə	0.125
ŋ	-	0.125
ˈɔ	ˈɔː	0.118
ˈɔ	ˈoːu̯_d	0.118
f	p	0.107
f	-	0.107
ˈɛ	ˈiː	0.105
ˈoː	ˈɛ	0.1
ˈoː	ˈoːu̯	0.1
ˈoː	ˈiː	0.1
ˈoː	n	0.1
ˈɪ	j_ˈʊ	0.095
ˈɪ	-	0.095
ˈaɪ̯	ˈyː	0.095
ˈaɪ̯	ˈuː	0.095
ˈiː	ˈɪ	0.091
ˈiː	j	0.091
l	l_ə	0.091
ˈɒ	ˈoː	0.087
ˈɒ	ˈaː	0.087
ɐ	-	0.077
s	z	0.075
ɡ̊	ɡ	0.071
ɡ̊	x	0.071
ɡ̊	s	0.071
n	n_d	0.07
v	-	0.069
m	w	0.067
ɐ	ˈiː_r	0.051
ɐ	ə	0.051
