Hoisanese	Hoisanese	probability
⁵⁵_#>	#>	1.0
ᵐb	m	1.0
ʦ	t	1.0
ɔ_n	n_ʔ	1.0
ŋ_³²	ŋ_s	1.0
ŋ	ŋ	1.0
³³_#>	#>	1.0
³²_#>	#>	1.0
²¹	-	1.0
²²_#>	#>	1.0
²	-	1.0
w_³³_#>	u_#>	1.0
u_⁵⁵	aː_ʔ	1.0
t	ʔ_s	1.0
p	p	1.0
n_²²	ŋ	1.0
m̩	ŋ	1.0
m	m	1.0
l	r	1.0
k̚	ɡ	1.0
j_⁵⁵	ʔ	1.0
h_w	kʰ	1.0
h_a	r̥ʰ	1.0
a_³³	r_aː	1.0
a_k̚	w	1.0
<#_ⁿd	<#_n	1.0
<#_ɬ	<#_s	1.0
<#_w	<#_q	1.0
<#_l	<#_r	1.0
<#_h	<#	1.0
<#_f	<#	1.0
#>	ʔ_#>	1.0
f	p	0.857
k	k	0.8
t̚	d	0.75
pʰ	b	0.667
j_a	a	0.667
<#_ᵑɡ	<#_ŋ	0.667
i	i	0.636
n	n	0.632
w_⁵⁵	u_ʔ	0.625
j_³³_#>	l_#>	0.6
j_³³	d_s	0.6
w_ɔ	aː	0.571
tʰ	sʰ	0.571
v	ɡʷ	0.5
v	-	0.5
ɔ	aː	0.467
ɵ	u	0.462
ᵑɡ	n	0.429
w_ɔ	ɯː	0.429
s	d	0.429
ʦʰ	l	0.4
ʦʰ	-	0.4
j_³³_#>	#>	0.4
j_³³	s	0.4
h	kʰ	0.4
h	h	0.4
w_⁵⁵	ʔ	0.375
w	oː	0.375
w	-	0.375
u	ɯ	0.353
ɔ	ɯː	0.333
pʰ	pʰ	0.333
j_a	eː	0.333
e	ɯ	0.333
<#_ᵑɡ	<#	0.333
<#	<#_d	0.333
ɵ	oː	0.308
j	l	0.3
j	-	0.3
ᵑɡ	ŋ_i	0.286
ᵑɡ	n_i	0.286
tʰ	-	0.286
s	s_r	0.286
s	h	0.286
e	e	0.267
n	n_s	0.263
w	l	0.25
t̚	ɡ	0.25
u	a	0.235
ɵ	o	0.231
<#	<#_r	0.222
<#	<#_q	0.222
<#	<#_kʰ	0.222
ʦʰ	tʰ	0.2
ɔ	a	0.2
k	-	0.2
j	i	0.2
h	l̥ʰ	0.2
i	r_ɯ	0.182
i	-	0.182
u	o	0.176
a	uː	0.176
a	r_aː	0.176
a	eː	0.176
a	ɯː	0.147
tʰ	ʦʰ	0.143
f	hʷ	0.143
e	r_a	0.133
e	iː	0.133
e	-	0.133
u	u	0.118
u	e	0.118
n	n_ʔ	0.105
j	d_s	0.1
j	a	0.1
a	o	0.088
a	e	0.088
a	aː	0.088
a	a	0.059
