Afrikaans	Bokmål Norwegian	probability
b	b	1.0
d	d	0.508
d	tʰ	0.33
d	-	0.153
f	f	0.643
f	ʋ	0.106
f	-	0.104
f	ʋ_ə	0.083
f	d	0.048
j	-	0.365
j	ˈʊ	0.176
k	k	0.451
k	kʰ	0.313
k	-	0.08
k	ʃ	0.07
k	ç	0.057
l	l	0.831
l	lː	0.168
m	m	0.814
m	mː	0.153
m	n	0.04
n	n	0.653
n	nː	0.169
n	-	0.128
n	ŋ	0.032
n_t	nː	1.0
p	p	0.806
p	-	0.1
p	pʰ	0.067
r	ɾ	0.846
r	ɳ	0.073
r	-	0.042
s	s	0.858
s	-	0.072
s	sː	0.035
s	ʂ	0.026
s	f	0.026
t	t	0.332
t	-	0.32
t	tʰ	0.145
t	d	0.101
t	lː	0.043
v	ʋ	0.747
v	-	0.251
v_ˈɔ	ˈʉ	0.482
w	ʋ	0.406
w	ˈɔ	0.183
w	ˈuː	0.121
w	ˈøː	0.121
w	ç	0.077
ŋ	ŋː	0.615
ŋ	-	0.298
ŋ	ŋ	0.074
ŋ_k	kː	1.0
ə	-	0.496
ə	ə	0.404
ə	i	0.059
ə	ɪ	0.041
ɦ	h	0.945
ɦ	j	0.056
ɫ	l	0.858
ɫ	lː	0.115
ɫ	-	0.033
ˈa	ˈɑ	0.604
ˈa	ˈɛ	0.159
ˈa	ˈɑː	0.084
ˈa	ˈoː	0.041
ˈa	ˈɔ	0.04
ˈi	ˈyː	0.395
ˈi	ˈeː	0.148
ˈi	ˈiː	0.119
ˈi	ˈæː	0.09
ˈi	ˈʉː	0.09
ˈi_t	ˈyː	1.0
ˈoːi̯	ˈøː	1.0
ˈu	ˈuː	0.805
ˈu	ˈøː	0.1
ˈu	ˈœ	0.067
ˈuː	ˈuː	0.482
ˈuːi̯	ˈʉː	0.232
ˈyː	ˈyː	0.803
ˈyː	ˈɪ	0.078
ˈæ	ˈɑ	1.0
ˈæː	ˈæ	0.574
ˈæː	ˈæː	0.277
ˈœ	ˈʏ	0.579
ˈœ	ˈœ	0.209
ˈœ	ˈʊ	0.209
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈɑ	0.644
ˈœu̯	ˈʉ	0.235
ˈœɪ̯	ˈʉː	0.744
ˈœɪ̯	ˈʏ	0.12
ˈœɪ̯	ˈʊ	0.083
ˈɑː	ˈoː	0.494
ˈɑː	ˈɑː	0.242
ˈɑː	-	0.071
ˈɑː	ˈɑ	0.064
ˈɑː	ˈuː	0.056
ˈɔ	ˈʉ	0.355
ˈɔ	ˈuː	0.157
ˈɔ	ˈœ	0.119
ˈɔ	ˈʉː	0.09
ˈɔ	ˈɔ	0.08
ˈɔː	ˈæɪ̯	0.318
ˈɔː	ˈʏ	0.153
ˈə	ˈɪ	0.645
ˈə	ˈiː	0.149
ˈə	ˈɛ	0.083
ˈə	ˈʏ	0.051
ˈə	ˈyː	0.041
ˈəɪ̯	ˈiː	0.488
ˈəɪ̯	ˈæɪ̯	0.269
ˈəɪ̯	ˈɛ	0.216
ˈɛ	ˈɛ	0.498
ˈɛ	ˈœ	0.198
ˈɛ	ˈæɪ̯	0.114
ˈɛ	ˈøː	0.085
ˈɛ	ˈɪ	0.085
ˈɛː	ˈɑː	0.232
ˈɛː	ˈiː	0.112
ˈɪ	ˈʉː	0.232
ˈɪø̯	ˈœ	0.392
ˈɪø̯	ˈeː	0.217
ˈɪø̯	ˈʊ	0.217
ˈɪə̯	ˈeː	0.236
ˈɪə̯	ˈiː	0.21
ˈɪə̯	ˈæɪ̯	0.155
ˈɪə̯	ˈʉː	0.152
ˈɪə̯	ˈæː	0.1
ˈʊə̯	ˈøː	0.293
ˈʊə̯	ˈuː	0.276
ˈʊə̯	ˈœ	0.101
ˈʊə̯	ˈɔ	0.058
ˈʊə̯	ˈʊ	0.058
ˈʊə̯_t	ˈøː	1.0
χ	ɡ	0.396
χ	-	0.235
χ	j	0.165
χ	ɡː	0.09
χ	tː	0.067
χ_t	tː	0.482
