Logudorese	Logudorese	probability
β	β	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈɔ_m	ˈo_m	1.0
ˈu_ɾ	ɾ_ˈu	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈe_n	ˈɛ_n	1.0
ˈa_ɾ	ˈa	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɲ	ɲ	1.0
ɛ̆	ĭ	1.0
ɛ_n	i_n	1.0
ɛ_#>	#>	1.0
ɖː	ɖː	1.0
ɔ_#>	u_#>	1.0
z	z	1.0
ŭ	ŭ	1.0
u_ɾ	u_ɾ	1.0
s_k	ʃ	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
n	n	1.0
l_ɛ	l_i	1.0
i_ɣ	i	1.0
i_n	i_n	1.0
i	i	1.0
f	f	1.0
d	d	1.0
ă	ă	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#_a	<#_a	1.0
#>	i_#>	1.0
a	a	0.978
u	u	0.968
t	t	0.953
ˈɛ	ˈɛ	0.938
ɛ	i	0.918
m	m	0.907
ˈe	ˈe	0.895
l	l	0.895
ð	ð	0.889
ˈɔ	ˈɔ	0.879
ɾ	ɾ	0.85
k	k	0.824
b	b	0.784
ɾ_u	ɾ_u	0.714
ɔ̆	ŭ	0.7
ɔ	ɔ	0.6
ŋ	ŋ	0.6
ʣ	ɭː	0.571
ɣ	ɣ	0.533
ɡ	ɡ	0.5
e	e	0.5
j	-	0.444
ʦ	ʦ	0.429
ʣ	ʤ	0.429
ɔ	u	0.4
ŋ	n	0.4
ɛ_ɾ	i	0.35
ɡ	ʤ	0.3
ɔ̆	ɔ̆	0.3
e	i	0.3
ʦ	s	0.286
ʦ	-	0.286
ɾ_u	u	0.286
ɣ	ʒ	0.267
ɛ_ɾ	ɾ	0.25
j	ɣ	0.222
j	j	0.222
ɡ	-	0.2
ɛ_ɾ	ɛ_ɾ	0.2
ɛ_ɾ	i_ɾ	0.2
e	-	0.2
k	ʧ	0.176
ˈɔ	ˈo	0.121
ð	-	0.111
j	β_j	0.111
ˈe	ˈɛ	0.105
ɾ	-	0.1
m	ŋ	0.093
ɛ	ɛ	0.082
b	ʤ	0.078
ɣ	ʤ	0.067
ɣ	i	0.067
ɣ	-	0.067
ˈɛ	ˈe	0.062
b	ɡ	0.059
l	ɭː	0.053
l	-	0.053
