Jin	Jin	probability
ʨ	k	1.0
ʐ	n	1.0
ɻ	œ	1.0
ɤ	-	1.0
ə_ʔ	ɛ	1.0
ɕ	s	1.0
³¹	²¹	1.0
²	²⁴	1.0
z̩	i	1.0
ỹ	œ_ɥ	1.0
y	y	1.0
x	x	1.0
w_ɤ	o	1.0
w_ə	y	1.0
w_a	ɔ	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ͡x	p	1.0
p	p	1.0
o	w	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_e	i_ŋ	1.0
j_a	j_a	1.0
i	i	1.0
h	x	1.0
a_j	ɛ	1.0
a	a	1.0
<#_ɣ	<#	1.0
<#_x	<#	1.0
ŋ	ŋ	0.929
⁵³	²¹	0.885
ʦʰ	ʦʰ	0.8
ɒ̃	ɔ_ŋ	0.75
ũ	ɔ	0.75
ʔ_²	²⁴	0.722
ĩ	e_j	0.714
ʦ	ʦ	0.667
e	ŋ	0.667
w	w	0.588
ɥ	y_j	0.571
v	-	0.571
<#	<#_ŋ	0.571
ə	-	0.538
⁴⁵	⁵⁵	0.524
ə_w	u	0.5
ə_w	e	0.5
æ̃	u_j	0.5
æ̃	a_ŋ	0.5
f	x	0.5
f	p	0.5
ɥ	y	0.429
v	w	0.429
<#	<#_x	0.429
¹¹	⁵⁴	0.403
ə̃	ɔ	0.4
j	j	0.4
j	-	0.4
⁴⁵	³³	0.333
ʦ	t	0.333
e	-	0.333
¹¹	³³	0.328
ə	u	0.308
ə̃	j	0.3
ə̃	a_j	0.3
ĩ	j_a	0.286
ʔ_²	⁴²	0.278
ʨʰ	ʦʰ	0.25
ʨʰ	ʦ	0.25
ʨʰ	kʰ	0.25
ʨʰ	k	0.25
ɒ̃	a_ŋ	0.25
ũ	œ	0.25
¹¹	²¹	0.209
ʦʰ	t	0.2
j	ɛ	0.2
w	y	0.176
ə	j	0.154
⁴⁵	⁴²	0.143
w	u	0.118
w	o	0.118
⁵³	-	0.115
ŋ	ɥ_ŋ	0.071
¹¹	ŋ_⁵⁴	0.06
