Emilian	Emilian	probability
ˈɛ_t	ˈe_t	1.0
ˈɛ_#>	ð_ɛ_#>	1.0
ˈuː_r	ˈu_ɾ	1.0
ˈiː_z	ˈi_z	1.0
ˈi	ˈi	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_j	ˈi	1.0
ʤ	-	1.0
ŋ_k	m_b	1.0
ŋ_#>	n_u_#>	1.0
w	-	1.0
v_e	ɛ	1.0
s_#>	s_u_#>	1.0
r_t	ɾ_t	1.0
r_e	r	1.0
n_a	a	1.0
m	m	1.0
k	k	1.0
j_ˈa	ɾ_ˈa	1.0
f	f	1.0
e_r	ɾ	1.0
b	b	1.0
a_r	i_ɾ	1.0
a_#>	#>	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_i	1.0
p	p	0.926
s	s	0.914
a	a	0.896
ˈaː	ˈa	0.867
ˈe	ˈi	0.842
t	t	0.806
r	ɾ	0.806
ŋ	n	0.741
ˈɛː	ˈɛ	0.714
ˈɛ	ˈa	0.696
ˈæ	ˈɛ	0.667
ˈuː	ˈu	0.667
ˈɔː	ˈɔ	0.647
n	n	0.643
z	ɣ	0.636
θ	k	0.6
ɲ	nː	0.6
i	i	0.6
ˈo	ˈu	0.588
ˈʌu̯	ˈu	0.545
l	l	0.531
v	b	0.517
ˈa	ˈi	0.5
ʧ	j_u	0.5
ʧ	-	0.5
#>	ɛ_#>	0.481
ɡ	ɣ	0.474
ˈʌu̯	ˈɔ	0.455
ˈɔ	ˈo	0.455
e	ɛ	0.444
d	ð	0.444
ˈiː	ˈɛ	0.417
ˈiː	ˈi	0.417
ˈʌ	ˈɔ	0.4
ˈʌ	ˈu	0.4
ɲ	ɲ	0.4
i	e	0.4
ˈa	ˈɛ	0.375
ð	b	0.375
ð	-	0.375
#>	u_#>	0.363
u	u	0.357
ˈæ	ˈe	0.333
ˈuː	ˈo	0.333
j	ʣ	0.294
ˈɛː	ˈe	0.286
u	ɔ	0.286
ˈɔ	ˈɔ	0.273
ˈɔ	ˈu	0.273
ɡ	b	0.263
ð	ɡ	0.25
ˈɔː	ˈo	0.235
ˈo	ˈɔ	0.235
j	ɾ	0.235
j	j	0.235
u	o	0.214
n	u	0.214
θ	ʦ	0.2
θ	t	0.2
ˈʌ	u	0.2
l	ɖː	0.188
z	z	0.182
z	s_i	0.182
ˈo	ˈo	0.176
ˈiː	ɛ	0.167
e	ɾ	0.167
e	e	0.167
d	d	0.167
d	-	0.167
ˈe	-	0.158
ɡ	ɡ	0.158
ˈɛ	ˈɛ	0.152
ˈɛ	ˈe	0.152
ŋ	m	0.148
u	-	0.143
n	-	0.143
v	β	0.138
v	ɛ	0.138
ˈaː	-	0.133
ˈa	ˈa	0.125
l	ɾ	0.125
ˈɔː	-	0.118
j	ˈi	0.118
j	-	0.118
ŋ	ŋ	0.111
e	k_ɛ	0.111
e	i	0.111
d	i_ɣ	0.111
d	a_ð	0.111
ɡ	-	0.105
v	u	0.103
v	-	0.103
l	-	0.094
t	ð	0.083
p	b	0.074
l	u_l	0.062
a	-	0.06
s	u	0.057
t	ʦ	0.056
t	ð_ˈa	0.056
r	ɛ	0.056
r	r	0.056
