Logudorese	Logudorese	probability
β	β	1.0
ˈɔ_ɾ	ˈɒ_r	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈu_r	1.0
ˈe_t	ˈi_t	1.0
ˈa_n_ɛ_#>	ˈa_#>	1.0
ɾ_ʦ	l_s	1.0
ɾ_u	ɾ_e	1.0
ɾ_k	r_k	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ_ɛ	w	1.0
ɣ_u_#>	k_#>	1.0
ɛ_ɾ	ɾ	1.0
ɛ_#>	#>	1.0
ɖː_a	l_ɐ	1.0
ɖː	ʎ	1.0
ŋ	ɲ	1.0
z_ɛ̆_#>	s_#>	1.0
z_ɔ̆_#>	s_#>	1.0
z_ŭ_#>	#>	1.0
z_u_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ˈa	t_ˈa	1.0
t_u	w	1.0
s_i	s_e	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	#>	1.0
n	n	1.0
m_ɛ_n_ɛ_#>	m_#>	1.0
m_b	ŋ_k	1.0
l_u_#>	l_#>	1.0
k_ˈi	s_ˈi	1.0
k_ɾ	k_l	1.0
k_ɛ	ʃ_e	1.0
j_z	z	1.0
j_u	ʎ	1.0
i_ɣ	ʤ	1.0
i_ð	t	1.0
f	f	1.0
e_ɾ	ɾ	1.0
ă	-	1.0
a_l	a_l	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_k	1.0
#>	e_#>	1.0
p	p	0.917
ɾ_ɛ_#>	r_#>	0.9
m	m	0.889
t	t	0.879
ˈa	ˈa	0.873
ˈo	ˈɒ	0.842
k	k	0.814
s	s	0.8
d	d	0.8
l	l	0.75
<#_ˈa	<#_ˈa	0.75
ɔ	-	0.706
j	-	0.636
ʦ	s	0.6
ð	ð	0.6
r	r_n	0.6
ˈe	ˈe	0.588
ɾ	ɾ	0.583
ˈi	ˈi	0.574
ʣ	ʎ	0.556
z	-	0.556
ˈɛ	ˈe	0.5
ɡ	ɡ	0.5
ˈɔ	ˈɒ	0.444
ʣ	ʤ	0.444
z	s	0.444
b	v	0.432
ˈu	ˈu	0.424
ˈɛ	ˈæ	0.423
ɛ	w	0.412
ʦ	-	0.4
ð	t	0.4
r	r	0.4
i	i	0.4
e	e	0.4
ˈu	ˈo	0.394
ɣ	ɣ	0.385
a	ɐ	0.381
nː	ɲ	0.375
nː	n_d	0.375
ˈe	ˈæ	0.353
ɣ	-	0.308
i	e	0.3
i	-	0.3
e	i	0.3
e	-	0.3
ɔ	o	0.294
u	-	0.273
b	b	0.273
ˈi	ˈæ	0.255
ɡ	ʤ	0.25
ɡ	-	0.25
nː	n	0.25
l	ʎ	0.25
<#_ˈa	<#_a	0.25
a	ɜ	0.238
u	w	0.227
s	-	0.2
d	-	0.2
k	s	0.186
ˈɔ	ˈu	0.185
ˈɔ	ˈo	0.185
u	ɜ	0.182
u	o	0.182
j	ʎ	0.182
j	l	0.182
ɛ	ɜ	0.176
ɛ	e	0.176
ˈi	ˈe	0.17
ɾ	l	0.167
a	ɞ	0.167
ˈo	ˈo	0.158
ɣ	ˈæ	0.154
ɣ	ʤ	0.154
ɾ	r	0.146
u	ʎ	0.136
a	a	0.131
ˈu	-	0.121
b	ʤ	0.114
ˈɔ	-	0.111
ɾ_ɛ_#>	#>	0.1
b	ɡ	0.091
p	-	0.083
ˈɛ	ˈi	0.077
ˈɔ	o	0.074
ˈa	ˈe	0.063
ɾ	-	0.062
ˈu	ˈu_j	0.061
t	ˈi_t	0.061
t	-	0.061
a	e	0.06
ˈe	ˈɛ	0.059
ɛ	ˈi_w	0.059
ɛ	ˈi	0.059
ɛ	ɾ	0.059
ɛ	r	0.059
m	ŋ	0.056
m	m_b	0.056
