Bulgarian	Bulgarian	probability
ʧ	-	1.0
ʦʲ	k	1.0
ʦ	k	1.0
ʒ̊	ɡ_j	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
x	ʃ	1.0
vʲ	w	1.0
v	w	1.0
u	au̯	1.0
rʲ	eː	1.0
p	p	1.0
o	a	1.0
nʲ	n	1.0
mʲ	́_m	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
j_ɐ	ei̯	1.0
j	-	1.0
i_ˈ	ei̯	1.0
f	w_a	1.0
b̥	m_b	1.0
bʲ	b	1.0
b	b	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
z	zʲ	0.9
ɫ	l	0.875
#>	s_#>	0.872
ɔ	a	0.857
d	d	0.8
ɛ_ˈ	e_́	0.778
r	r	0.739
n	n	0.727
t	t	0.588
a	aː	0.581
s	sʲ	0.556
i	uː	0.556
ˈ_#>	ˀ_#>	0.545
ɤ	a	0.538
k	k	0.5
d̥	d_a	0.5
d̥	d	0.5
ɤ	i	0.462
ˈ_#>	#>	0.455
s	s	0.444
a_ˈ	a_́	0.429
ɐ	-	0.364
ɐ	aː	0.318
ɛ	i	0.312
ˈ	́ˀ	0.306
a_ˈ	́	0.286
a_ˈ	eː	0.286
ˈ	-	0.274
n	n_a	0.273
ˈ	́	0.258
ɛ	e	0.25
ɛ	ai̯	0.25
ɛ_ˈ	e	0.222
i	iː	0.222
i	e_s	0.222
k	s	0.214
d	-	0.2
t	-	0.176
r	a	0.174
ˈ	ˀ	0.161
a	oː	0.161
ɔ	-	0.143
k	k_a	0.143
k	-	0.143
ɐ	u	0.136
a	ai̯	0.129
#>	ˀ_#>	0.128
ɫ	a_l	0.125
ɛ	-	0.125
t	s	0.118
t	m_t	0.118
z	z	0.1
ɐ	ɡ_a	0.091
ɐ	oː	0.091
r	́_r	0.087
a	́_r	0.065
a	eː	0.065
ɛ	ɛ	0.062
