Piedmontese	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈø	<#_ɥ_ˈɛ	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_v	a_β	1.0
b_a	β_ɔ	1.0
d_#>	t_#>	1.0
j_#>	l_#>	1.0
j_ˈa	l_ˈa	1.0
k	k	1.0
k_#>	k_#>	1.0
k_a	k_ɔ	1.0
l	-	1.0
l_#>	l_#>	1.0
l_a	l_ɔ	1.0
m	m	1.0
m_#>	m_#>	1.0
p	p	1.0
p_#>	s_#>	1.0
r_ˈa	ɾ_ˈa	1.0
s_t	s_t	1.0
t_e	t_#>	1.0
u	u	1.0
u_l	u_l	1.0
v_#>	w_#>	1.0
v_r	β_ɾ	1.0
w_ˈa	ˈa	1.0
z_#>	ʦ_#>	1.0
ŋ_#>	#>	1.0
ŋ_t	n_#>	1.0
ə	ɾ	1.0
ɡ_#>	k_#>	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ˈa	ˈa	1.0
ˈa_#>	ˈa_z_ɔ_#>	1.0
ˈa_n	ˈa_n	1.0
ˈe_#>	ˈa_#>	1.0
ˈe_j	ˈe	1.0
ˈe_ŋ	ˈe_n	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_l	ˈi_l	1.0
ˈu_r	ˈu_#>	1.0
ˈy_r	ˈy_#>	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈə	ˈe	1.0
ˈɛ_j	ˈe	1.0
ˈɛ_r	ˈɛ_r	1.0
j	-	0.231
ˈi	ˈe	0.111
ˈu	ˈɔ	0.1
#>	w_#>	0.312
d	d	0.2
i	ʤ_e	0.182
r	ɾ	0.512
s_#>	ʦ_#>	0.182
v	v	0.2
v	-	0.2
z	ʤ	0.2
b	β	0.333
b	-	0.333
b	b	0.333
d	-	0.3
e	a_s	0.143
e	ɾ	0.143
e	j	0.143
e	-	0.143
r	-	0.073
ŋ	ŋ	0.333
ˈe	ˈɛ	0.263
ˈɔ	ˈu	0.143
<#	<#_a	0.154
i	i	0.364
n	-	0.4
r_#>	e_#>	0.714
t	ð	0.214
w	l	0.4
z	z	0.4
z	-	0.4
ˈy	ˈu	0.294
ˈɔ	ˈɔ	0.524
#>	s_#>	0.5
<#_u	<#_u	0.5
<#_u	<#_a	0.5
<#_ˈɔ	<#_ˈa_w	0.5
<#_ˈɔ	<#_ˈɔ	0.5
a	e	0.095
d	ð	0.5
e_#>	ˈi_#>	0.385
e_#>	e_#>	0.615
i	e	0.455
j	j	0.115
t_#>	t_#>	0.5
t_#>	ʧ_#>	0.5
ɡ	ɣ	0.5
ɡ	ɡ	0.5
ˈe	e	0.105
ˈe	j_ˈɛ	0.105
ˈø	u	0.125
ˈø	ɥ_ˈɛ	0.25
ˈø	ɥ_ˈɔ	0.25
ˈø	ˈɔ	0.375
ˈɔ	ˈe	0.095
ˈɛ	ˈe	0.265
<#	<#_e	0.846
a	-	0.286
j	l	0.346
n	n	0.6
r_#>	r_#>	0.286
s	j_s	0.176
s	-	0.176
t	t	0.786
v	β	0.6
w	w	0.6
ʤ	-	0.286
ʤ	ɡ_l	0.286
ˈy	ˈy	0.706
r	r	0.317
s	s	0.647
ŋ	n	0.667
ˈɛ	ˈɛ	0.647
#>	k_#>	0.188
j	ʎ	0.308
s_#>	s_#>	0.818
ˈe	ˈɛ_#>	0.158
ˈe	ˈe	0.368
ˈɔ	ˈa_w	0.238
ˈɛ	j_ˈɛ	0.088
a	a	0.619
e	e	0.429
ʤ	ʤ	0.429
ˈi	ˈi	0.889
ˈu	ˈu	0.9
