Eastphalian	Swedish	probability
b	b	0.831
b	tʰ	0.057
d	d	0.665
d	tʰ	0.243
f	f	0.779
f	v	0.128
f	m	0.055
h	h	1.0
j	ɡ	0.674
j	j	0.165
j	jː	0.132
k	k	0.384
k	kʰ	0.311
k	kː	0.112
k	ɕ	0.097
l	l	0.868
l	lː	0.093
m	m	0.53
m	mː	0.245
m	-	0.213
n	n	0.481
n	a	0.294
n	nː	0.179
p	p	0.705
p	r	0.147
p	v	0.092
p	pː	0.056
r	r	0.89
r	-	0.069
s	s	0.96
t	t	0.418
t	d	0.205
t	-	0.127
t	tʰ	0.125
t	tː	0.084
v	v	0.871
v	-	0.129
w	v	0.431
w	-	0.284
w	ˈʏ	0.284
x	tː	0.483
x	ɡ	0.351
x	-	0.152
z	s	0.883
z	ɧ	0.11
ç	ɡ	0.398
ç	tː	0.301
ç	s	0.219
ç	ŋ	0.081
ŋ	ŋː	0.723
ŋ	ŋ	0.17
ŋ	ɡ	0.107
ɐ	r	0.451
ɐ	ɛ	0.239
ɐ	ɳ	0.099
ɐ	r_a	0.087
ə	a	0.808
ə	-	0.113
ə	ɛ	0.079
ɡ	j	1.0
ɣ	ɡ	0.589
ɣ	rː	0.152
ɣ	ɡː	0.152
ɣ	j	0.088
ɪ	-	0.716
ɪ	ɵ	0.184
ɪ	ɪ	0.1
ʃ	s_k	0.552
ʃ	ɧ	0.376
ˈa	ˈa	0.698
ˈa	ˈoː	0.082
ˈa	ˈɛ	0.082
ˈa	j	0.058
ˈaʊ̯	ˈuː	0.646
ˈaʊ̯	ˈʊ	0.269
ˈaʊ̯	ˈoː	0.084
ˈaː	ˈɑː	0.293
ˈaː	ˈɛː	0.293
ˈaː	ˈoː	0.233
ˈaː	ˈa	0.181
ˈeo̯	ˈøː	0.641
ˈeo̯	ˈɛː	0.176
ˈeo̯	ˈoː	0.095
ˈeo̯	ˈœ	0.064
ˈeː	j	0.365
ˈeː	ˈɛ	0.259
ˈeː	ˈeː	0.196
ˈeː	ˈæː	0.082
ˈeː	ˈʉː	0.072
ˈiː	ˈiː	0.754
ˈiː	ˈyː	0.141
ˈiː	ˈɛ	0.074
ˈoː	ˈoː	0.28
ˈoː	ˈuː	0.258
ˈoː	ˈøː	0.232
ˈoː	ˈʊ	0.129
ˈoː	ˈɵ	0.066
ˈuː	ˈʉː	0.788
ˈuː	ˈoː	0.109
ˈuː	ˈɵ	0.063
ˈyː	ˈʏ	0.413
ˈyː	ˈyː	0.296
ˈyː	ˈɛ	0.291
ˈøː	ˈœ	0.658
ˈøː	ˈɔ	0.342
ˈœ	ˈɵ	0.408
ˈœ	ˈɔ	0.332
ˈœ	ˈɛ	0.26
ˈɒː	ˈoː	0.456
ˈɒː	ˈa	0.294
ˈɒː	ˈɑː	0.25
ˈɔ	ˈœ	0.278
ˈɔ	ˈʉː	0.211
ˈɔ	ˈa	0.184
ˈɔ	ˈɔ	0.147
ˈɔ	ˈɵ	0.093
ˈɔ	ˈoː	0.087
ˈɔʏ̯	ˈøː	0.787
ˈɔʏ̯	ˈœː	0.126
ˈɔʏ̯	ˈœ	0.087
ˈɛ	ˈɛ	0.258
ˈɛ	ˈøː	0.194
ˈɛ	ˈʉː	0.194
ˈɛ	ˈɑː	0.131
ˈɛ	-	0.089
ˈɛə̯	ˈɑː	1.0
ˈɛɪ̯	ˈeː	0.346
ˈɛɪ̯	j_ˈʉː	0.164
ˈɛɪ̯	ˈyː	0.15
ˈɛɪ̯	ˈʉː	0.109
ˈɛɪ̯	ˈoː	0.063
ˈɛɪ̯	ʊ	0.05
ˈɛː	ˈɛː	0.265
ˈɛː	ŋ	0.181
ˈɛː	ˈa	0.181
ˈɛː	ˈøː	0.169
ˈɛː	ˈʏ	0.11
ˈɛː	ˈɑː	0.094
ˈɪ	ˈɪ	0.542
ˈɪ	ˈʉː	0.125
ˈɪ	ˈiː	0.114
ˈɪ	ˈɛ	0.096
ˈɪ	ˈɵ	0.069
ˈʊ	ˈɵ	0.651
ˈʊ	ˈʊ	0.257
ˈʊ	ˈuː	0.092
ˈʏ	ˈɛ	0.309
ˈʏ	ˈɵ	0.309
ˈʏ	ˈʏ	0.177
ˈʏ	ˈœ	0.173
