Eastphalian	Swedish	probability
b	b	0.826
b	p	0.062
b	v	0.062
b	-	0.052
d	d	0.562
d	tʰ	0.198
d	-	0.164
d	ɕ	0.044
d	t	0.033
d_ɐ	r	1.0
f	f	0.789
f	v	0.167
f	-	0.046
h	h	0.983
h	-	0.03
j	ɡ	0.53
j	-	0.226
j	j	0.097
j	jː	0.097
k	k	0.547
k	kʰ	0.33
k	ɡː	0.062
k	ɕ	0.047
l	l	0.842
l	lː	0.05
l	-	0.037
l	nː	0.037
l	j	0.035
l_ə	lː	1.0
m	m	0.625
m	mː	0.197
m	a	0.104
m	-	0.069
n	n	0.491
n	a	0.244
n	-	0.147
n	nː	0.105
n_ə	nː	1.0
p	p	0.693
p	r	0.223
p	pː	0.054
r	r	0.881
r	-	0.059
r	ɖ	0.059
s	s	0.95
s	ɧ	0.051
t	t	0.322
t	-	0.237
t	d	0.171
t	tʰ	0.117
t	tː	0.093
t_ə	t	1.0
v	v	0.653
v	-	0.273
v	ɕ	0.069
v_ˈʊ	ˈɵ	1.0
w	v	0.425
w	-	0.28
w	ˈʏ	0.28
x	tː	0.43
x	ɡ	0.293
x	-	0.169
x	j	0.072
z	s	0.83
z	ɧ	0.098
z	r	0.051
ç	ɡ	0.379
ç	tː	0.28
ç	s	0.144
ç	ŋ	0.09
ŋ	ŋː	0.741
ŋ	ŋ	0.14
ŋ	a	0.1
ŋ_k	kː	1.0
ɐ	r	0.463
ɐ	ɛ	0.315
ɐ	ɳ	0.063
ɐ	-	0.055
ɐ	r_a	0.046
ə	a	0.548
ə	-	0.358
ə	ɛ	0.078
ɡ	j	1.0
ɣ	ɡ	0.625
ɣ	rː	0.127
ɣ	ɡː	0.127
ɣ	j	0.086
ɣ	-	0.032
ɪ	-	0.53
ɪ	ɵ	0.136
ɪ	ɪ	0.074
ʃ	s_k	0.541
ʃ	ɧ	0.272
ʃ	f	0.125
ʃ	sː	0.046
ˈa	ˈa	0.635
ˈa	ˈɛ	0.129
ˈa	ˈɑː	0.063
ˈa	ˈeː	0.055
ˈa	ˈoː	0.055
ˈaʊ̯	ˈuː	0.748
ˈaʊ̯	ˈʊ	0.139
ˈaʊ̯	ˈoː	0.097
ˈaː	ˈa	0.265
ˈaː	ˈɑː	0.265
ˈaː	ˈɛː	0.265
ˈaː	ˈoː	0.156
ˈeo̯	ˈøː	0.728
ˈeo̯	ˈoː	0.11
ˈeo̯	ˈœ	0.052
ˈeo̯	ˈœː	0.05
ˈeː	j	0.346
ˈeː	ˈɛ	0.199
ˈeː	ˈeː	0.117
ˈeː	ˈæː	0.117
ˈeː	ˈʉː	0.079
ˈiː	ˈiː	0.719
ˈiː	ˈyː	0.1
ˈiː	ˈɛ	0.085
ˈiː	ˈæː	0.077
ˈoː	ˈøː	0.407
ˈoː	ˈoː	0.203
ˈoː	ˈuː	0.127
ˈoː	ˈʊ	0.127
ˈoː	ɳː	0.052
ˈuː	ˈʉː	0.643
ˈuː	ˈɵ	0.231
ˈuː	ˈoː	0.095
ˈyː	ˈyː	0.224
ˈøː	ˈɔ	0.574
ˈøː	ˈœ	0.272
ˈœ	ˈɔ	0.392
ˈœ	ˈɛ	0.213
ˈœ	ˈɵ	0.213
ˈɒː	ˈoː	0.477
ˈɒː	ˈɑː	0.295
ˈɒː	ˈa	0.218
ˈɔ	ˈœ	0.281
ˈɔ	ˈɔ	0.213
ˈɔ	ˈa	0.186
ˈɔ	ˈɵ	0.098
ˈɔ	ˈʉː	0.095
ˈɔʏ̯	ˈøː	0.608
ˈɔʏ̯	ˈœː	0.165
ˈɔʏ̯	ˈœ	0.097
ˈɛ	ˈɛ	0.278
ˈɛ	-	0.125
ˈɛ	ˈøː	0.125
ˈɛ	ˈʉː	0.125
ˈɛ	ˈɑː	0.09
ˈɛə̯	ˈɑː	1.0
ˈɛɪ̯	ˈeː	0.323
ˈɛɪ̯	ˈyː	0.164
ˈɛɪ̯	j_ˈʉː	0.155
ˈɛɪ̯	ˈʉː	0.092
ˈɛɪ̯	ˈoː	0.07
ˈɛː	ˈɛː	0.228
ˈɛː	ŋ	0.123
ˈɛː	ˈa	0.123
ˈɛː	ˈøː	0.123
ˈɛː	ˈɑː	0.073
ˈɪ	ˈɪ	0.45
ˈɪ	ˈiː	0.141
ˈɪ	ˈʉː	0.11
ˈɪ	ˈɛ	0.104
ˈɪ	ˈeː	0.061
ˈʊ	ˈɵ	0.533
ˈʊ	ˈuː	0.226
ˈʊ	ˈʊ	0.226
ˈʏ	ˈʏ	0.386
ˈʏ	ˈɛ	0.193
ˈʏ	ˈɵ	0.193
ˈʏ	ˈœ	0.126
ˈʏ	ˈɔ	0.054
