Upper Sorbian	Kashubian	probability
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɥ	<#_v	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʀ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʤ	<#_ʣ	1.0
a_#>	a	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
i	ə	1.0
i_#>	i_#>	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ_i	ʧ_i	1.0
l_#>	l_#>	1.0
mʲ	m_j	1.0
n_a	n_a	1.0
n_ɪ	n_i	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
t_ˈa	t_ˈɞ	1.0
w	w	1.0
x	x	1.0
x_#>	k_#>	1.0
z	z	1.0
ɔ_#>	ɔ_#>	1.0
ɪ_#>	i_#>	1.0
ɲ_#>	ɲ	1.0
ʀ	r	1.0
ʀʲ	ʐ	1.0
ʤ	ʣ	1.0
ʦ	ʦ	1.0
ʧ_#>	ʦ	1.0
ˈu	ˈõ	1.0
ˈɔ_m	m_ə	1.0
ˈɔ_w	ˈɞ_w	1.0
ˈɪ	ˈə	1.0
β	v	1.0
ˈe	ˈa	0.111
ɔ	u̯ˈɛ	0.222
ɔ	ɛ_#>	0.222
ˈɔ	u̯ˈɛ	0.412
ˈɔ	ˈɔ	0.412
ˈi	ˈi	0.333
ˈi	ˈə	0.333
ˈi	ʂ_ˈə	0.333
ˈɛ	a	0.333
ˈɛ	ˈe	0.333
ˈɛ	ˈɛ	0.333
<#_ʧ	<#_ʦ	0.4
<#_β	<#	0.714
l	l	0.714
ɥ	f	0.4
ɦ	ʤ	0.4
ʃ	-	0.4
ʧ	ʧ	0.4
ˈo	ˈɔ	0.4
n	ˈɔ_n	0.5
n	n	0.5
ɛ	ɛ	0.5
ɛ	e	0.5
ˈa	ˈɞ	0.25
ˈa	j_ˈa_ŋ	0.25
ˈa	ˈɛ	0.25
ˈa	ˈa_#>	0.25
<#_ʧ	<#_ʧ	0.6
<#_β	<#_v	0.286
l	w	0.286
ɔ	u̯ɛ	0.556
ɥ	v_j	0.6
ɦ	ɡ	0.6
ʃ	ʃ	0.6
ʧ	ŋ_ʦ	0.6
ˈo	ˈu	0.6
ˈɔ	ˈɛ	0.176
ˈe	ˈe	0.167
ˈe	j_ˈɞ	0.167
ˈe	j_ˈa	0.278
ˈe	ˈɛ	0.278
