Upper Sorbian	Štokavian	probability
β	ʋ	1.0
ˈɪ	î	1.0
ˈɔ_w	û	1.0
ˈu	ûː	1.0
ʧ	t	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ɲ	n	1.0
ɪ_#>	#>	1.0
ɦ	ɡ	1.0
ɥ_ˈe	ʋ	1.0
z	z	1.0
xʲ_i	x	1.0
x_#>	ɡ_#>	1.0
t_#>	d_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʲ_i	k	1.0
k	k	1.0
j_#>	#>	1.0
j	j	1.0
i	i	1.0
e	ê	1.0
d_w	l	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
<#_β	<#	1.0
<#_ʧ	<#	1.0
<#_ʀ	<#_r	1.0
<#_x	<#_x	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
w	l	0.846
ˈo	ôː	0.75
ɔ	o	0.75
ˈa	â	0.714
ʀʲ	r	0.714
ɛ	e	0.714
ʀ	r	0.692
ˈi	î	0.667
mʲ	m	0.667
ˈɛ	ě	0.6
ʃ	ʒ	0.6
ɥ	ʋ_j	0.556
l	l	0.545
x	x	0.5
x	k_a	0.5
ɥ	ʋ	0.444
ˈɛ	e	0.4
ʃ	r	0.4
ˈɔ	ô	0.333
ˈi	îː	0.333
ˈe	ê	0.333
mʲ	m_j	0.333
ˈa	âː	0.286
ʀʲ	-	0.286
ɛ	ě	0.286
l	ʎ	0.273
ˈe	êː	0.267
ˈo	âː	0.25
ɔ	e	0.25
ˈɔ	ǒ	0.208
ˈe	j_ěː	0.2
ˈe	j_êː	0.2
l	ûː	0.182
ʀ	r̩̂ː	0.154
ʀ	r̂ː	0.154
w	o	0.154
ˈɔ	-	0.125
ˈɔ	ôː	0.083
ˈɔ	ě	0.083
ˈɔ	â	0.083
ˈɔ	a	0.083
