Čakavian	Polish	probability
ʦ	ʦ	1.0
ʃ	ʂ	1.0
ɲ_#>	ɲ_#>	1.0
ɡ	ɡ	1.0
z_e	ʑ	1.0
z	w̃_z	1.0
x	x	1.0
ûː	ˈu	1.0
t_i_#>	ʨ_#>	1.0
t_#>	ʨ_#>	1.0
s_#>	s_#>	1.0
r̩̂	r	1.0
p_#>	p_#>	1.0
o_#>	ɔ_#>	1.0
o	ˈɔ	1.0
n_#>	ɲ_#>	1.0
m	m_j	1.0
l_âː	w_ˈɔ	1.0
k_#>	k_#>	1.0
k	k	1.0
i_#>	#>	1.0
êː	j_ˈɛ	1.0
ê	ˈɛ	1.0
e_#>	ɛ_#>	1.0
d	d	1.0
c	ʦ	1.0
b	b	1.0
â_#>	a_#>	1.0
a_n	ɛ_m	1.0
a_k_#>	k_i_#>	1.0
a_#>	a_#>	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʋ	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_ô	<#_ˈɔ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_b	<#_b	1.0
<#	ʈ͡ʂ_<#	1.0
#>	ɨ_#>	1.0
t	t	0.833
n	n	0.727
ô	ˈɔ	0.714
a	-	0.714
ôː	ˈɔ	0.667
e	ɛ	0.667
<#_d	<#_d	0.667
l	w	0.647
ʋ	v	0.636
r	r	0.632
<#_s	<#_s	0.625
s	ɕ	0.6
îː	ˈɛ	0.6
s	s	0.4
îː	ˈɨ	0.4
<#_s	<#_ɕ	0.375
ʋ	v_j	0.364
l	l	0.353
ôː	ˈu	0.333
e	ɛ_ɲ	0.333
â	ˈɔ	0.333
â	ˈa	0.333
â	a	0.333
<#_d	<#_ʥ	0.333
ô	ɔ	0.286
a	j_ɛ	0.286
n	ɲ	0.273
r	ʐ	0.263
î	ˈɛ	0.25
î	j_ˈa	0.25
t	ʨ	0.167
î	ˈɨ	0.167
î	ˈi	0.167
î	ɛ	0.167
r	ʂ	0.105
