Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɪ_ʀ	ˈe_r	1.0
ˈɪ_j	i_d	1.0
ˈɛ	ʤː	1.0
ˈɔ̃	n	1.0
ˈỹ	ˈu	1.0
ˈũ	ˈo	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈɛ_j	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_l	ˈɛ_r	1.0
ˈa_#>	ˈa_#>	1.0
ʒ	ʦ	1.0
ʀ_ə_#>	#>	1.0
ɲ	ɲː	1.0
ɪ	i_ɬ	1.0
œ	-	1.0
y	u	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
w_#>	u_#>	1.0
vʲ	v	1.0
ũ	u	1.0
u_l	u_r	1.0
s_ə	s_i	1.0
s_#>	u_#>	1.0
pʲ	p_ˈe	1.0
mʲ	m	1.0
lː	z	1.0
k_l	ʧ	1.0
ĩ	ˈi	1.0
i	-	1.0
fʲ	f	1.0
f_l	f_j	1.0
e	-	1.0
dʲ	d	1.0
d_ɔ	dː_a	1.0
ã	a	1.0
a	a	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_ɪ	<#_i	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.938
p	p	0.893
b	b	0.875
n	n	0.812
ɔ	a	0.789
v	v	0.786
ˈy	ˈu	0.778
ˈa	ˈa	0.758
ɒ	a	0.75
m	m	0.75
k	k	0.682
ˈœ	ˈɔ	0.667
ɡ	-	0.667
d	d	0.647
ˈɪ	ˈe	0.615
#>	u_#>	0.611
ʧ	k	0.6
u	-	0.6
b_ʀ	a_r	0.6
ə_#>	#>	0.571
ˈe	ˈe	0.5
ˈa_w	ˈo	0.5
ˈa_w	ˈa	0.5
z	ʦ	0.5
z	d	0.5
j	-	0.5
<#	<#_n	0.5
<#	<#_b	0.5
ʀ	r	0.48
ʤ	ʤ	0.467
ŋ	n	0.447
ˈu	ˈo	0.435
ˈe	ˈɛ	0.433
ə_#>	ˈe_#>	0.429
ə	u	0.406
ʤ	-	0.4
u	u	0.4
b_ʀ	bː	0.4
ʎ	ʧː	0.385
s	s	0.382
ə	i	0.375
t	tː	0.357
t	t	0.357
w	ˈɔ	0.346
#>	i_#>	0.337
ˈɔ	ˈɔ	0.333
ˈɔ	ɬ	0.333
ˈɔ	-	0.333
ˈœ	ˈo	0.333
ɡ	ɡ	0.333
s	ʦ	0.324
ʎ	ʎː	0.308
l	r	0.292
l	dː	0.292
t	ɬ_t	0.286
ˈu	ˈu	0.261
ɒ	-	0.25
m	mː	0.25
l	j	0.25
d	-	0.235
ˈɪ	ˈi	0.231
w	ˈo	0.231
ˈy	-	0.222
v	b	0.214
n	-	0.188
k	ɡː	0.182
s	ʦː	0.176
ʧ	t	0.16
ʀ	-	0.16
ŋ	ŋ	0.158
ŋ	n_t	0.158
ˈɪ	ˈɛ	0.154
ʎ	u	0.154
ʎ	-	0.154
ʤ	ɡ	0.133
ˈu	ˈo_r	0.13
b	bː	0.125
ˈa	j	0.121
ˈa	-	0.121
ʧ	xː	0.12
ʧ	-	0.12
s	sː	0.118
d	dː	0.118
w	β_i	0.115
w	β	0.115
w	-	0.115
j	u	0.111
j	tː_u	0.111
j	tː_i	0.111
j	i	0.111
p	pː	0.107
ʀ	rː	0.1
ə	r_u	0.094
k	ɡ	0.091
ɔ	u	0.088
ɔ	i	0.088
ˈu	ˈɔ	0.087
ˈu	ˈo_tː	0.087
l	u	0.083
l	lː	0.083
ʀ	i	0.08
ʀ	a_r	0.08
ŋ	u	0.079
ŋ	nː	0.079
ŋ	i	0.079
w	j	0.077
ˈe	-	0.067
ə	ˈi	0.062
ə	j	0.062
f	fː	0.062
ʀ	ˈi	0.06
j	ʣ	0.056
