Provençal	Provençal	probability
ˈɔ	ˈɛ_f	1.0
ˈỹ	ˈỹ	1.0
ˈu_#>	ˈu_r_#>	1.0
ˈĩ	ˈĩ	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈẽ	ˈẽ	1.0
ˈã	ˈã	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_r_#>	1.0
ʧ	t	1.0
ɾ	r	1.0
ɥ	w	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
z	z	1.0
y	-	1.0
w_ˈẽ	ˈũ	1.0
w_ˈe	ˈɔ	1.0
w_ɾ	v_r	1.0
v	v	1.0
ũ	ũ	1.0
t_ɔ	t_ə	1.0
t	t	1.0
s_ɔ	s_ə	1.0
s_k	s_k	1.0
p	p	1.0
mː	m_ˈã	1.0
m_#>	m_#>	1.0
lː	l	1.0
l	l	1.0
k_a	ʧ_ə	1.0
j_ˈe	ˈi	1.0
j_ɔ	ʎ_ə	1.0
ĩ	ĩ	1.0
f	f	1.0
ẽ	ũ	1.0
e_d	ə	1.0
e_#>	#>	1.0
d_ɔ	ə	1.0
ã	ã	1.0
<#_ˈã	<#_ˈã	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_ã	1.0
m	m	0.941
n	n	0.9
a	a	0.867
ʀ	r	0.84
d	d	0.824
e	ə	0.795
ɲ	ɲ	0.778
b	b	0.76
ˈũ	ˈũ	0.75
ʤ	ʤ	0.737
ˈu	ˈu	0.733
u	u	0.733
ˈy	ˈy	0.667
ˈi	ˈi	0.647
j	j	0.632
k_#>	k_#>	0.625
i	-	0.625
ɡ	ɡ	0.611
ɥ_ˈe	ˈy	0.6
j_#>	j_#>	0.6
ŋ	n	0.596
ˈɛ	ˈɛ	0.581
w_#>	l_#>	0.577
s	s	0.525
s_ˈe	s_ˈɛ	0.5
s_ˈe	s_ˈɔ	0.5
k	k	0.463
ˈa	ˈa	0.413
ɥ_ˈe	ˈy_j	0.4
j_#>	#>	0.4
ɡ	-	0.389
s	ʦ	0.375
k_#>	#>	0.375
i	i	0.375
w	w	0.368
k	ʧ	0.366
ˈy	ˈy_r	0.333
#>	s_#>	0.333
#>	t_#>	0.292
ˈe	ˈɔ	0.286
w_#>	#>	0.269
u	-	0.267
j	ʎ	0.263
b	v	0.24
ŋ	n_t	0.231
ɲ	-	0.222
w	ˈɔ	0.211
#>	r_#>	0.208
ˈe	ˈɛ	0.2
ˈi	ˈĩ	0.176
ˈi	-	0.176
d	-	0.176
ˈe	ˈe	0.171
ˈe	-	0.171
ˈũ	ˈũ_j	0.167
ʀ	r_t	0.16
ʤ	j	0.158
w	l	0.158
w_#>	f_#>	0.154
ŋ	ŋ	0.135
ˈu	ˈɔ	0.133
ˈu	ˈy	0.133
a	-	0.133
ˈa	ˈɛ	0.13
k	ʧ_j	0.122
ˈa	ˈe	0.109
ʤ	-	0.105
w	ˈɛ	0.105
w	ˈũ	0.105
j	ˈɛ	0.105
n	m	0.1
ˈɛ	ˈɔ	0.097
ˈɛ	j_ˈɛ	0.097
ˈɛ	j	0.097
ˈa	ˈã_j	0.087
ˈe	ˈẽ	0.086
ˈe	w	0.086
ˈũ	ˈõ	0.083
#>	ə_#>	0.083
#>	n_#>	0.083
e	r_ə	0.068
ˈɛ	ˈɔ_j	0.065
ˈɛ	-	0.065
ˈa	ˈã	0.065
ˈa	-	0.065
m	n	0.059
w	ˈo	0.053
