East Low German	Saterland Frisian	probability
ˈɛː	-	1.0
ˈœː	ˈuː	1.0
ˈœ	-	1.0
ˈyː	j_ˈuː	1.0
ˈuː_æ	ˈoːu̯	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ˈa_n	ˈoːu̯_n	1.0
ʃ_l	s_l	1.0
ɪ	ɪ	1.0
z	s	1.0
x	x	1.0
w	v	1.0
v	v	1.0
tʰ	t	1.0
t_n	t_ə	1.0
s_#>	s_#>	1.0
p	p	1.0
l	l	1.0
j	j	1.0
h	h	1.0
d_r	r	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	s_#>	1.0
f	f	0.929
r	r	0.882
d	d	0.854
ç	x	0.846
kʰ	k	0.846
ˈuː	ˈuː	0.833
ɡ	ɣ	0.818
m	m	0.806
ˈʊ	ˈʊ	0.8
ŋ	ŋ	0.786
ˈɔʏ̯	ˈɛɪ̯	0.75
s	s	0.75
k	k	0.706
ˈiː	ˈi	0.692
æ	r	0.676
<#	<#_t	0.667
t	t	0.604
n	n	0.603
ˈaː	r	0.6
ʃ	s_k	0.6
ˈaʊ̯	ˈoː	0.55
ˈɪ	ˈɪ	0.542
ˈʏ	ˈɛː	0.5
ˈoː	ˈoː	0.5
ˈoː	ˈiː	0.5
ˈaʊ̯	ˈoːu̯	0.45
ˈaː	ˈiː_r	0.4
ʃ	s	0.4
ˈae̯	ˈeː	0.391
ˈɛ	ˈɛ	0.333
ˈɛ	ˈɔː	0.333
ˈɛ	ˈa_n	0.333
ˈɔ	ˈɔ	0.333
<#	<#_j	0.333
ˈɒː	ˈɔː	0.312
ˈiː	ˈiː	0.308
ˈae̯	j_ˈoː	0.304
k	k_ə	0.294
ˈa	ˈɔː	0.278
ˈʏ	ˈʊ	0.25
ˈʏ	ˈɛ	0.25
ˈɔʏ̯	ˈeː	0.25
s	k	0.25
n	ə	0.238
æ	ə_r	0.235
t	d	0.229
ˈɔ	ˈɔː	0.222
ˈɔ	ˈuː	0.222
ˈɔ	ˈoːu̯	0.222
ŋ	ɣ	0.214
ˈʊ	ˈuː	0.2
ˈɒː	ˈɛɪ̯	0.188
ɡ	ɡ	0.182
ˈɪ	ˈiː	0.167
ˈuː	ˈoːu̯_d	0.167
ˈa	ˈɔ	0.167
ˈa	ˈaː	0.167
ˈa	ˈa	0.167
t	t_ə	0.167
ç	ɣ_ə	0.154
kʰ	s	0.154
ˈae̯	ˈoː	0.13
ˈɪ	ˈʊ	0.125
ˈɒː	ˈuː	0.125
ˈɒː	ˈoːu̯	0.125
ˈɒː	ˈoː	0.125
ˈɒː	-	0.125
r	r_j	0.118
ˈa	ˈɛː	0.111
ˈa	ˈoː	0.111
d	t	0.098
m	ə	0.097
m	v_ə	0.097
n	j_ə	0.095
æ	ə	0.088
ˈae̯	ˈɛɪ̯	0.087
ˈae̯	ˈaː	0.087
ˈɪ	ˈiː_n	0.083
ˈɪ	ˈi	0.083
f	x	0.071
