North Frisian	Yiddish	probability
b	b	1.0
dʲ	t	1.0
f	f	1.0
h	h	1.0
i	ɪ_k	1.0
l	l	1.0
lʲ	l	1.0
nʲ	n	1.0
x	χ	1.0
ɡ	ɡ	1.0
ˈaː	ˈʊ	1.0
ˈɔ	ˈɔ	1.0
ˈɔu̯	ˈɪ	1.0
ˈɛ	ˈɪ	1.0
d	ɡ	0.101
j	-	0.51
t	s	0.161
ŋ	-	0.151
ʃ	ʃ	0.981
ˈa	d_#>	0.061
ˈeː	ˈɔ	0.261
ˈiː	ˈɪ_n	0.061
ˈiː	ˈɛ	0.231
ˈøː	ə	0.721
ˈɒ	ˈɛɪ̯	0.1
ˈɔː	ˈɔ	0.301
ˈɛː	ˈɛ	0.801
j	l	0.052
r	ʀ	0.972
ŋ	ŋ_ɡ	0.72
ˈuː	ˈa	0.272
ˈyː	ˈʊ	0.242
ˈɒː	ˈa	0.762
m	m	0.93
n	n	0.863
p	p	0.053
s	ʃ	0.173
tʲ	s	0.883
ə	ə	0.423
ə	n	0.443
ˈa	n_#>	0.193
ˈeː	ˈɛ	0.493
ˈyː	ˈɔɪ̯	0.643
ˈœ	ˈɪ	0.063
ˈœ	ˈɔ	0.163
ˈʊ	ˈɪ	0.183
d	d	0.204
k	k	0.574
s	-	0.074
t	t	0.354
z	s	0.634
ə	-	0.134
ˈai̯	ˈaɪ̯	0.74
ˈiː	ˈɔɪ̯	0.064
ˈɔː	ˈɪ	0.224
ˈɛi̯	ˈɔ	0.264
ˈʊ	ˈʊ	0.534
v	v	0.665
w	ˈaɪ̯	0.395
w	-	0.605
ˈa	t_#>	0.065
ˈa	ˈɛ	0.065
ˈeː	ˈɪ	0.205
ˈiː	ˈɪ	0.265
ˈyː	ˈaɪ̯	0.115
k	χ	0.426
s	s	0.106
t	d	0.126
v	f	0.06
z	<#_v	0.366
ˈai̯	ˈɪ	0.26
ˈi	ˈɪ	0.376
ˈi	ˈaɪ̯	0.436
ˈœ	ˈʊ	0.206
ˈɔː	ˈɛ	0.306
ˈɛi̯	ˈɛ	0.26
ˈɛi̯	ˈɪ	0.476
d	t	0.637
s	z	0.537
tʲ	d	0.117
ˈa	ɡ_#>	0.087
ˈɔː	ˈa	0.17
d	s	0.058
j	ɡ	0.438
n	n_t	0.058
p	f	0.938
ŋ	ŋ	0.128
ˈa	ˈa	0.138
ˈa	ˈɪ	0.318
ˈi	ˈɛ	0.188
ˈuː	ˈɔɪ̯	0.728
ˈœ	ˈa	0.568
ˈɒː	ˈɔ	0.238
ˈʊ	ˈa	0.258
n	n_d	0.079
t	ʦ	0.359
v	b	0.229
ˈiː	ˈɛɪ̯	0.339
ˈøː	ˈɔɪ̯	0.279
ˈɒ	ˈa	0.9
ˈɛː	ˈɔ	0.199
