Sicilian	Venetian	probability
a	a	0.906
a	-	0.083
b	b	1.0
c	p	0.802
c	k	0.198
cː	ʧ	1.0
d	d	0.904
dː	d	1.0
f	f	1.0
i	e	0.592
i	i	0.147
i	a	0.12
j	z	0.509
j	j	0.18
j	-	0.176
j	e	0.11
k	k	0.645
k	ɡ	0.29
k	-	0.065
kː	k	1.0
l	ɰ	0.521
l	l	0.348
l	-	0.131
lː	ˈi	1.0
m	m	0.921
m	ŋ	0.058
mː	m	0.918
mː	i	0.082
n	n	0.589
n	ŋ	0.363
nː	n	0.691
nː	ŋ	0.157
nː	m	0.153
o	o	1.0
p	p	0.752
p	v	0.228
r	r	0.98
s	s	1.0
sː	s	1.0
t	t	0.614
t	d	0.201
t	-	0.185
tː	t	1.0
u	o	0.84
u	-	0.1
u	ˈɔ	0.06
v	v	0.933
w	-	0.427
w	w	0.385
w	u	0.111
w	l	0.077
z	z	1.0
ç	f	1.0
ŋ	ŋ	1.0
ɕ	s	0.528
ɕ	z	0.455
ɖː	-	0.634
ɖː	l	0.204
ɖː	n	0.083
ɖː	ɰ	0.08
ɟ	ʤ	1.0
ɟː	ʤ	0.335
ɟː	-	0.274
ɟː	j	0.203
ɟː	b	0.158
ɡ	ɡ	0.981
ɪ	e	0.502
ɪ	-	0.39
ɲː	ɲ	0.932
ɲː	ʤ	0.051
ɽ	r	1.0
ɾ	r	0.847
ɾ	d	0.072
ɾ	-	0.056
ʃ	s	1.0
ʃː	s	0.951
ʈ	-	0.761
ʈ	t	0.239
ʈː	t	1.0
ʊ	o	0.874
ʊ	-	0.122
ʐ	r	1.0
ʐː	r	1.0
ʤ	z	0.939
ʤ	b	0.061
ʤː	z	1.0
ʦ	s	1.0
ʦː	z	0.576
ʦː	s	0.332
ʦː	d	0.091
ʧː	s	1.0
ˈa	ˈa	0.969
ˈe	ˈe	0.725
ˈe	ˈɛ	0.275
ˈi	ˈe	0.46
ˈi	ˈi	0.438
ˈi	ˈɛ	0.075
ˈo	ˈɔ	0.552
ˈo	ˈo	0.448
ˈu	ˈu	0.47
ˈu	ˈo	0.434
ˈɔ	ˈɔ	0.615
ˈɔ	ˈo	0.286
ˈɔ	-	0.061
ˈɛ	ˈɛ	0.726
ˈɛ	ˈe	0.108
ˈɛ	ˈi	0.064
ˈɛ	-	0.054
