Yiddish	Nynorsk Norwegian	probability
b	b	0.707
b	ʋ	0.179
b	-	0.106
d	-	0.358
d	d	0.289
d	tʰ	0.219
d	nː	0.077
d	sː	0.04
f	f	0.614
f	p	0.173
f	ʋ	0.167
f	pʰ	0.041
h	h	0.908
h	-	0.091
j	ˈʊ	0.5
j	ˈoː	0.5
k	kʰ	0.415
k	ç	0.196
k	ɡː	0.134
k	k	0.088
k	ɡ	0.067
l	l	0.787
l	lː	0.134
l	-	0.053
l	nː	0.029
m	m	0.805
m	m_j	0.087
m	-	0.058
m	mː	0.047
n	n	0.403
n	-	0.279
n	ɑ	0.184
n	nː	0.107
n_t	nː	1.0
p	-	0.316
p	p	0.316
s	t	0.649
s	s	0.287
s	-	0.06
t	d	0.379
t	-	0.327
t	t	0.21
t	ç	0.037
t	ʋ	0.033
v	ʋ	0.679
v	-	0.194
v	v	0.06
v	m	0.059
v_ˈɔ	ˈʉ	1.0
v_ˈɪ	ˈʏ	0.479
z	s	0.75
z	s_e	0.109
z	ʃ	0.09
z	-	0.042
ŋ	ŋː	0.797
ŋ	-	0.102
ŋ	ɲ	0.068
ŋ_k	ʰkː	1.0
ə	e	0.406
ə	-	0.29
ə	ɑ	0.225
ə	ɛ	0.04
ə	ˈøː	0.036
ə_m	m	1.0
ɛ	-	0.715
ɛ	e	0.28
ɡ	ɡ	0.523
ɡ	-	0.316
ɡ	j	0.155
ɪ	-	0.248
ɪ	ɑ	0.216
ɪ	ŋ	0.216
ʀ	ɾ	0.893
ʀ	-	0.055
ʀ	n	0.032
ʀ_d	ɾ	0.479
ʁ	tʰ	0.316
ʁ	ɾ	0.316
ʃ	s	0.742
ʃ	s_k	0.196
ʃ	ʃ	0.05
ʃ_v	s	1.0
ʎ	j	0.229
ʦ	tʰ	0.415
ʦ	t	0.297
ʦ	-	0.147
ʦ	çː	0.087
ʦ_v	tʰ	1.0
ʧ	ʃ	1.0
ˈa	ˈɑ	0.626
ˈa	ˈɑː	0.14
ˈa	ˈɔ	0.061
ˈa	ˈeː	0.039
ˈa	ˈɛ	0.039
ˈaɪ̯	ˈiː	0.571
ˈaɪ̯	ˈyː	0.172
ˈaɪ̯	ˈɛ	0.13
ˈaɪ̯	ˈeː	0.072
ˈaɪ̯	ˈʏ	0.045
ˈaɪ̯_ə	ˈyː	1.0
ˈi	ˈoː	0.229
ˈɔ	ˈɑː	0.257
ˈɔ	ˈoː	0.212
ˈɔ	ˈɑ	0.147
ˈɔ	ˈɔ	0.093
ˈɔ	ˈʊ	0.054
ˈɔɪ̯	ˈæʉ̯	0.284
ˈɔɪ̯	ˈʉː	0.281
ˈɔɪ̯	ˈœʏ̯	0.174
ˈɔɪ̯	ˈʉ	0.085
ˈɔɪ̯	ˈøː	0.063
ˈɛ	ˈɛ	0.372
ˈɛ	ˈeː	0.177
ˈɛ	ˈɛː	0.073
ˈɛ	j	0.05
ˈɛ	ˈɔ	0.048
ˈɛɪ̯	ˈæɪ̯	0.708
ˈɛɪ̯	ˈøː	0.179
ˈɛɪ̯	ˈuː	0.056
ˈɛɪ̯	ˈæːɪ̯	0.037
ˈɪ	ˈɪ	0.281
ˈɪ	ˈeː	0.133
ˈɪ	ˈʏ	0.133
ˈɪ	ˈiː	0.123
ˈɪ	ˈøː	0.105
ˈʊ	ˈuː	0.36
ˈʊ	ˈɔ	0.137
ˈʊ	ˈʉ	0.11
ˈʊ	ˈʊ	0.11
ˈʊ	ˈʉː	0.11
ˈʊ_t	ˈuː	1.0
χ	k	0.433
χ	ɡ	0.391
χ	-	0.11
χ	ç	0.058
χ_t	ʰtː	0.889
χ_t	s	0.081
