Bokmål Norwegian	Old High German	probability
ˈʊ	-	1.0
ˈɪ	ˈi	1.0
ˈɑ	ˈɑ	1.0
ˈœʏ̯	ˈou̯	1.0
ˈœ_mː	mː	1.0
ʈː	r_ʦ	1.0
ɳ	r_n	1.0
ɪ	ɑ	1.0
ɡ	ɡ	1.0
ŋː	ŋ_ɡ	1.0
ŋ	-	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ˈøː	s_ˈuo̯	1.0
s_t	s_t	1.0
s	s	1.0
pʰ	p͡f	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
j_ˈɛ	h_ˈɛ	1.0
i	ɑ_ɡ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
ɾ	r	0.932
ˈæː	ˈɛ	0.84
ʋ	w	0.815
ˈoː	ˈɑː	0.812
ˈɑː	ˈɑ	0.804
ˈæɪ̯	ˈei̯	0.785
ˈʉ	ˈu	0.781
ˈʏ	ˈu	0.773
tʰ	d	0.706
ˈyː	ˈio̯	0.693
ʂ	s_k	0.649
lː	l	0.626
d	-	0.622
ˈøː	ˈoː	0.618
p	f	0.606
ˈʉː	ˈuː	0.575
ˈiː	ˈiː	0.569
ə	ɑ	0.568
ˈuː	ˈuo̯	0.539
t	s̻	0.495
ˈɔ	ˈu	0.486
ˈuː	ˈo	0.461
tː	x_t	0.447
k	k	0.42
ˈœ	ˈu	0.412
nː	n_t	0.402
ˈeː	-	0.394
d	t	0.378
tː	s̻	0.365
ʂ	s	0.351
k	xː	0.342
ɡː	kː_ɑ	0.333
ɡː	kː	0.333
ɡː	-	0.333
ˈeː	ˈɛ	0.312
t	s̻ː	0.308
ˈyː	ˈiu̯	0.307
j	ɡ	0.306
ˈɔ	-	0.296
tʰ	ʦ	0.294
ˈɛ	ˈei̯	0.281
nː	nː	0.271
j	ˈɛ	0.263
j	-	0.251
p	p	0.241
k	x	0.237
ˈʏ	ˈiu̯	0.227
ˈœ	-	0.218
ˈɔ	ˈɑ	0.217
ˈiː	ˈi	0.216
ˈæɪ̯	ˈɛ_ɡ	0.215
ˈiː	n	0.215
ˈeː	ˈei̯	0.21
ˈœ	ˈou̯	0.209
nː	n	0.204
t	t	0.197
ˈɑː	ˈɑ_t	0.196
ˈøː	ˈou̯	0.19
ˈʉː	ˈo	0.189
ˈoː	ˈɑ_h	0.188
tː	ʦː	0.188
lː	lː	0.187
lː	l_d	0.187
ˈɛ	ˈɑ	0.181
j	x	0.179
ˈœ	ˈuo̯	0.161
ˈæː	ˈie̯	0.16
ˈɛ	ˈe	0.158
p	fː	0.153
ə	o	0.141
ˈʉː	ˈio̯	0.135
ˈɛ	-	0.133
ˈøː	ˈeː	0.129
nː	n_d	0.124
ˈʉ	ˈo	0.114
ˈʉ	w_ˈo	0.104
ˈʉː	-	0.101
ʋ	b	0.097
ˈɛ	ˈi	0.093
ˈɛ	ˈɛ	0.09
ə	i	0.086
ˈeː	tː	0.084
ə	e	0.077
ˈɛ	ˈiː	0.065
ˈøː	ou̯	0.063
ʋ	-	0.054
ə	n	0.052
