English	Swiss German	probability
b	b̥	1.0
d	t	0.702
d	d̥	0.187
d	r_t	0.039
d	ʦ	0.033
d	tː	0.032
f	f	0.779
f	b̥	0.141
f	χ	0.043
f	ɡ̊	0.039
h	h	1.0
j	j	0.488
j	ˈøi̯	0.28
j	ɡ̊	0.171
k	χ	0.573
k	k	0.421
kʰ	χ	0.875
kʰ	f	0.092
l	l	1.0
m	m	0.821
m	r_m	0.117
m	mː	0.053
n	n	0.659
n	-	0.3
n	nː	0.031
n	i	0.03
n_d	ŋ	1.0
p	f	0.554
p	fː	0.132
p	p͡f	0.132
p	p	0.087
pʰ	p͡f	0.491
s	s	0.598
s	ʃ	0.401
t	sː	0.292
t	χ_t	0.227
t	t	0.204
t	s	0.139
t	ʦ	0.105
tʰ	ʦ	0.964
tʰ	-	0.04
v	f	0.447
v	b̥	0.218
v	b̥_ə	0.218
v	-	0.075
w	ʋ	0.879
w	-	0.049
w	ˈei̯	0.047
w	r	0.041
z	s	0.784
z	r	0.125
ð	d̥	0.45
ð	tː	0.283
ð	t	0.114
ð	d̥_ə	0.114
ŋ	ŋ	0.751
ŋ	ŋ_ə	0.149
ŋ	i	0.053
ə	ə_r	0.43
ə	r	0.237
ə	r_ə	0.113
ə	-	0.077
ə	ə	0.067
əʊ̯	-	0.629
əʊ̯	ə	0.361
ɡ	ɡ̊	0.809
ɡ	-	0.181
ɪ	i_ɡ̊	0.372
ɪ	i	0.182
ɪ	ˈe	0.182
ɪ	-	0.123
ɪ	ə	0.08
ɫ	l	0.681
ɫ	l_ə	0.106
ɫ	ɡ̊_l	0.098
ɫ	n	0.057
ɫ	ə_l	0.053
ɹ	r	0.988
ɹ	b̥	0.033
ʃ	ʃ	0.917
ʃ	ʃː	0.072
ʤ	ɡ̊	1.0
ʧ	χ	1.0
ˈaɪ̯	ˈiː	0.307
ˈaɪ̯	ˈyː	0.18
ˈaɪ̯	ˈi	0.112
ˈaɪ̯	ˈɒ	0.079
ˈaɪ̯	ˈiə̯	0.079
ˈaʊ̯	ˈuː	0.598
ˈaʊ̯	ˈu	0.178
ˈaʊ̯	ˈuə̯	0.135
ˈaʊ̯	ˈo	0.072
ˈaʊ̯_θ	ˈuː	1.0
ˈe	ˈæ	0.22
ˈe	ˈoː	0.135
ˈe	ˈe	0.108
ˈe	ˈei̯	0.092
ˈe	ˈy	0.061
ˈeɪ̯	ˈɒ	0.417
ˈeɪ̯	ˈɒː	0.279
ˈeɪ̯	ˈæ_ɡ̊	0.191
ˈeɪ̯	ˈoː	0.065
ˈeɪ̯	ˈæː	0.036
ˈiː	ˈyː	0.177
ˈiː	ˈyə̯	0.126
ˈiː	ˈau̯	0.107
ˈiː	ˈou̯	0.099
ˈiː	ˈɒː	0.081
ˈuː	ˈuə̯	0.253
ˈuː	ˈɒ	0.253
ˈuː	-	0.167
ˈuː	ˈo	0.167
ˈuː	ˈøi̯	0.117
ˈæ	ˈɒ	0.288
ˈæ	ˈæ	0.213
ˈæ	ˈɒː	0.213
ˈæ	ˈa	0.141
ˈæ	ˈø	0.099
ˈɐ	ˈu	0.206
ˈɐ	ˈuə̯	0.175
ˈɐ	ˈoː	0.175
ˈɐ	ˈɒ	0.1
ˈɐ	ˈyə̯	0.1
ˈɑː	ˈa	0.345
ˈɑː	ˈɒː	0.319
ˈɑː	ˈæ	0.135
ˈɑː	ˈɒ	0.098
ˈɑː	ˈæː	0.073
ˈɒ	ˈɒ	0.263
ˈɒ	ˈo	0.263
ˈɒ	ˈu	0.174
ˈɒ	ˈæ	0.118
ˈɒ	ˈæi̯	0.118
ˈɔː	ˈo_r	0.211
ˈɔː	ˈɒ_r	0.179
ˈɔː	ˈɒ	0.179
ˈɔː	ˈe	0.156
ˈɔː	ˈiə̯	0.103
ˈəʊ̯	ˈɛi̯	0.162
ˈəʊ̯	ˈɒ	0.162
ˈəʊ̯	ˈæi̯	0.141
ˈəʊ̯	ˈeː	0.122
ˈəʊ̯	ˈo	0.093
ˈɛ	ˈɒː	0.74
ˈɛ	ˈæ	0.135
ˈɜː	ˈi	0.361
ˈɜː	ˈæ	0.221
ˈɜː	ˈu	0.125
ˈɜː	ˈoː	0.076
ˈɪ	ˈi	0.363
ˈɪ	ˈy	0.13
ˈɪ	ˈyː	0.074
ˈɪ	ˈæ	0.069
ˈɪ	ˈiː	0.069
ˈʊ	ˈuə̯	0.496
ˈʊ	ˈo	0.32
ˈʊ	ˈu	0.136
θ	d̥	0.77
θ	ŋ	0.089
θ	r_d̥	0.081
θ	t	0.047
