Standard Serbian	Czech	probability
̌	-	1.0
̂_o	l_iː	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʎ	l	1.0
ɲ	ɲ	1.0
ɡ_a	ɦ_ɛ	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̌	ou̯	1.0
u_̂	u	1.0
s_a	s	1.0
s	s	1.0
r_eː	r̝_ɛ	1.0
p	p	1.0
o_̂	uː	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː_̂	ɪ	1.0
iː	iː	1.0
i_̂	iː	1.0
d_e	d_ɛ	1.0
aː_̂	aː	1.0
a_m	m̩	1.0
a_k	k_iː	1.0
z	z	0.928
t	t	0.927
ʋ	v	0.914
k	k	0.907
d	d	0.885
b	b	0.858
o	o	0.855
e	ɛ	0.848
oː	o	0.789
aː	a	0.721
ʒ	ʒ	0.696
r	r	0.671
a	a	0.652
r̩	r̩	0.631
i	ɪ	0.619
a_̂	aː	0.612
ʦ	ʦ	0.605
e_̂	iː	0.6
r̩ː	r	0.585
u	l̩	0.517
eː_̂	ɛ	0.5
a_r	r̩	0.5
a_r	r_iː	0.5
u	ou̯	0.483
eː	ɛ	0.426
r̩ː	r̩	0.415
uː	u	0.404
e_̂	ɛː	0.4
ʦ	-	0.395
a_̂	ɛ	0.388
i	-	0.381
r̩	r̝	0.369
eː_̂	j_ɛ	0.325
ʒ	ʒ̊	0.304
aː	-	0.279
eː	iː	0.266
uː	-	0.261
oː	uː_l	0.211
r	r̝	0.201
uː	l_u	0.193
eː	-	0.176
eː_̂	a	0.175
a	ɛ	0.161
e	-	0.152
uː	ou̯	0.142
b	b̥	0.142
eː	j_ɛ	0.132
r	r̝̊	0.128
a	-	0.118
d	ɟ	0.115
k	-	0.093
ʋ	v_j	0.086
o	l	0.081
t	c	0.073
z	-	0.072
a	o	0.07
o	ɛ	0.064
