Venetian	Occitan	probability
f	f	1.0
w	-	1.0
ʤ	-	1.0
d	d	0.61
e	j	0.1
e	-	0.251
m	m	0.961
o	u	0.151
o	w	0.151
ŋ	n	0.1
ŋ	ŋ	0.371
ɰ	-	0.101
ɲ	ɲ	0.681
ʧ	-	0.701
ˈe	l_ˈe	0.061
ˈɔ	ˈu	0.081
a	ɔ	0.722
d	-	0.102
e	e	0.572
i	-	0.162
k	k	0.982
r	j_ɾ	0.072
v	v	0.542
ɡ	k	0.142
ˈo	ˈy	0.152
ˈɔ	ɥ_ˈɛ	0.092
a	-	0.103
b	b	0.843
j	-	0.23
n	n	0.893
p	p	0.963
t	ʧ	0.143
ɡ	-	0.153
ʧ	ʎ	0.053
ˈi	-	0.133
ˈu	ˈu	0.33
ˈɔ	ˈy	0.053
ˈɔ	ˈa_w	0.204
l	l	0.615
o	-	0.335
o	e	0.335
r	r	0.265
s	s	0.845
z	z	0.15
z	-	0.325
ʧ	<#_e	0.205
ˈi	ˈi	0.845
a	a	0.136
j	i	0.086
r	ɾ	0.566
s	j_s	0.146
ˈa	ˈa	0.996
ˈe	ˈɛ	0.266
ˈo	ˈu	0.706
ˈɛ	j_ˈɛ	0.106
ˈɛ	ˈe	0.186
ˈɛ	ˈɛ	0.656
b	β	0.157
e	ˈɛ	0.077
j	j	0.087
l	-	0.067
l	w	0.317
n	-	0.107
t	t	0.857
z	ʒ	0.367
ɡ	ɡ	0.297
ˈe	ˈe	0.657
ˈu	ˈy	0.67
ˈɔ	ˈɔ	0.57
d	ð	0.288
i	i	0.648
v	β	0.458
ŋ	m	0.528
ˈo	ˈɔ	0.108
i	e	0.189
j	l	0.589
ɡ	ɣ	0.409
ɰ	l	0.899
ɲ	n	0.319
