Italian	Asturian	probability
bː	-	1.0
f	f	1.0
kː	k	1.0
lː	ʎ	1.0
rː	r	1.0
z	s	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	θ	1.0
ʎː	ʝ	1.0
ʤː	-	1.0
ʧ	θ	1.0
ʧː	-	1.0
ˈe	ˈe	1.0
e	a	0.051
j	j	0.41
tː	ʧ	0.591
ɡ	ɡ	0.441
ʤ	ʃ	0.901
ˈo	w_ˈe	0.051
ˈɔ	w_ˈe	0.441
a	s_#>	0.062
i	e	0.282
j	ʎ	0.112
l	ʎ	0.562
nː	ɲ	0.752
sː	s	0.522
t	-	0.082
ʤ	θ	0.062
ˈu	ˈu	0.82
b	b	0.843
d	d	0.523
n	-	0.053
s	s	0.83
w	w	0.733
ɡ	ɣ	0.363
ˈo	ˈu	0.083
ˈu	ˈo	0.13
ˈɔ	ˈe	0.113
j	-	0.244
v	b	0.604
ˈa	ˈa	0.904
ˈɔ	ˈo	0.414
ˈɛ	ˈe	0.434
a	a	0.895
d	-	0.335
e	ˈe	0.085
m	m	0.985
p	β	0.225
p	p	0.775
ˈo	ˈo	0.865
e	e	0.796
i	-	0.26
j	l	0.196
k	k	0.886
r	-	0.066
r	ɾ	0.866
v	β	0.396
ɡ	-	0.196
ˈa	ˈe	0.06
ˈɛ	j_ˈe	0.566
b	β	0.157
k	-	0.07
n	n	0.947
o	o	0.087
s	e_s	0.17
t	ð	0.37
nː	<#_ɡ	0.248
o	u	0.798
r	r	0.068
sː	ʃ	0.478
t	t	0.548
w	-	0.258
d	ð	0.109
i	i	0.339
l	l	0.389
tː	t	0.409
ˈi	ˈi	0.909
