Danish	Old Frisian	probability
ˈɛː	ˈa	1.0
ˈɛˀ	-	1.0
ˈɛ_l	l_ə	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈuː	1.0
ˈɒː	-	1.0
ˈɒˀ	ˈeː_r	1.0
ˈɑː	ˈa_z	1.0
ˈœː	ˈe	1.0
ˈø_m	mː	1.0
ˈæˀ	-	1.0
ˈyː	ˈi̯aː	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈi	ˈi	1.0
ˈeː	ˈa	1.0
ʨ	θ	1.0
ʁ_ˈœ	r	1.0
ɕ	s	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ_ɡ	1.0
wˀ	m	1.0
s_ə	z_ə	1.0
s	s	1.0
pʰ	p	1.0
mˀ	-	1.0
m	m	1.0
kʰ	ʦ	1.0
jˀ	j	1.0
f	f	1.0
e	-	1.0
b̥_ə	p_ə	1.0
b̥	b	0.925
ʦʰ	θ	0.896
l	l	0.861
h	h	0.861
ʋ	w	0.815
ˈuˀ	ˈuː	0.794
ˈu	ˈu	0.757
nˀ	n_d	0.731
ə	ə	0.726
d̥	t	0.716
lˀ	l	0.689
ʁ	r	0.659
ˈɔˀ	ˈeː	0.653
n	n	0.649
ˈeˀ	ˈɛː	0.644
ˈuː	ˈuː	0.631
ˈyˀ	ˈi̯aː	0.625
ˈɑ	ˈe	0.617
ˈe	ˈi	0.617
ˈoˀ	ˈoː	0.602
ˈøː	ˈaː	0.6
ˈo	-	0.598
ˈø	-	0.593
ˈiː	-	0.571
ˈøˀ	-	0.567
ˈiˀ	ˈiː	0.555
ð̞ˠ	t	0.543
ˈɛ	ˈe	0.541
ɐ	r	0.541
ˈɑˀ	ˈe	0.536
ˈœˀ	-	0.507
ɡ̊	k	0.497
ˈœˀ	ˈaː	0.493
w	v	0.486
ˈɑˀ	ˈeː_r	0.464
ˈœ	-	0.462
ˈøˀ	ˈaː	0.433
ˈiː	ˈiː	0.429
ˈæ	ˈa	0.426
ˈø	w_ˈe	0.407
ˈo	ˈɔː	0.402
ˈøː	ˈeː	0.4
ˈoˀ	-	0.398
ˈɑ	-	0.383
ˈe	ˈe	0.383
ˈyˀ	ˈi̯uː	0.375
ˈuː	-	0.369
ˈʌ	-	0.366
j	-	0.356
j	h	0.352
ˈɔˀ	ˈaː_n	0.347
ɐ	ə_r	0.334
ˈæ	ˈe	0.321
ˈœ	ˈe	0.306
ˈiˀ	ˈi	0.29
d̥	x_t	0.284
nˀ	n	0.269
ˈæ	ˈɔː	0.253
ˈʌ	ˈu	0.252
ɡ̊	j	0.246
ð̞ˠ	t_ə	0.24
ˈœ	ˈɔː	0.232
w	ɣ	0.23
lˀ	l_d	0.208
ˈuˀ	-	0.206
ɡ̊	ɡː	0.202
ˈʌ	ˈe	0.196
ˈʌ	ˈa	0.187
ˈɛ	-	0.175
w	ɣ_ə	0.173
ˈeˀ	-	0.167
ˈɛ	ŋ	0.166
n	n_ə	0.163
ð̞ˠ	d	0.158
ˈiˀ	-	0.155
ʋ	h_w	0.151
j	ˈeː	0.149
ˈu	-	0.144
ˈeˀ	ˈaː	0.144
j	ɣ	0.143
l	l_ə	0.139
h	h_ˈɛː	0.139
ə	-	0.127
n	nː	0.127
ɐ	r_ə	0.125
ˈɛ	r	0.118
ʁ	ˈe	0.114
ʁ	r_ˈeː	0.114
ʁ	r_ˈi	0.112
w	bː	0.11
ʦʰ	t_w	0.104
lˀ	lː	0.103
ˈu	ˈo	0.099
b̥	pː	0.075
ð̞ˠ	tː	0.059
ə	j_ə	0.057
ɡ̊	x	0.055
