Aromanian	Aromanian	probability
ˈə	ˈe_u	1.0
ˈi_r	ˈi	1.0
ˈa_r	ˈa	1.0
ʎ_ˈi	e	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ŋ	-	1.0
ç	f	1.0
w	β	1.0
u_r	a_r	1.0
s_k	xː	1.0
r_ə	r_a	1.0
r_t	ɬ_t	1.0
r_n	rː	1.0
r_i_#>	#>	1.0
r_#>	r_u_#>	1.0
p_t	tː	1.0
n_ʣ	ɲː	1.0
n_#>	n_u_#>	1.0
l_e̯ˈa	j_ˈa	1.0
l_#>	dː_u_#>	1.0
k_e̯ˈa	p_ˈe	1.0
i_#>	#>	1.0
e̯ˈa_r	ˈe	1.0
e̯a	-	1.0
e	i	1.0
d	d	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʦ	1.0
<#_t	<#_t	1.0
<#_s	<#_i	1.0
<#_n	<#_n	1.0
#>	u_#>	1.0
u	u	0.886
f	f	0.818
<#_a	<#	0.778
b	b	0.769
ˈɨ	ˈa	0.75
n	n	0.742
i	i	0.739
i_r	ˈi	0.714
ə	a	0.682
ˈa	ˈa	0.667
v	v	0.667
k_ʎ	ʧː	0.667
<#	<#_i	0.667
p	p	0.652
ˈo	ˈɔ	0.65
ɡ	ɡ	0.625
ʤ	ʤ	0.6
ʃ	s	0.6
l	l	0.6
a	r	0.6
ʦ	ʦ	0.583
o̯ˈa	ˈɔ	0.583
ˈe	ˈɛ	0.538
r	r	0.538
ʣ	d	0.5
ʎ	ʎː	0.5
ʎ	l	0.5
ɲ	m	0.5
ɲ	-	0.5
k	k	0.5
m	m	0.483
e̯ˈa	ˈɛ	0.467
ˈe	ˈe	0.462
ˈi	ˈi	0.458
t	t	0.423
ʦ	-	0.417
ʤ	ʤː	0.4
ʣ	ʤ	0.4
ʃ	-	0.4
a	-	0.4
ɡ	-	0.375
s	s	0.375
j	v	0.364
ˈu	ˈo	0.355
v	-	0.333
k_ʎ	ʧ	0.333
e̯ˈa	ˈe	0.333
<#	<#_a	0.333
ˈu	ˈu	0.323
t	dː	0.308
ˈi	ˈɛ	0.292
i_r	a_r	0.286
m	-	0.276
j	j	0.273
ˈu	ˈɔ	0.258
ˈɨ	-	0.25
s	sː	0.25
s	-	0.25
o̯ˈa	-	0.25
m	mː	0.241
b	-	0.231
<#_a	<#_a	0.222
ˈo	ˈo	0.2
e̯ˈa	-	0.2
i	u	0.196
j	i	0.182
j	-	0.182
f	-	0.182
k	ɡː	0.176
ˈi	-	0.167
o̯ˈa	ˈo	0.167
t	tː	0.154
ˈo	ˈu	0.15
l	j	0.15
l	-	0.15
ˈa	ˈe	0.148
ə	i	0.136
p	bː	0.13
n	nː	0.129
s	ɬ	0.125
t	d	0.115
ə	u	0.114
ˈa	ˈɛ	0.111
r	j	0.103
r	-	0.103
ʣ	ʣ	0.1
l	ɬ	0.1
k	ɡ	0.088
k	kː	0.088
p	pː	0.087
p	-	0.087
ˈi	i	0.083
ˈa	-	0.074
ə	ˈi	0.068
ˈu	-	0.065
n	ɲː	0.065
n	-	0.065
i	a	0.065
k	p	0.059
k	k_a	0.059
u	r	0.057
u	i	0.057
r	ˈi	0.051
r	ˈa	0.051
r	u	0.051
r	rː	0.051
r	r_a	0.051
