Old West Norse	Bokmål Norwegian	probability
θ	tʰ	1.0
ˈɒu̯	ˈøː	1.0
ˈɑu̯_ð	ˈøː	1.0
ˈɑ_ð	ˈɑː	1.0
ˈuː	ˈʉː	1.0
ˈiː	ˈiː	1.0
ˈa	-	1.0
ʦ	s	1.0
ɾ	ɾ	1.0
ɣ_ɑ	ə	1.0
ɡː	ɡː	1.0
ɡ_r̥	ə_ɾ	1.0
ɟː	ɡː	1.0
ɟ	-	1.0
ɑː	ə	1.0
ð	-	1.0
ç	j	1.0
x_w	ʋ	1.0
tː	tː	1.0
tʰ	tʰ	1.0
s_l	s_l	1.0
s_c	ʂ	1.0
r̥ː	ɾ	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
n_d	nː	1.0
n_a	n_ə	1.0
mː	-	1.0
l̥	l	1.0
l_v	lː	1.0
l_d	lː	1.0
kː	kː	1.0
kʰ	kʰ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈyː	1.0
i_r̥	ə_ɾ	1.0
h	h	1.0
e	ə	1.0
d	d	1.0
cː	kː	1.0
cʰ	ç	1.0
c	k	1.0
b	b	1.0
a	ə	1.0
r	ɾ	0.974
s	s	0.939
ɑ	ə	0.937
v	ʋ	0.936
f	f	0.909
ŋ	ŋː	0.866
k	k	0.854
n	n	0.852
l	l	0.834
ˈɑː	ˈoː	0.804
ˈyː	ˈyː	0.797
m	m	0.786
t	t	0.784
ˈøy̯	ˈøː	0.771
nː	nː	0.766
ˈɔ	-	0.695
ˈi	ˈɪ	0.692
ˈɛ	ˈɛ	0.666
ɡ	-	0.634
lː	lː	0.624
u	ə	0.622
i	ə	0.611
ˈoː	ˈuː	0.591
ˈɛi̯	ˈæɪ̯	0.565
ˈøː	ˈøː	0.557
ˈɑu̯	ˈøː	0.55
ɣ	ɡ	0.547
ˈu	ˈʉ	0.509
r̥	ɾ	0.5
j	-	0.499
ˈɑ	ˈɑ	0.486
ˈy	ˈʏ	0.469
ˈɛː	-	0.457
ɣ	-	0.453
ˈɑu̯	-	0.45
ˈøː	ˈœ	0.443
ˈeː	-	0.415
ˈoː	-	0.409
u	-	0.378
lː	l	0.376
ˈy	-	0.37
ˈe	ˈɛ	0.368
ˈeː	ˈeː	0.365
ˈo	ˈuː	0.351
j	j	0.339
ˈɛ	-	0.334
ˈe	-	0.32
ˈɛː	ˈøː	0.305
r̥	ə_ɾ	0.3
ˈɛi̯	ˈɛ	0.25
ˈɛː	ˈɛ	0.239
i	ɾ	0.235
ɡ	ɡ	0.234
nː	n	0.234
ˈøy̯	ˈœʏ̯	0.229
ˈo	ˈœ	0.229
ˈeː	ˈɛ	0.219
ˈe	ˈæː	0.218
t	tː	0.216
m	mː	0.214
ˈyː	-	0.203
r̥	ə	0.2
ˈɑː	-	0.196
ˈɑ	ˈɑː	0.195
ˈɛi̯	ˈeː	0.185
ˈo	ˈʊ	0.174
ˈɑ	-	0.172
l	lː	0.166
j	ˈeː	0.162
ˈy	ˈœ	0.161
ˈɔ	ˈɔ	0.153
ˈɔ	ˈɑ	0.153
i	-	0.153
n	nː	0.148
ˈɑ	ˈɛ	0.147
k	-	0.146
ˈu	ˈʊ	0.141
ˈo	ˈɔ	0.141
ŋ	-	0.134
ɡ	ŋ	0.132
ˈi	-	0.131
ˈu	ˈʉː	0.127
ˈu	ˈʏ	0.112
ˈu	ˈɔ	0.111
ˈo	-	0.105
ˈe	ˈɪ	0.094
f	-	0.091
ˈi	ˈiː	0.089
ˈi	ˈeː	0.089
v	-	0.064
ɑ	-	0.063
s	ʂ	0.061
