Old English	Danish	probability
a	ə	1.0
b	b̥	0.959
bː	w	1.0
d	ð̞ˠ	0.503
d	d̥	0.282
d	-	0.106
d	s	0.063
dː	-	1.0
e	ə	0.514
e	ɐ	0.289
e	-	0.151
eo̯	ʋ	1.0
f	f	0.686
f	-	0.164
f	mˀ	0.097
f	ʋ	0.053
h	h	0.898
h	j	0.055
i	-	0.619
i	e	0.136
i	i	0.136
i	ð̞ˠ	0.109
iː	i	1.0
iːy̯	-	1.0
j	ɡ̊	0.399
j	-	0.269
j	j	0.171
j	ŋ	0.065
j	jˀ	0.054
k	kʰ	0.441
k	-	0.288
k	j	0.18
k	k	0.092
kː	k	1.0
l	l	0.934
l	-	0.053
lː	l	0.842
lː	lˀ	0.158
l̥	l	1.0
m	m	0.903
m	mˀ	0.052
mː	m	1.0
n	n	0.834
n	ŋ	0.064
n	-	0.054
nː	nˀ	0.906
nː	n	0.094
o	ɐ	0.661
o	-	0.257
o	ə	0.082
p	b̥	0.65
p	-	0.217
p	pʰ	0.104
pː	p	0.791
pː	b̥	0.209
r	ʁ	0.39
r	ɐ	0.292
r	ɐˀ	0.149
r	-	0.104
rː	-	0.833
rː	ˈæ	0.167
r̥	ʁ	1.0
s	s	1.0
t	ð̞ˠ	0.474
t	t	0.272
t	ʦʰ	0.208
tː	ð̞ˠ	1.0
u	ə	1.0
v	w	0.426
v	-	0.407
v	wˀ	0.12
w	ʋ	0.502
w	-	0.498
x	-	0.536
x	s	0.464
z	s	1.0
ç	-	0.736
ç	ɡ̊	0.264
ð	-	0.687
ð	n	0.313
ŋ	ŋˀ	0.609
ŋ	ŋ	0.391
ɑ	ə	0.676
ɑ	-	0.261
ɡ	ɡ̊	0.543
ɡ	-	0.457
ɣ	j	0.401
ɣ	w	0.348
ɣ	-	0.251
ɫ	lˀ	0.932
ɫ	l	0.068
ʃ	s_k	0.782
ʃ	k	0.169
ʃː	k	1.0
ʍ	ʋ	1.0
ʤ	ɡ̊	1.0
ʤː	-	1.0
ʧ	kʰ	0.513
ʧ	-	0.347
ʧ	j	0.077
ʧ	k	0.063
ʧː	k	1.0
ˈe	j	0.278
ˈe	ˈe	0.167
ˈe	ˈɛ	0.097
ˈe	ˈœː	0.084
ˈe	ˈoː	0.061
ˈe	ˈʌ	0.059
ˈe	ˈɑˀ	0.057
ˈe	ˈɑ	0.056
ˈeo̯	j	0.394
ˈeo̯	ˈæ	0.214
ˈeo̯	ˈuˀ	0.159
ˈeo̯	ˈɛ	0.12
ˈeː	ˈœˀ	0.216
ˈeː	ˈi	0.215
ˈeː	ˈɛˀ	0.189
ˈeː	ˈøː	0.149
ˈeː	ˈyː	0.072
ˈeː	ˈɑ	0.07
ˈeː	ˈœ	0.062
ˈeːo̯	ˈyˀ	0.211
ˈeːo̯	ˈyː	0.192
ˈeːo̯	ˈiˀ	0.091
ˈeːo̯	ˈeˀ	0.085
ˈeːo̯	ˈeː	0.085
ˈeːo̯	ˈɑ	0.082
ˈeːo̯	ˈiː	0.065
ˈeːo̯	ˈy	0.065
ˈeːo̯	ˈɛ	0.05
ˈi	ˈe	0.523
ˈi	ˈœ	0.078
ˈi	ˈiˀ	0.076
ˈiy̯	ˈiˀ	0.537
ˈiy̯	j	0.163
ˈiy̯	ˈeˀ	0.163
ˈiy̯	ˈɛ	0.136
ˈiː	ˈiˀ	0.565
ˈiː	ˈiː	0.271
ˈiː	ˈɛ	0.123
ˈiːy̯	ˈøː	0.312
ˈiːy̯	ˈyˀ	0.231
ˈiːy̯	ˈiˀ	0.229
ˈiːy̯	ˈœ	0.229
ˈo	ˈo	0.393
ˈo	ˈœ	0.147
ˈo	ˈɒː	0.085
ˈo	ˈɔˀ	0.085
ˈo	ˈoˀ	0.083
ˈo	ˈɒ	0.067
ˈoː	ˈoˀ	0.292
ˈoː	ˈɔː	0.278
ˈoː	ˈʌ	0.159
ˈoː	ˈa	0.093
ˈoː	ˈo	0.073
ˈoː	ˈɔˀ	0.054
ˈoː	ˈoː	0.051
ˈu	ˈu	0.361
ˈu	ˈɔ	0.311
ˈu	ˈʌ	0.198
ˈu	ˈœ	0.086
ˈuː	ˈuˀ	0.505
ˈuː	ˈuː	0.229
ˈuː	ˈoˀ	0.113
ˈuː	ˈu	0.086
ˈy	ˈœ	0.239
ˈy	ˈø	0.221
ˈy	ˈʌ	0.221
ˈy	ˈœˀ	0.155
ˈy	ˈo	0.084
ˈy	ˈy	0.08
ˈyː	ˈuˀ	0.532
ˈyː	ˈœ	0.259
ˈyː	ˈi	0.16
ˈæ	ˈa	0.464
ˈæ	ˈæˀ	0.24
ˈæ	ˈɛˀ	0.109
ˈæ	ˈɑː	0.075
ˈæɑ̯	ˈɑˀ	0.455
ˈæɑ̯	ˈa	0.245
ˈæɑ̯	ˈo	0.112
ˈæɑ̯	ˈɛ	0.08
ˈæɑ̯	ˈoː	0.067
ˈæː	ˈɔˀ	0.432
ˈæː	ˈɒː	0.24
ˈæː	ˈɒˀ	0.215
ˈæː	ˈeˀ	0.091
ˈæːɑ̯	ˈœˀ	0.373
ˈæːɑ̯	ˈɔˀ	0.186
ˈæːɑ̯	ˈøː	0.116
ˈæːɑ̯	ˈɔː	0.105
ˈæːɑ̯	ˈʌˀ	0.066
ˈɑ	ˈa	0.405
ˈɑ	ˈɑ	0.3
ˈɑ	ˈʌ	0.099
ˈɑ	ˈɛ	0.095
ˈɑː	ˈeˀ	0.495
ˈɑː	ˈɔˀ	0.273
ˈɑː	ˈɛˀ	0.101
ˈɑː	ˈoˀ	0.081
ˈɛ	ˈe	0.501
ˈɛ	ˈɛ	0.499
θ	ʦʰ	0.642
θ	ð̞ˠ	0.247
