Romanian	Romansch	probability
#>	#>	0.93
<#	<#	0.995
<#_j	<#	1.0
a	ə	0.549
a	-	0.239
a	a	0.168
b	b	0.428
b	v	0.18
b	b_ˈa	0.137
b	-	0.082
b	f	0.082
b	ɡ	0.071
d	d	0.593
d	-	0.152
d	t	0.148
d	s	0.071
e	-	0.533
e	ə	0.287
e	i	0.061
e̯ˈa	ˈa_j	0.511
e̯ˈa	ˈe	0.217
e̯ˈa	l	0.143
e̯ˈa	ˈi	0.059
e̯ˈa	ˈɛ	0.059
f	f	1.0
i	ə	0.433
i	i	0.17
i	-	0.124
i	l	0.114
i	ˈeː	0.114
j	j	0.302
j	w	0.156
j	ʎ	0.156
j	ɲ	0.136
j	ˈi	0.09
j	-	0.072
j	l	0.072
j_ˈe	ˈɛ	1.0
k	ʨ	0.458
k	k	0.398
kʲ	ʎ	1.0
l	l	0.87
l	w	0.079
l	ʎ	0.052
l_#>	#>	1.0
m	m	0.805
m	-	0.188
m_e	m	1.0
n	n	0.829
n	-	0.1
n_e	n	1.0
nʲ	s	1.0
o	u	0.608
o	o	0.205
o	-	0.076
o̯ˈa	ˈɔ	0.336
o̯ˈa	ˈu	0.325
o̯ˈa	ˈe	0.083
o̯ˈa	ˈo	0.083
o̯ˈa	ˈuː	0.083
o̯ˈa	ˈɔː	0.067
o̯ˈa_m	ˈu	1.0
p	p	0.627
p	-	0.285
p_t	ʨ	0.51
r	r	0.781
r	l	0.147
r	-	0.06
r_e	r	1.0
s	s	0.677
s	ʃ	0.248
t	t	0.731
t	d	0.116
t	-	0.09
t_e	ʨ	1.0
u	u	0.272
u	w	0.237
u	i	0.101
u	o	0.101
u	ə	0.101
u	ˈa	0.101
u	ˈu	0.078
u_#>	#>	1.0
v	v	1.0
w	w	0.345
w	f	0.337
w	-	0.127
w	ʧ	0.094
w	ʎ	0.053
z	d	0.681
z	ʦ	0.12
z	ʒ	0.097
z	v	0.059
ŋ	n	0.5
ŋ	ŋ	0.287
ŋ	-	0.168
ə	ə	0.932
ə_#>	#>	1.0
ɡ	ɡ	0.549
ɡ	-	0.246
ɡ	j	0.102
ɡ	m	0.083
ɨ	ə	0.517
ɨ	-	0.189
ɨ	ˈɛ	0.189
ʃ	s	0.561
ʃ	ʃ	0.28
ʃ	d	0.113
ʃ_t	ʃ	1.0
ʒ	ʥ	1.0
ʤ	ʃ	0.47
ʤ	ŋ	0.2
ʤ	-	0.141
ʤ	ɡ	0.141
ʦ	ʧ	0.272
ʦ	t	0.179
ʦ	-	0.151
ʦ	d	0.136
ʦ	s	0.102
ʦ	ʃ	0.099
ʦʲ	t	0.51
ʧ	ʧ	0.453
ʧ	-	0.247
ʧ	ʨ	0.139
ʧ	s	0.072
ʧ	ʃ	0.061
ʧ_e	ʃ	0.594
ʧ_e	ə	0.264
ʧʲ	ʨ	1.0
ˈa	ˈa	0.603
ˈa	ˈaː	0.207
ˈa	ˈɛː	0.055
ˈa	ˈɛ	0.05
ˈe	ˈɛ	0.346
ˈe	j	0.193
ˈe	ˈe	0.168
ˈe	ˈa	0.078
ˈe	ˈeː	0.067
ˈi	ˈi	0.471
ˈi	ˈɛ	0.182
ˈi	ˈiː	0.141
ˈi	j	0.123
ˈi_k	ˈi	1.0
ˈo	ˈɔ	0.538
ˈo	ˈu	0.21
ˈo	ˈɛ	0.125
ˈo	-	0.063
ˈo	ˈɔː	0.061
ˈo_j	ˈu	1.0
ˈo_k	ˈɛ	0.51
ˈu	ˈu	0.689
ˈu	ˈi	0.192
ˈə	ə	0.683
ˈə	j	0.23
ˈɨ	ˈa	0.795
ˈɨ	ˈɛ	0.114
ˈɨ	-	0.07
