Asturian	Asturian	probability
θ_#>	s_#>	1.0
β_ɾ	w	1.0
β_u_#>	f_#>	1.0
β_e_#>	#>	1.0
ˈo_t	l_t	1.0
ˈi_ɾ_#>	ˈiː_#>	1.0
ˈi_ɾ	i	1.0
ˈe_ɾ	i	1.0
ˈe_u	k	1.0
ˈe_n	ˈi_n	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_ð	ˈa	1.0
ʧ	t	1.0
ʝ_u	l_i	1.0
ʝ	-	1.0
ʃ_u	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_t	r_t	1.0
ɾ_a	r_e	1.0
ɾ_#>	#>	1.0
ɣ_u	k	1.0
ɟ͡ʝ	j	1.0
ŋ	ŋ	1.0
ð_a	d_e	1.0
w_a	e	1.0
u_#>	#>	1.0
s_ˈa	s_ˈa	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
n_u_#>	#>	1.0
n_u	ŋ	1.0
n_e	n_i	1.0
m_ˈo	ˈɛ	1.0
m	m	1.0
l_u_#>	l_#>	1.0
l_#>	l_#>	1.0
k_ɾ	k_r	1.0
f_e	b_j	1.0
f	f	1.0
e_ɾ	e_r	1.0
d_u	t	1.0
d	d	1.0
b_j	v	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n_w	<#_ɲ	1.0
<#_n	<#_n	1.0
e_#>	#>	0.913
s	s	0.864
t	t	0.862
n	n	0.839
ˈi	ˈi	0.818
l	l	0.769
w	w	0.765
ʃ	ʤ	0.75
ɾ	r	0.712
a	e	0.71
ˈa	ˈa	0.667
j	j	0.667
u	i	0.625
ɣ	-	0.6
j_ˈe	ˈiː	0.571
k	c	0.525
ʎ	l	0.5
ɡ	ɡ	0.5
w_ˈe	ˈɔ	0.5
w_ˈe	ˈuː	0.5
i	i	0.5
i	-	0.5
<#	<#_ˈa	0.5
<#	<#_s	0.5
#>	t_#>	0.5
#>	s_#>	0.5
b	v	0.483
β	v	0.471
ɲ	ɲ	0.455
ð	t	0.455
ˈo	ˈo	0.452
b	b	0.448
e	-	0.438
j_ˈe	ˈɛ	0.429
k	k	0.425
ˈu	ˈu	0.421
ɣ	ɡ	0.4
θ	ʧ	0.385
u	-	0.375
ˈe	ˈɛ	0.365
ð	d	0.364
e	i	0.344
o	o	0.333
j	-	0.333
ˈu	ˈo	0.316
ˈe	ˈe	0.302
ɡ	v	0.3
ɲ	ŋ	0.273
ɲ	n	0.273
ˈu	ˈuː	0.263
ˈa	ˈaː	0.256
ʃ	j	0.25
β	b	0.235
θ	z	0.231
θ	-	0.231
l	-	0.231
o	-	0.208
a	a	0.203
ɡ	k	0.2
ˈi	-	0.182
ð	-	0.182
β	f	0.176
e	e	0.156
θ	s	0.154
ˈo	ˈoː	0.143
ʎ	p_l	0.125
ʎ	k_l	0.125
ʎ	j	0.125
ʎ	-	0.125
o	w	0.125
o	u	0.125
o	i	0.125
β	-	0.118
w	ˈuː	0.118
w	-	0.118
ˈe	ˈeː	0.111
n	ɲ	0.097
ɾ	-	0.096
ˈo	ˈɔ	0.095
ˈo	w	0.095
ˈe	ˈa	0.095
e_#>	r_#>	0.087
a	-	0.087
o	ˈo	0.083
ˈa	ˈaː_t	0.077
ˈo	ˈu	0.071
ˈo	w_ˈi	0.071
t	d	0.069
t	-	0.069
b	z_v	0.069
n	ŋ	0.065
e	j	0.062
ɾ	ˈaː	0.058
ɾ	a	0.058
