Ligurian	Venetian	probability
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈi	ˈi	1.0
ˈe_l	ˈɛ	1.0
ˈe_j	ˈe	1.0
ˈa	ˈa	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɥ	u	1.0
ŋ_k	ŋ_k	1.0
ŋ_a	n_a	1.0
z	z	1.0
y	u	1.0
sː	s	1.0
r_ˈa	r_ˈa	1.0
r_u	r_o	1.0
r_s	r_s	1.0
r_n	r_n	1.0
p	p	1.0
o	-	1.0
n	n	1.0
m	m	1.0
l_u	o	1.0
l_a	a	1.0
k_r	k_r	1.0
k	k	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
v	v	0.962
u	o	0.951
r	r	0.95
ˈu	ˈo	0.929
t	t	0.929
s	s	0.903
ɡ	ɡ	0.893
ʒ	z	0.862
ˈuː	ˈo	0.819
ˈe	ˈe	0.8
e	e	0.768
ŋ	ŋ	0.651
ʧ	p_j	0.6
ˈø	ˈɔ	0.529
ˈɛ	ˈɛ	0.523
l	l	0.523
i	e	0.509
w	w	0.501
i	i	0.491
ˈeː	ˈɛ	0.49
ˈaː	ˈa	0.484
ˈɛː	ˈɛ	0.482
ˈɛ	-	0.477
l	ɰ	0.477
ˈiː	ˈi	0.475
ˈø	-	0.471
ˈaː	ˈa_r	0.433
ˈøː	ˈɔ	0.418
ʧ	ʧ	0.4
ˈeː	ˈe	0.39
ˈøː	ˈo	0.368
ˈiː	ˈi_r	0.363
ŋ	n	0.349
ʤ	ʧ	0.286
j	r	0.276
j	-	0.223
w	o	0.215
ˈøː	v_ˈo	0.214
ʤ	ʤ	0.214
ˈɛː	ˈa	0.203
ˈe	ˈɛ	0.2
ˈɛː	ˈe	0.185
ˈuː	ˈo_r	0.181
ˈiː	-	0.162
ʤ	j	0.161
j	a_r	0.156
w	ˈa	0.142
w	o_r	0.142
ʤ	b_j	0.141
ʒ	-	0.138
e	e_r	0.138
ʤ	z	0.133
ˈɛː	r_e	0.13
ˈeː	j_ˈe	0.12
ɡ	-	0.107
j	ɰ	0.104
j	a	0.098
s	-	0.097
ˈaː	ˈa_l	0.084
j	j	0.084
ˈu	ˈɔ	0.071
t	-	0.071
ʤ	-	0.065
j	o	0.059
e	-	0.056
r	l	0.05
