Alsatian	North Frisian	probability
ˈəi̯	ˈiː	1.0
ˈɒ_n	ˈœ	1.0
ˈæ	ˈeː	1.0
ˈu_n	ˈyː	1.0
ˈiː_s	ˈi_t	1.0
ˈeː	ˈiː	1.0
ˈei̯	ˈiː	1.0
ʦ	t	1.0
ʋ_ˈo	ˈʊ	1.0
ʋ	v	1.0
ʃ_w	s	1.0
ʃ_#>	k_#>	1.0
ʁ	r	1.0
ŋ	ŋ	1.0
x	x	1.0
v	v	1.0
t_ʁ	d_r	1.0
s_ə	d_ə	1.0
n_ʃ	n_ʃ	1.0
n_d̥	n	1.0
m	m	1.0
kʰ	k	1.0
k	k	1.0
j	-	1.0
i_ʃ	k	1.0
h	h	1.0
d̥_ə	ə	1.0
<#_ʁ	<#_r	1.0
<#_d̥	<#_t	1.0
l	l	0.919
ə	ə	0.905
n	n	0.865
b̥	b	0.81
d̥	d	0.786
ɡ̊	ɡ	0.778
ˈyː	ˈyː	0.75
ʃ_t	s_t	0.75
s	s	0.743
f	f	0.625
ˈo	ˈɔ	0.6
ʃ	ʃ	0.6
ˈʊː	ˈœ	0.571
ˈiː	ˈiː	0.556
ˈɒː	ˈɛi̯	0.5
ˈɒː	ˈɒ	0.5
ˈu	ˈʊ	0.5
i	i_ŋ	0.5
i	i	0.5
ˈʊː	ˈuː	0.429
ˈe	ˈeː	0.429
ˈo	ˈʊ	0.4
ˈi	ˈi	0.4
ʃ	s	0.4
t	dʲ	0.368
t	d	0.368
ˈoː	ˈyː	0.364
ˈi	ˈa	0.333
ˈe	ˈɛː	0.286
ˈe	ˈa	0.286
ˈoː	ˈuː	0.273
t	t	0.263
ˈyː	ˈøː	0.25
ʃ_t	t	0.25
f	p	0.25
ˈiː	ˈɛ	0.222
ˈiː	ˈi	0.222
ɡ̊	j	0.222
d̥	nʲ	0.214
ˈɒ	ˈɒː	0.211
ˈɒ	ˈɒ	0.211
ˈɒ	ˈuː	0.211
ˈu	ˈaː	0.188
ˈu	ˈa	0.188
ˈoː	ˈɛː	0.182
ˈoː	ˈɔu̯	0.182
ˈɒ	ˈɔː	0.158
s	tʲ	0.143
ˈi	ˈɔː	0.133
ˈi	ˈai̯	0.133
ˈu	ˈœ	0.125
f	ə	0.125
ˈɒ	ˈʊ	0.105
ˈɒ	ˈeː	0.105
ə	ə_n	0.095
b̥	ə_v	0.095
b̥	v	0.095
n	nʲ	0.081
l	ə_l	0.081
s	z	0.057
s	t	0.057
n	v_ə	0.054
