Scots	Proto-Germanic	probability
b	b	1.0
d	d	0.547
d	θ	0.151
d	ð_ɑ̃	0.099
d	ð_ɑ	0.094
d	ð_i	0.06
e	ɑ_z	0.488
e	ɑː	0.322
e	i	0.112
f	ɸ	0.854
f	β_ɑ̃	0.075
f	β_ɑ	0.065
h	x	0.962
h	-	0.043
i	i	0.243
j	j	0.596
j	-	0.143
j	ɣ	0.143
j	w	0.041
k	k	0.501
k	k_s	0.252
k	x	0.172
k	kː	0.06
kʰ	k	0.685
kʰ	kʷ	0.157
kʰ	ɸ	0.157
l	l	0.721
l	l_ɑ	0.123
l	l_i	0.074
l	l_ɣ	0.053
l	w	0.032
m	m	0.538
m	m_ɑ	0.285
m	m_ɔːː	0.1
m	mː	0.057
m	ˈɑi̯	0.034
n	n	0.848
n	-	0.053
n	nː	0.053
n	m	0.036
p	p	0.924
p	ɸ	0.069
r	r	0.777
r	-	0.101
r	z	0.09
r	s_ɔːː	0.031
s	s	0.892
s	n_s	0.03
s	sː	0.03
s	s_k	0.03
s	z	0.03
t	t	0.406
t	t_ɑ	0.339
t	t_s	0.096
t	t_ɑ̃	0.063
t	t_i	0.051
tʰ	t	0.915
tʰ	b	0.074
v	β	0.61
v	ɸ	0.334
w	w	0.943
w	-	0.056
x	x	0.951
x	ɣ	0.051
z	s	1.0
ç	ɣ	1.0
ð	θ	0.559
ð	ð	0.433
ŋ	ŋ	0.833
ŋ	n_x	0.093
ŋ	n	0.073
ə	ɔː	0.261
ə	ɛː	0.202
ə	u	0.129
ə	ɑ	0.129
ə	i	0.088
əi̯	ɑ_z	0.431
əi̯	ɑ_ɣ	0.284
əi̯	ɑ	0.175
əi̯	-	0.043
ɡ	ɣ	0.593
ɡ	ɣ_j	0.156
ɡ	ɡ_r	0.103
ɡ	jː	0.078
ɡ	x	0.064
ɪ	iː	0.45
ɪ	ɑ̃	0.341
ɪ	-	0.119
ɫ	l	0.684
ɫ	lː	0.165
ɫ	ɔː	0.066
ɹ	ˈiː	0.12
ʃ	s_k	1.0
ʍ	xʷ	1.0
ʧ	k	1.0
ˈa	ˈɑ	0.243
ˈaːɪ̯	ˈuː	0.574
ˈaːɪ̯	ˈi	0.283
ˈe	ˈɑi̯	0.364
ˈe	ˈɑ	0.352
ˈe	ˈɑu̯	0.086
ˈe	ˈeu̯	0.067
ˈe	ˈiu̯	0.05
ˈei̯	ˈɑu̯	0.46
ˈei̯	ˈe	0.3
ˈei̯	ɔ̃ː	0.063
ˈei̯	ˈiu̯	0.053
ˈei̯	ˈɑ	0.047
ˈeː	ˈɑ	1.0
ˈi	ˈɑu̯	0.211
ˈi	ˈi	0.211
ˈi	ˈeː	0.211
ˈi	ˈɔ	0.137
ˈi	ˈɑ	0.137
ˈiː	ˈɑu̯	0.181
ˈiː	ˈeu̯	0.158
ˈiː	ˈɛː	0.102
ˈiː	ˈe	0.093
ˈiː	ˈiː_z	0.077
ˈoe̯	ˈe	1.0
ˈø	ˈɔː	0.662
ˈø	ˈɑ_n	0.212
ˈø	ˈɛː	0.102
ˈɑ	ˈɑ	0.761
ˈɑ	ˈe	0.12
ˈɑ	ˈɑi̯	0.09
ˈɑ	ˈɛː	0.037
ˈɑː	ˈɑ	0.546
ˈɑː	ˈɑ_l	0.16
ˈɑː	ˈɑi̯_w	0.137
ˈɑː	ˈɑi̯	0.106
ˈɔ	ˈu	0.943
ˈɔ	ˈɑ	0.059
ˈəi̯	ˈiː	0.521
ˈəi̯	u	0.16
ˈəi̯	ɑ	0.107
ˈəi̯	ˈi	0.073
ˈəi̯	ˈɔː	0.056
ˈɛ	ˈɑ	0.458
ˈɛ	ˈe	0.22
ˈɛ	ˈeu̯	0.07
ˈɛ	j	0.053
ˈɛ	ˈɔː	0.053
ˈɪ	ˈi	0.349
ˈɪ	ˈu	0.174
ˈɪ	ˈɔː	0.111
ˈɪ	ˈe	0.092
ˈɪ	ˈɑ	0.086
ˈʉ	ˈuː	0.426
ˈʉ	ˈu	0.3
ˈʉ	ˈuː_z	0.114
ˈʉ	lː	0.075
ˈʉ	ɑ_z	0.072
ˈʌ	ˈu	0.788
ˈʌ	ˈe	0.099
ˈʌ	ˈɑi̯	0.094
ˈʌʉ̯	ˈu_β	0.384
ˈʌʉ̯	ˈu_l	0.384
ˈʌʉ̯	ˈe	0.165
θ	θ	0.943
θ	-	0.059
