Northern Low Saxon	English	probability
aɪ̯	ˈiː	1.0
b	b	0.675
b	p	0.281
d	d	0.432
d	t	0.346
d	θ	0.192
f	f	0.87
f	v	0.068
f	-	0.062
h	h	1.0
i	ɪ	1.0
j	ɡ	1.0
k	k	1.0
kʰ	kʰ	0.468
kʰ	ʧ	0.459
kʰ	-	0.073
l	l	0.625
l	ɫ	0.333
m	m	0.818
m	v	0.168
n	n	0.879
n	-	0.06
n	əʊ̯	0.054
p	p	1.0
pʰ	pʰ	1.0
r	ɹ	0.976
s	s	0.73
s	z	0.169
s	k_s	0.086
t	t	0.895
t	θ	0.055
t	d	0.05
tʰ	tʰ	1.0
v	w	0.927
v	-	0.057
x	-	0.473
x	f	0.295
x	t	0.232
z	s	0.988
ç	ʤ	0.562
ç	t	0.426
ŋ	ŋ	0.868
ŋ	n	0.132
ɐ	ə	0.511
ɐ	-	0.238
ɐ	d_ə	0.071
ə	ə	0.641
ə	ˈuː	0.359
ɡ	k	0.381
ɡ	ɡ	0.279
ɡ	ʧ	0.102
ɡ	j	0.089
ɡ	-	0.074
ɡ	ʤ	0.074
ɪ	ɪ	0.785
ɪ	ŋ	0.215
ʃ	ʃ	0.666
ʃ	s	0.334
ʒ	j	1.0
ˈa	ˈæ	0.602
ˈa	ˈɒ	0.092
ˈa	ˈɑː	0.083
ˈa	ˈɔː	0.077
ˈa	ˈeɪ̯	0.072
ˈa	ˈaɪ̯	0.054
ˈaɪ̯	ˈiː	0.294
ˈaɪ̯	ˈaɪ̯	0.21
ˈaɪ̯	ˈe	0.17
ˈaɪ̯	ˈəʊ̯	0.125
ˈaɪ̯	ˈɛ	0.057
ˈaɪ̯	ˈɪ	0.057
ˈaʊ̯	ˈiː	0.208
ˈaʊ̯	-	0.138
ˈaʊ̯	ˈuː	0.128
ˈaʊ̯	ˈəʊ̯	0.122
ˈaʊ̯	ˈe	0.093
ˈaʊ̯	ˈaɪ̯	0.086
ˈaʊ̯	ˈɐ	0.079
ˈaʊ̯	ˈaʊ̯	0.052
ˈaː	ˈɑː	0.486
ˈaː	ˈɔː	0.307
ˈaː	ˈæ	0.103
ˈaː	ˈɜː	0.103
ˈeɪ̯	ˈiː	0.319
ˈeɪ̯	ˈe	0.313
ˈeɪ̯	ˈeɪ̯	0.311
ˈeɪ̯	ˈɪ	0.057
ˈeː	ˈe	0.45
ˈeː	ˈaɪ̯	0.167
ˈeː	ˈuː	0.102
ˈeː	ˈiː	0.091
ˈeː	ˈəʊ̯	0.082
ˈeː	ˈɪ	0.057
ˈeː	-	0.052
ˈiː	ˈaɪ̯	0.583
ˈiː	ˈiː	0.253
ˈiː	ˈɪ	0.147
ˈoː	ˈeɪ̯	0.204
ˈoː	ˈiː	0.2
ˈoː	ˈɐ	0.191
ˈoː	ˈuː	0.111
ˈoː	ˈɛ	0.078
ˈoː	ˈəʊ̯	0.055
ˈoː	ˈɑː	0.054
ˈuː	ˈaʊ̯	0.681
ˈuː	ˈɐ	0.105
ˈuː	-	0.073
ˈuː	ˈʊ	0.073
ˈyː	ˈɪ	0.789
ˈyː	ˈaɪ̯	0.211
ˈø	ˈɪ	1.0
ˈøː	ˈe	0.299
ˈøː	ˈɐ	0.274
ˈøː	ˈəʊ̯	0.203
ˈøː	ˈɔː	0.151
ˈøː	ˈaʊ̯	0.073
ˈœ	ˈe	0.56
ˈœ	ɜː	0.321
ˈœ	ˈɜː	0.119
ˈœː	ɪ	1.0
ˈɔ	ˈɒ	0.436
ˈɔ	ˈɔː	0.253
ˈɔ	ˈe	0.209
ˈɔ	ˈɐ	0.101
ˈɔʏ̯	ˈiː	0.736
ˈɔʏ̯	ˈɪ	0.143
ˈɔʏ̯	ˈe	0.061
ˈɔʏ̯	ˈaɪ̯	0.059
ˈɔː	ˈɜː	1.0
ˈɛ	ˈeɪ̯	0.347
ˈɛ	ˈe	0.28
ˈɛ	ˈæ	0.253
ˈɛ	ˈɪ	0.083
ˈɛɪ̯	ˈɐ	0.354
ˈɛɪ̯	ˈiː	0.323
ˈɛɪ̯	ˈɑː	0.323
ˈɛː	j	1.0
ˈɪ	ˈɪ	0.525
ˈɪ	ˈaɪ̯	0.317
ˈɪ	ˈe	0.066
ˈɪ	ˈəʊ̯	0.052
ˈʊ	ˈɐ	0.776
ˈʊ	ˈaʊ̯	0.106
ˈʊ	ˈʊ	0.068
ˈʊ	ˈəʊ̯	0.051
ˈʏ	ˈɪ	0.563
ˈʏ	ˈɐ	0.238
ˈʏ	ˈe	0.116
