Latin	Spanish	probability
a	a	0.845
a	e	0.067
a	-	0.058
ae̯	e	0.368
ae̯	i	0.368
ae̯	a	0.263
au̯	o	0.805
au̯	e	0.195
aː	a	0.802
aː	w	0.08
aː	ˈa	0.065
aː	e	0.054
ãː	a	0.907
ãː	-	0.093
b	b	0.565
b	β	0.417
d	d	0.413
d	-	0.301
d	ʝ	0.121
d	ð	0.065
d	θ	0.064
e	ɲ	0.398
e	-	0.347
e	i	0.122
e	j	0.064
e	ˈe	0.055
eː	j	0.499
eː	e	0.184
eː	ˈe	0.148
eː	-	0.103
eː	i	0.065
f	-	0.72
f	f	0.218
fː	ʝ	1.0
h	-	1.0
i	-	0.78
i	ˈi	0.07
i	j	0.068
i	o	0.055
iː	i	0.693
iː	-	0.262
j	x	1.0
k	θ	0.31
k	k	0.265
k	-	0.177
k	ɣ	0.176
kʷ	k	0.485
kʷ	ɣ	0.298
kʷ	θ	0.217
kː	k	1.0
l	l	0.804
l	ɟ͡ʝ	0.122
l	-	0.074
lʲ	x	0.745
lʲ	l	0.183
lʲ	-	0.072
lʲː	ʝ	0.649
lʲː	l	0.329
m	m	0.923
m	-	0.062
mː	m	1.0
n	n	0.749
n	-	0.178
n	ɲ	0.074
nː	ɲ	1.0
o	o	0.893
o	e	0.107
oː	o	0.742
oː	e	0.153
oː	ˈo	0.06
p	p	0.645
p	β	0.301
r	ɾ	0.88
r	r	0.068
rː	ˈe_r	0.881
rː	-	0.119
s	s	0.94
sː	x	0.609
sː	ˈe_s	0.2
sː	s	0.151
t	t	0.419
t	ð	0.409
t	-	0.087
t	θ	0.07
tʰ	ð	1.0
tː	t	1.0
u	ˈo	0.657
u	ɾ	0.343
uː	u	0.453
uː	o	0.412
uː	ˈu	0.135
w	b	0.543
w	β	0.231
w	-	0.103
w	j	0.067
ŋ	ŋ	0.588
ŋ	n	0.307
ŋ	ɲ	0.058
ɔ	o	0.867
ɔ	-	0.108
ɛ	e	0.417
ɛ	ˈe	0.249
ɛ	ˈi	0.13
ɛ	-	0.13
ɛ	a	0.063
ɛ̃	e	0.829
ɛ̃	j	0.171
ɛ̃ː	e	0.747
ɛ̃ː	-	0.095
ɛ̃ː	a	0.082
ɛ̃ː	ˈi	0.076
ɡ	-	0.477
ɡ	ɡ	0.282
ɡ	ɣ	0.079
ɡ	ɟ͡ʝ	0.055
ɡʷ	ɡ	1.0
ɪ	-	0.231
ɪ	e	0.184
ɪ	ˈe	0.12
ɪ	i	0.111
ɪ	l	0.111
ɪ	b_ɾ	0.1
ɪ	ɾ	0.057
ɪ̃	-	1.0
ɫ	l	0.616
ɫ	-	0.227
ɫ	ɟ͡ʝ	0.14
ʊ	-	0.657
ʊ	o	0.185
ʊ	ˈe	0.064
ʊ	u	0.059
ʊ̃ː	o	0.939
ʊ̃ː	-	0.061
ˈa	ˈa	0.906
ˈae̯	j	1.0
ˈau̯	ˈo	1.0
ˈaː	ˈa	0.928
ˈaː	-	0.056
ˈe	j	1.0
ˈeː	ˈe	0.821
ˈeː	e	0.083
ˈeː	ˈa	0.067
ˈi	ˈe	0.5
ˈi	ˈi	0.5
ˈiː	ˈi	0.837
ˈiː	-	0.075
ˈĩː	ˈi	1.0
ˈo	w	0.454
ˈo	ˈe	0.276
ˈo	o	0.27
ˈoe̯	ˈe	1.0
ˈoː	ˈo	0.826
ˈoː	o	0.118
ˈu	ˈo	1.0
ˈuː	ˈu	0.852
ˈuː	-	0.051
ˈyː	ˈi	1.0
ˈɔ	w	0.696
ˈɔ	ˈo	0.226
ˈɔ	-	0.078
ˈɛ	j	0.621
ˈɛ	ˈe	0.203
ˈɛ	-	0.09
ˈɛ	ˈi	0.072
ˈɛ̃ː	j	1.0
ˈɪ	ˈe	0.892
ˈɪ	e	0.108
ˈʊ	ˈo	0.528
ˈʊ	ˈu	0.385
ˈʊ	w	0.069
