Afrikaans	Afrikaans	probability
χ_r	ɡ_ʀ	1.0
ˈɪə̯_t	s	1.0
ˈɪø̯	-	1.0
ˈɛː	ə	1.0
ˈɔː	-	1.0
ˈœu̯_d̥	ˈaː_l	1.0
ˈœu̯	l	1.0
ˈæː	-	1.0
ˈyː	ˈɑɪ̯	1.0
ˈi_χ	ˈɜɪ̯_ə	1.0
ˈa_r	ˈaː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
w	-	1.0
s_k	ʃ	1.0
r_ˈʊə̯	ʀ	1.0
r_ˈi	ʀ	1.0
r_ə	ʀ	1.0
p_#>	f_#>	1.0
n_s	n_ʃ	1.0
n_d	n	1.0
k_ˈə	ˈə	1.0
d_ˈɔ	d	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#	1.0
<#_ˈa	<#_ˈaː	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
m	m	0.885
v̥	f	0.867
n	n	0.756
v	v	0.75
d̥	d̥	0.724
ˈi	ˈɜɪ̯	0.667
ˈɔ	ˈo	0.632
ˈœ	ˈe	0.571
ˈɪə̯	ˈeː	0.562
ə	ə	0.538
ˈəɪ̯	ˈæːɪ̯	0.533
ˈɛ	ˈə	0.5
ˈɛ	-	0.5
ˈæ	ˈə	0.5
ˈæ	-	0.5
j	j	0.5
j	-	0.5
ˈə	ˈɑ	0.476
k	kʰ	0.448
ˈœɪ̯	ˈæːʊ̯	0.444
r	ɐ	0.432
s	ʃ	0.431
ˈœ	-	0.429
t	ʦ	0.39
ˈʊə̯	ˈaː	0.381
ˈa	ˈaː	0.379
r	ʀ	0.364
p	p	0.364
ˈɑː	ˈoː	0.348
ˈa	ˈɑ	0.345
t	s	0.341
χ	ɡ	0.333
ˈœɪ̯	ˈɑʊ̯	0.333
ə	-	0.308
s	z	0.275
p	f_ə	0.273
ˈəɪ̯	ˈeː	0.267
v	w	0.25
t	t	0.244
k	ɕ	0.241
ˈʊə̯	ˈɜɪ̯	0.238
ˈʊə̯	ˈəʊ̯	0.238
ˈœɪ̯	ˈɑɪ̯	0.222
ˈɑː	ˈaː	0.217
s	z̥	0.216
ˈu	ˈʊ	0.214
ˈu	ˈəʊ̯	0.214
ˈu	ˈu	0.214
ˈu	-	0.214
χ	ɕ	0.212
ˈɔ	-	0.211
ˈəɪ̯	-	0.2
ˈɪə̯	ˈiə̯	0.188
p	pʰ	0.182
p	f	0.182
ˈi	ˈɑɪ̯	0.167
ˈi	-	0.167
ˈɔ	ˈɔ	0.158
ə	ɐ	0.154
χ	ɕ_t	0.152
ˈʊə̯	-	0.143
ˈə	ˈə	0.143
ˈə	ˈiː	0.143
ˈə	ˈe	0.143
ˈu	ˈɜɪ̯	0.143
k	χ	0.138
r	-	0.136
v̥	v̥	0.133
ˈɑː	ˈɜɪ̯	0.13
ˈɑː	-	0.13
ˈɪə̯	ˈiː	0.125
ˈɪə̯	ˈiə̯_d	0.125
χ	k	0.121
m	ˈu_m	0.115
ˈa	ˈæ	0.103
ˈa	-	0.103
k	k_ə	0.103
d̥	t	0.103
d̥	n	0.103
n	ŋ	0.098
ˈə	-	0.095
χ	χ	0.091
ˈɑː	ˈɛː	0.087
ˈɑː	ˈəʊ̯	0.087
s	ʃ_t	0.078
n	ˈə_n	0.073
n	n_ə	0.073
ˈa	ˈuə̯	0.069
k	k	0.069
d̥	-	0.069
r	ˈiː_ɐ	0.068
χ	-	0.061
