Latin	Latin	probability
ˈɛ_k	ˈi	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	ˈo	1.0
ˈoː_r	ˈo	1.0
ˈoe̯	ˈɛ	1.0
ˈo	-	1.0
ˈiː_n	ˈi	1.0
ˈiː_lʲ	ˈi_ʎ	1.0
ˈi	ˈi	1.0
ˈe	ˈe_w	1.0
ˈaː_n	ˈa	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	ˈɛ	1.0
ʊ̃ː_#>	#>	1.0
ɫ_ɛ̃ː	l	1.0
ɫ_t	l_t	1.0
ɛ̃	-	1.0
ɛ_r	ɾ	1.0
ɛ_n	ə_n	1.0
ɛ_#>	#>	1.0
ɔ_r	ɾ	1.0
ɔ	u	1.0
ŋ_ɡʷ	ŋ	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
w_ʊ̃ː	w	1.0
w_ɛ̃ː	w	1.0
uː	-	1.0
tː	t	1.0
tʰ	z	1.0
t_ʊ̃ː_#>	#>	1.0
t_ɛ̃ː_#>	#>	1.0
t_i	w	1.0
sː	s	1.0
s_#>	s_#>	1.0
rː	-	1.0
r_ʊ̃ː_#>	#>	1.0
r_ʊ̃ː	ɾ_ə	1.0
r_ɛ_#>	#>	1.0
r_s	s	1.0
r_n	r_n	1.0
r_k	r_k	1.0
p_ˈoː	p_ˈɔ	1.0
p_ˈaː	p_ˈa	1.0
p_ɛ	β	1.0
p_t_ɪ_m	mː	1.0
oː_r	u_ɾ	1.0
oː_#>	#>	1.0
o	u	1.0
nː	ɲ	1.0
n_ɛ̃ː_#>	#>	1.0
n_ɛ	n_d	1.0
n_t	n	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_ãː	n_ə	1.0
mː	m	1.0
m_ɛ̃ː_#>	m_#>	1.0
m	m	1.0
lʲː_ʊ̃ː_#>	ʎ_#>	1.0
lʲ	ʎ	1.0
kː_ãː	k_ə	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ʊ	ʎ	1.0
k_ɫ	ʎː	1.0
k_ɛ̃ː	w	1.0
k_i	s	1.0
k_a	k_ə	1.0
j	ʒ	1.0
iː	i	1.0
f	f	1.0
d_ˈeː	w	1.0
d_ʊ̃ː	t	1.0
d_i	ʧ	1.0
b_ɛ	w	1.0
ãː_#>	#>	1.0
ãː	ə	1.0
aː	ə	1.0
ae̯	-	1.0
a_p	ə_β	1.0
a	ə	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_ʎ	1.0
<#_ɔ	<#_u	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_ə	1.0
<#	<#_ə	1.0
ˈa	ˈa	0.944
ˈiː	ˈi	0.9
i	-	0.889
p	p	0.886
ˈɪ	ˈɛ	0.833
ɫ	l	0.833
s	s	0.824
ˈɔ	ˈɔ	0.811
k_ʊ̃ː_#>	k_#>	0.778
d	-	0.769
ˈʊ	ˈo	0.722
ɛ̃ː	-	0.714
ɛ	ə	0.714
ŋ	ŋ	0.714
b	b	0.714
w	b	0.679
ˈɛ	ˈe	0.658
r	ɾ	0.648
ˈeː	ˈɛ	0.636
t	t	0.628
e	-	0.6
ˈoː	ˈo	0.571
s_k	s_k	0.571
oː	u	0.556
lʲː	ʎ	0.556
ɫ_ʊ̃ː_#>	l_#>	0.545
ɪ	-	0.524
n	n	0.522
ʊ	u	0.5
t_ãː	ð_ə	0.5
t_ãː	t_ə	0.5
eː	ə	0.5
eː	-	0.5
ɫ_ʊ̃ː_#>	#>	0.455
oː	-	0.444
lʲː	l	0.444
s_k	ʃ	0.429
e	ə	0.4
n	-	0.391
ɪ	ə	0.381
ˈeː	ˈe	0.364
ɡ	ʒ	0.345
ɡ	ɡ	0.345
k	s	0.303
ʊ	-	0.3
r	r	0.296
ˈɛ	ˈɛ	0.289
ˈoː	ˈɔ	0.286
ŋ	ɲ	0.286
b	β	0.286
ˈʊ	ˈu	0.278
kʷ	ɣ_w	0.25
kʷ	s	0.25
kʷ	k_w	0.25
kʷ	k	0.25
d	ʒ	0.231
k_ʊ̃ː_#>	#>	0.222
ɛ̃ː	ə	0.214
t	ð	0.209
ʊ	ʎ	0.2
k	ɣ	0.182
s	z	0.176
ɡ	-	0.172
ˈɪ	ˈe	0.167
ɫ	-	0.167
k	ɡ	0.152
k	-	0.152
ˈoː	ˈɛ	0.143
ɛ	i	0.143
ɛ	-	0.143
w	β	0.143
ˈɔ	ˈu	0.135
k	k	0.121
t	-	0.116
i	i	0.111
w	-	0.107
ˈiː	-	0.1
ɪ	i	0.095
k	j	0.091
n	ɲ	0.087
ɛ̃ː	w	0.071
w	w	0.071
ɡ	ɣ	0.069
ɡ	j	0.069
p	β	0.068
ˈa	ˈe	0.056
r	-	0.056
ˈɔ	-	0.054
ˈɛ	-	0.053
