Pennsylvania German	Pennsylvania German	probability
ˈɛː_ɾ	ˈaː	1.0
ˈɔɪ̯	ˈae̯	1.0
ˈeː_#>	n_#>	1.0
ɪ_ç	k	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
p	-	1.0
m	m	1.0
l	l	1.0
k_ə	k_n	1.0
k_s	s	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f_#>	#>	1.0
eː	ae̯_n	1.0
b̥	v̥	1.0
b	b	1.0
n	n	0.956
ɑ	æ	0.939
ɾ	r	0.935
d̥	d̥	0.903
ʋ	v	0.857
ˈaʊ̯	ˈuː	0.846
ʃ	ʃ	0.839
ˈuː	ˈaʊ̯	0.818
d	d	0.775
f	f	0.758
ˈɛː	-	0.75
t	t	0.714
ə	n	0.667
n_ə	n_n	0.667
k	kʰ	0.667
ʦ	tʰ	0.643
ˈɪ	ˈɪ	0.625
ˈaː	-	0.625
ɡ	ɡ	0.625
ˈa	ˈa	0.618
ɡ̊	ç	0.6
ç	ç	0.583
ˈeː	ˈae̯	0.571
ˈʊ	ˈʊ	0.55
x	x	0.545
ˈɔ	ˈɔ	0.5
ˈoː	ˈɒː	0.5
ˈiː	ˈae̯	0.5
ʋ_ə	m	0.5
ʋ_ə	b_m	0.5
ɾ_ə	æ_n	0.5
ɾ_ə	æ	0.5
#>	n_#>	0.5
ˈaɪ̯	ˈiː	0.478
s	z	0.465
x	k	0.455
ç	k	0.417
ɡ̊	-	0.4
ˈɛ	ˈɛ	0.389
ˈɛ	-	0.389
ˈɔː	-	0.381
ˈaː	ˈaː	0.375
ˈoː	ˈaʊ̯	0.357
ʦ	t	0.357
n_ə	n	0.333
s	t	0.302
ˈɔ	ˈʊ	0.3
t	-	0.286
ˈʊ	-	0.25
ˈɛː	ˈɛɪ̯	0.25
ˈiː	ˈɔʏ̯	0.25
ɡ	j	0.25
#>	ç_#>	0.25
#>	t_#>	0.25
f	p	0.242
ˈɛ	ˈɛː	0.222
k	ç	0.222
ˈʊ	ˈɔ	0.2
ˈɔ	-	0.2
ˈɔː	ˈoː	0.19
ˈɪ	ˈʏ	0.188
s	z̥	0.186
ˈuː	-	0.182
ˈaɪ̯	ˈɪ	0.174
ˈaɪ̯	ˈyː	0.174
ʃ	s	0.161
ˈaʊ̯	-	0.154
d	ɾ	0.15
ˈɔː	ˈɒː	0.143
ˈɔː	ˈaʊ̯	0.143
ˈɔː	ˈa	0.143
ˈoː	-	0.143
ˈeː	ˈeː	0.143
ˈeː	ˈae̯_n	0.143
ʋ	w	0.143
ə	ŋ	0.143
ˈiː	ˈiː	0.125
ˈiː	ˈaɪ̯	0.125
ɡ	-	0.125
ˈa	ˈɒː	0.118
k	k	0.111
d̥	t	0.097
ˈeː	ˈɛ	0.095
ə	ɡ_n	0.095
ə	-	0.095
ˈa	-	0.088
ˈaɪ̯	ˈʏ	0.087
ˈaɪ̯	-	0.087
d	t	0.075
ɾ	-	0.065
ˈɪ	ˈɛ	0.062
ˈɪ	ˈœː	0.062
ˈɪ	-	0.062
ɑ	-	0.061
ˈa	ˈɪ	0.059
ˈa	ˈɔ	0.059
ˈa	ˈuː_æ	0.059
