Polish	Slovak	probability
ʨ	c	1.0
ʦ	ʦ	1.0
ʥ	ɟ	1.0
ʑ	z	1.0
ʐ_ɛ	r_ɛ	1.0
ɡ̊	x	1.0
ɡ_j	ɦ	1.0
ɡ	ɦ	1.0
ɛ_ɲ	æ	1.0
ɛ_ɕ	ɛ_s	1.0
ɛ_ŋ	u	1.0
ɛ_w̃	a	1.0
ɕ	s	1.0
ɔ_v	a_ʋ	1.0
ɔ_s	a_s	1.0
ɔ_m	u	1.0
ɔ_k	a_k	1.0
z̥_ɡ̊	ɡ̊	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v_ɔ	ʋ_ɔ	1.0
v_j	ʋ	1.0
u_d̥	a_d̥	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
p_j	p	1.0
m	m	1.0
k	k	1.0
j_a	ɪ̯ɛ	1.0
f_j	ʋ	1.0
f	ʋ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_v	aː_ʋ	1.0
a_r	r̩ː	1.0
n	n	0.878
r	r	0.874
v	ʋ	0.869
p	p	0.865
a	a	0.735
w̃	-	0.67
ɛ	ɛ	0.652
ʐ̊	r	0.639
j	-	0.609
w	ɫ	0.6
ʈ͡ʂ	ʧ	0.599
ɛ_r	r̩	0.593
ɲ	ɲ	0.591
i	i	0.588
ʐ	r	0.551
ɔ	ɔ	0.548
ɨ	iː	0.515
ʂ	ʃ	0.5
ʂ	-	0.5
l	ʎ	0.492
ɨ	i	0.485
ʐ	ʒ	0.449
ɲ	-	0.409
ɛ_r	i_r	0.407
j	j	0.391
ʐ̊	ʒ̊	0.361
l	l	0.358
u	ɔ	0.342
w̃	u	0.33
ʈ͡ʂ	-	0.299
u	u	0.272
i	iː	0.239
w	l	0.204
u	-	0.183
a	ɛ	0.183
w	ɫ̩	0.177
i	-	0.173
l	-	0.15
ɔ	ɛ	0.143
p	f	0.135
v	v	0.131
r	r̩	0.126
n	-	0.122
ɔ	-	0.12
ʈ͡ʂ	ɟ̊	0.102
ɛ	-	0.101
ɔ	uː	0.088
ɛ	ɪ̯ɛ	0.086
a	-	0.082
ɛ	æ	0.081
ɛ	a	0.08
u	ʊ̯ɔ	0.069
u	uː	0.068
ɔ	ʊ̯ɔ	0.067
u	eː	0.066
