Hessian	Hessian	probability
ˈɛ̃ː	ˈau̯_ŋ	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈõː	ˈɔː_n	1.0
ˈoĩ̯	ˈiː_j	1.0
ˈĩː	ˈai̯_t͡n̥	1.0
ˈe_n	nː	1.0
ˈe	-	1.0
ˈãː	-	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʒ̊	-	1.0
ʃ_t	ʰt	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	aːu̯	1.0
ɑ	ʏ	1.0
ɐ_#>	ˈɛː_r̥_#>	1.0
z̥_æ̆	ʰt͡n̥	1.0
z̥	t	1.0
v̥	p	1.0
s_#>	#>	1.0
p	b̥	1.0
oː	ˈœːy̯	1.0
k_n	n̥	1.0
i	ɑu̯	1.0
f_#>	#>	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_θ	1.0
m	m	0.923
h	h	0.824
v	v	0.8
ˈoː	-	0.778
b̥	b̥	0.733
ˈau̯	ˈuː	0.727
ɐ	r	0.722
f	f	0.72
ˈɔ	ˈɔ	0.714
ɣ̊	-	0.714
s	s	0.714
<#_ʀ	<#_r	0.714
ə	a	0.711
ˈuː	ˈoːu̯	0.667
x	-	0.667
k	-	0.667
ˈoi̯	-	0.625
ŋ	ŋ_ɡ̊	0.625
kʰ	kʰ	0.625
ˈai̯	ˈiː	0.6
j	-	0.6
ˈo	-	0.571
l	l	0.545
ˈæː	j_ˈœ	0.5
ˈæː	-	0.5
ˈeː	ˈoːu̯	0.5
ˈeː	-	0.5
ʦ	tʰ	0.5
ʦ	-	0.5
#>	ʏ_r̥_#>	0.485
d̥	ð	0.459
ɡ̊	ɟ̊	0.444
ɡ̊	-	0.444
ˈo	ˈʏ	0.429
æ̆	ɪ	0.409
ˈai̯	ˈɛ	0.4
j	ˈɑːu̯	0.4
ˈu	ˈʏ	0.385
d̥	d̥	0.378
ˈoi̯	ˈiː	0.375
ŋ	-	0.375
kʰ	cʰ	0.375
ˈi	ˈɪ	0.367
æ̆	ʏ	0.364
ˈæ	ˈɛ	0.333
ˈæ	ˈa	0.333
ˈæ	-	0.333
ˈuː	-	0.333
ˈa	ˈaː	0.333
x	k	0.333
k	ɡ̊	0.333
#>	r̥_#>	0.327
n	n	0.321
ˈɑ	ˈa	0.312
ˈu	ˈoːu̯	0.308
ˈu	-	0.308
ˈiː	j_ˈoːu̯	0.308
ˈiː	-	0.308
ˈaː	ˈɛːi̯	0.308
ˈaː	ˈœːy̯	0.308
ˈɔ	-	0.286
ɣ̊	ɡ̊	0.286
<#_ʀ	<#_r̥	0.286
ɐ	r̥	0.278
ˈɛ	-	0.273
ˈau̯	-	0.273
t	d̥	0.267
b̥	v	0.267
ˈɑː	ˈɑːu̯	0.25
ˈɑː	ˈaː	0.25
ˈɑː	ˈa_r	0.25
ˈɑː	-	0.25
ˈa	ˈa	0.25
ˈa	-	0.25
l	t͡l̥	0.242
ˈiː	j_ˈuː	0.231
ˈaː	-	0.231
ʃ	s_k	0.227
ˈoː	ˈœːy̯	0.222
n	t͡n̥	0.214
l	l̥	0.212
t	θ	0.2
t	ʰt	0.2
t	ð	0.2
ˈɑ	ˈɑu̯	0.188
ˈɑ	ˈaː	0.188
ˈɑ	-	0.188
ˈɛ	ˈɛː	0.182
ˈɛ	ˈɛ	0.182
ˈɛ	ˈau̯	0.182
ˈɛ	j_ˈɛ	0.182
h	ç	0.176
ˈi	ˈi	0.167
ˈi	j	0.167
ˈi	-	0.167
ˈa	ˈɛ	0.167
f	p	0.16
ˈiː	j	0.154
ˈaː	ˈeːi̯	0.154
n	n_d̥	0.143
ʃ	x	0.136
ʃ	s_c	0.136
ʃ	s	0.136
ʃ	k	0.136
ʃ	-	0.136
æ̆	r̥	0.136
ˈi	ˈɪː	0.133
t	t	0.133
ə	-	0.132
ˈɑ	ˈa_r̥	0.125
v	-	0.12
#>	a_#>	0.119
s	t_ʏ	0.114
s	s_j	0.114
ɡ̊	ʰc	0.111
n	nː	0.107
n	a	0.107
n	-	0.107
ə	j_a	0.105
ʃ	c	0.091
æ̆	a_r̥	0.091
d̥	t	0.081
d̥	-	0.081
v	kʰ_v	0.08
f	v_ʏ	0.08
m	-	0.077
s	t	0.057
ə	n̥	0.053
