Čakavian	Štokavian	probability
a	a	1.0
aː	ǎː	1.0
âː	âː	1.0
b	b	1.0
c	ʨ	1.0
d	d	1.0
êː	êː	1.0
i	i	1.0
iː	ǐː	1.0
j	j	1.0
m	m	1.0
ôː	ôː	1.0
û	û	1.0
ûː	ûː	1.0
ǔː	ûː	1.0
x	x	1.0
z	z	1.0
ɲ	ɲ	1.0
ʃ	ʒ	1.0
ʋ	ʋ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
e	ě	0.401
î	î	0.281
r̩̂	r̩̂	0.591
ǎː	a	0.352
n	m	0.072
t	t	0.892
â	a	0.663
r	r_j	0.083
e	eː	0.214
î	i	0.174
îː	j_êː	0.414
l	o	0.134
o	ǒ	0.384
p	b	0.154
s	s	0.984
e	e	0.385
ê	ě	0.285
ê	ê	0.715
k	ɡ	0.075
k	k	0.925
l	ʎ	0.15
îː	îː	0.586
o	o	0.616
p	p	0.846
â	â	0.337
l	l	0.717
r	r	0.917
ǎː	â	0.648
î	j_e	0.228
î	j_ê	0.318
n	n	0.928
t	d	0.108
ɡ	ɡ	0.948
ô	ô	0.989
r̩̂	r̩̂ː	0.409
