Swedish	Old West Norse	probability
ˈœː	ˈøy̯	1.0
ʊ	u	1.0
ʈː	r_t	1.0
ʈ	t_i	1.0
ʂ	r_s	1.0
ɳ	r_n	1.0
ɡ_ɛ	ɣ	1.0
ɛ_n	n	1.0
ɖ	r_ð	1.0
ɔ	ɑː	1.0
ŋː	ŋ	1.0
t	t	1.0
sː	sː	1.0
s_ˈoː	s_ˈo	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n_ˈøː	n̥	1.0
mː	m	1.0
m	m	1.0
lː	lː	1.0
jː	ʝː	1.0
h	h	1.0
f	f	1.0
d_ɛ	ð	1.0
d_a	ð_ɑ	1.0
b	b	1.0
s	s	0.975
n	n	0.926
v	v	0.92
l	l	0.913
ˈiː	ˈiː	0.881
ˈɪ	ˈi	0.856
kʰ	kʰ	0.81
r	r	0.808
a	ɑ	0.801
ɕ	cʰ	0.785
pː	p	0.783
ˈɑː	ˈɑ	0.781
ˈeː	ˈɛi̯	0.767
ˈʊ	ˈu	0.75
ˈuː	ˈoː	0.744
k	k	0.744
ɪ	i	0.738
ˈʏ	ˈy	0.714
ˈoː	ˈɑː	0.709
ˈɵ	ˈu	0.705
ɡ	ɣ	0.676
ˈæː	-	0.657
ˈɛː	-	0.65
ˈa	ˈɑ	0.628
ˈyː	ˈyː	0.621
d	d	0.615
ɡː	ɡː	0.596
ˈʉː	ˈuː	0.587
tʰ	θ	0.568
ɛ	i	0.527
ŋ	-	0.519
tː	t	0.511
ɛ_r	r̥	0.5
ɛ_r	i_r̥	0.5
tː	tː	0.489
ɧ	s_c	0.484
ŋ	ɡ	0.481
ɛ	ɡ	0.473
ˈɔ	ˈo	0.472
kː	k	0.433
tʰ	tʰ	0.432
ɧ	s	0.415
ɡː	ɟː	0.404
kː	kː	0.398
ˈyː	j_ˈoː	0.379
ˈøː	ˈøː	0.359
ˈɛː	ˈe	0.35
d	ð	0.345
ˈæː	ˈe	0.343
ˈœ	-	0.328
ɡ	ɡ	0.324
ˈɔ	ˈu	0.313
ˈøː	ˈɑu̯	0.307
ˈɵ	ˈo	0.295
ˈɛ	ˈe	0.29
ˈʏ	-	0.286
ˈœ	ˈɔ	0.273
ɪ	e	0.262
ˈuː	ˈo	0.256
k	c	0.256
ˈʊ	ˈɔː	0.25
ˈʉː	ˈoː	0.238
ˈeː	ˈi	0.233
ˈøː	-	0.23
ˈɛ	ˈɛ	0.22
j	ɟ	0.22
ˈɑː	-	0.219
pː	pː	0.217
ˈɔ	-	0.215
ɕ	θ	0.215
ˈœ	ˈy	0.201
ˈœ	ˈøː	0.198
ˈɛ	ˈi	0.194
j	ç	0.193
kʰ	cʰ	0.19
ˈa	ˈɔ	0.185
j	j_ˈɔ	0.178
kː	cː	0.169
ˈoː	-	0.163
a	a	0.163
j	j	0.147
ˈɪ	ˈe	0.144
j	-	0.137
ˈɛ	ˈɛi̯	0.132
ˈoː	ˈɑ_ŋ	0.128
j	l_j	0.125
ˈʉː	ˈu	0.119
ˈiː	ˈeː	0.119
ˈa	-	0.111
ˈøː	ˈɒu̯	0.103
ɧ	s_j	0.101
ˈɛ	ˈɛː	0.096
r	r̥	0.091
l	lː	0.087
ˈa	ˈɑː	0.076
n	-	0.074
ˈɛ	ˈeː	0.068
r	r̥ː	0.063
v	x	0.06
ˈʉː	-	0.055
