English	Mecklenburgisch-Vorpommersch	probability
θ	d	1.0
ˈɜː	-	1.0
ʤ	ç	1.0
ʃ	ʃ	1.0
ɡ_ə	æ	1.0
ɜː	r_ˈʏ	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
w_ˈɔː	v	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.952
ɹ	r	0.933
t	t	0.889
ɫ	l	0.875
ə	æ	0.855
ɡ	ɡ	0.836
ˈæ	ˈa	0.83
w	v	0.785
ð	ɾ	0.701
v	m	0.679
ˈɔː	ˈuː_æ	0.653
z	-	0.642
ˈuː	-	0.624
ˈaʊ̯	ˈuː	0.601
ˈɑː	ˈaː	0.595
s	z	0.579
ɪ	-	0.556
ˈəʊ̯	ˈae̯	0.535
ʧ	kʰ	0.534
ˈʊ	ˈʊ	0.5
ˈʊ	ˈaʊ̯	0.5
ˈɛ	ˈoː	0.5
ˈɛ	-	0.5
ˈeɪ̯	ˈɒː	0.484
ˈɪ	ˈɪ	0.472
ʧ	k	0.466
d	d̥	0.45
ˈɒ	ˈɔ	0.447
ɪ	ɪ	0.444
ˈɐ	ˈʊ	0.426
d	d	0.413
ˈaɪ̯	ˈiː	0.384
ˈuː	ˈaʊ̯	0.376
z	z̥	0.358
ˈiː	ˈɔʏ̯	0.349
ˈaɪ̯	ˈɪ	0.349
ˈe	ˈɛ	0.339
ˈɒ	ˈa	0.329
v	f	0.321
ð	-	0.299
ˈeɪ̯	ˈa	0.292
ˈe	-	0.275
ˈaʊ̯	-	0.265
s	ʃ	0.251
ˈɒ	-	0.224
ˈeɪ̯	-	0.224
ˈɑː	ˈa_l	0.203
ˈɑː	ˈa	0.203
ˈiː	ˈaʊ̯	0.189
ˈɔː	ˈa	0.185
ˈæ	-	0.17
s	s	0.17
ˈɪ	ˈʏ	0.169
ɡ	j	0.164
ˈiː	ˈɒː	0.163
ˈɔː	æ	0.162
ˈɐ	-	0.155
ˈe	ˈae̯	0.153
w	w	0.152
ə	-	0.145
ˈaʊ̯	ˈaʊ̯	0.134
ˈɐ	ˈɒː	0.126
ɫ	ɡ_l	0.125
ˈəʊ̯	ˈɔ	0.123
ˈe	ˈaʊ̯	0.122
ˈəʊ̯	ˈɪ	0.116
ˈəʊ̯	ˈaʊ̯	0.116
ˈəʊ̯	ˈeː	0.111
ˈe	ˈɪ	0.111
ˈiː	ˈae̯	0.099
ˈɐ	ˈɔ	0.097
ˈɐ	ˈœː	0.076
ˈɐ	ˈʏ	0.073
ˈɪ	ˈyː	0.07
ˈɪ	ˈiː	0.07
ˈɪ	ˈɛ	0.068
ɹ	-	0.067
w	-	0.064
ˈɪ	-	0.062
t	ç	0.062
ˈiː	ae̯	0.059
ˈaɪ̯	ç	0.058
ˈiː	-	0.057
ˈaɪ̯	ˈyː	0.057
ˈaɪ̯	x	0.057
ˈiː	ˈɛː	0.056
d	d_n	0.05
