Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈi	1.0
ˈi_k	ˈi_k	1.0
ˈe_ʧ	ʦ	1.0
ˈa_n	ˈi_nː	1.0
ʧʲ	-	1.0
ʦʲ	tː_ɪ	1.0
ʒ	j	1.0
ʃ_ˈa	s_ˈɛ	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ŋ	-	1.0
z	-	1.0
v	v	1.0
u_m	ˈɛ	1.0
u_#>	ʊ_#>	1.0
r_ə	a	1.0
r_#>	l_ʊ_#>	1.0
p_t	tː	1.0
p_l	c	1.0
p_#>	p_ʊ_#>	1.0
o	-	1.0
nʲ	-	1.0
n_ˈa	n_ˈa	1.0
n_ə	n_ʊ	1.0
n_e	n_ɪ	1.0
m_n	ɲː_ʊ	1.0
l_#>	ɖː_ʊ_#>	1.0
kʲ	cː	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
j_e	a	1.0
f_r	b	1.0
f_l	ç	1.0
f_e	fː	1.0
f	f	1.0
e_d	ˈi_ɾ	1.0
e_#>	#>	1.0
a	a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_a	1.0
p	p	0.897
k	k	0.897
ˈa	ˈa	0.882
#>	ʊ_#>	0.825
ˈɨ	ˈa	0.818
e	ɪ	0.785
ˈu	ˈu	0.778
<#_ʧ	<#_ɕ	0.778
ə	a	0.775
n	n	0.774
t	t	0.75
e̯ˈa	ˈi	0.75
d	d	0.692
ʧ	ɕ	0.667
w	ʊ	0.667
b	b	0.667
m	m	0.625
ˈi	ˈi	0.615
ˈo	ˈɔ	0.588
ɡ	ɡ	0.556
ˈe	ˈi	0.542
o̯ˈa	ˈɔ	0.538
s	s	0.519
u	u	0.5
r	ɾ	0.468
ɡ	-	0.444
ʦ	t	0.429
l	w	0.429
ˈo	ˈu	0.412
i	i	0.375
i	-	0.375
ʃ	sː	0.333
ʃ	s	0.333
ʃ	-	0.333
w	-	0.333
j	-	0.333
b	v	0.333
o̯ˈa	ˈu	0.308
d	ɾ	0.308
r	r	0.304
ˈe	ˈɛ	0.292
ʦ	ʦː	0.286
ʦ	-	0.286
l	l	0.286
l	-	0.286
m	-	0.25
i	ɪ	0.25
e̯ˈa	-	0.25
ʧ	-	0.222
ʤ	ʤ	0.222
ʤ	ɕ	0.222
ʤ	j	0.222
ʤ	-	0.222
s	ʃ	0.222
j	ɟː	0.222
j	n	0.222
j	j	0.222
<#_ʧ	<#	0.222
ˈi	ˈɛ	0.192
u	-	0.188
ˈɨ	-	0.182
n	nː	0.161
o̯ˈa	-	0.154
ˈu	ˈɔ	0.139
ə	ɪ	0.125
u	i	0.125
u	a	0.125
m	ɡ	0.125
ˈi	-	0.115
ʧ	dː	0.111
ʤ	ʤː	0.111
s	-	0.111
#>	ɪ_#>	0.105
p	-	0.103
k	kː	0.103
ˈu	ˈo	0.083
ˈe	ɪ	0.083
ˈe	i	0.083
ˈi	ˈa	0.077
e	i	0.076
s	ɖː	0.074
s	sː	0.074
#>	a_#>	0.07
n	ʊ	0.065
r	l	0.063
e	ʊ	0.063
u	o	0.062
ˈa	ˈɛ	0.059
ˈa	v_ˈa	0.059
t	ʈ_ɽ	0.056
t	ʈ	0.056
t	tː	0.056
t	-	0.056
r	ɽ	0.051
r	ɪ_ɾ	0.051
e	a	0.051
