Alsatian	Palatine German	probability
ˈɛ	ˈɛ	1.0
ˈɔi̯	-	1.0
ˈœ	ˈɑː	1.0
ˈøi̯	ˈau̯	1.0
ˈø	ˈoː	1.0
ˈæ	ˈɛ	1.0
ˈoː_n	ˈõː	1.0
ˈo	ˈɔ	1.0
ˈiː_n	ˈĩː	1.0
ˈeː_n	ˈẽː	1.0
ˈei̯	ˈaɪ̯	1.0
ˈe	ˈɛ	1.0
ˈai̯	ˈɛː	1.0
ʦ	ʣ̥	1.0
ʁ_n	ɐ_n	1.0
ɡ̊	ɡ̊	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
x	x	1.0
w	β	1.0
s	s	1.0
p͡f	b̥	1.0
p	b̥	1.0
n_d̥	n	1.0
m	m	1.0
l	l	1.0
k	ɡ̊	1.0
h	h	1.0
f	f	1.0
eː_n	eː	1.0
e	-	1.0
b̥	b̥	1.0
ʃ	ʃ	0.966
ˈoː	ˈoː	0.958
n	n	0.938
ˈɒ	ˈɑ	0.926
ʋ	β	0.922
ˈyː	ˈau̯	0.913
d̥	d̥	0.885
t	d̥	0.848
ˈɒː	ˈɑː	0.814
ə	ə	0.806
kʰ	kʰ	0.795
ˈi	ˈɪ	0.775
ˈæː	ˈɛː	0.696
ˈu	ˈu	0.623
ʁ	ɐ	0.604
j	j	0.604
ˈeː	-	0.533
ˈaː	ˈɑː	0.515
ˈʊː	ˈuː	0.507
ˈəi̯	-	0.503
ˈəi̯	ˈɛː	0.497
ˈaː	ˈi	0.485
ˈeː	ˈeː	0.467
i	ɪ_ʃ	0.429
ˈiː	ˈaɪ̯	0.419
ʁ	r	0.396
j	-	0.396
ˈiː	ˈiː	0.353
ˈʊː	ˈɑː	0.33
ˈæː	-	0.304
i	ɪ	0.286
i	-	0.286
ˈu	ˈɔ	0.262
ˈiː	-	0.228
kʰ	kʰ_ˈeː	0.205
ˈɒː	-	0.186
ˈʊː	-	0.164
ˈi	ˈaɪ̯	0.141
ə	-	0.133
t	r	0.119
d̥	r	0.115
ˈu	ˈɪ	0.114
ˈyː	ˈau̯̯	0.087
ˈi	-	0.084
ʋ	ɣ̊	0.078
ˈɒ	ˈɑː	0.074
n	-	0.062
ə	ɑ	0.061
