Lower Sorbian	Belarusian	probability
ʒ	ʐ	1.0
ʑ	ʣʲ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ɲ	nʲ	1.0
ɡ̊	x	1.0
ɡ	ɣ	1.0
ɕ_i	r_ɨ	1.0
ɕ	ʦʲ	1.0
z̥	-	1.0
vʲ	vʲ	1.0
t͡ʂ	x	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
kʲ	kʲ	1.0
j_kʲ	ɣʲ	1.0
j	j	1.0
i	i	1.0
f	-	1.0
d_w	ɫ	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
v	v	0.943
l	lʲ	0.93
k	k	0.914
t	t	0.862
rʲ	r	0.822
w	ɫ	0.815
d	d	0.802
ɨ	ɨ	0.745
d̥	d̥	0.723
b	b	0.689
u	u	0.683
ʨ	ʦʲ	0.667
x	x	0.662
ʂ	r	0.652
s	s	0.633
z	z	0.615
ʦ	ʧ	0.572
ɪ	e	0.55
ɔ	o	0.537
a	a_ˈ	0.478
ɪ	æ	0.45
e	e	0.437
ʦ	ʦ	0.428
z	zʲ	0.385
ɛ	a	0.375
ʂ	ʂ	0.348
s	sʲ	0.346
x	xʲ	0.338
ʨ	ʤ̥	0.333
ɛ	o	0.331
ɔ	a	0.313
b	bʲ	0.311
e	æ	0.286
e	-	0.277
d̥	d̥ʲ	0.277
a	a	0.239
d	ʣʲ	0.198
u	-	0.184
rʲ	r_a	0.178
t	-	0.138
u	ʉ	0.134
ɨ	-	0.133
w	w	0.126
ɨ	i	0.122
ɛ	e	0.107
ɔ	-	0.086
k	x	0.086
ɛ	ɛ	0.085
a	æ	0.076
a	o	0.071
l	ʌ	0.07
a	ɵ_ˈ	0.07
a	e_ˈ	0.066
ɔ	ɵ	0.065
ɛ	æ	0.061
w	ʌ_ɫ	0.06
v	w	0.057
