Bulgarian	Slovenian	probability
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ_t	ʧ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɛ	1.0
ɛ_m	ə_m	1.0
z̥	z̥	1.0
z	z	1.0
x_a	x_a	1.0
x	x	1.0
vʲ_a	ʋ_eː	1.0
v_ɐ	ʋ_a	1.0
tʲ	t_e	1.0
t	t	1.0
s	s	1.0
rʲ	iː	1.0
r_a	r_a	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	-	1.0
n_a	n_a	1.0
n	n	1.0
lʲ	l	1.0
l	l	1.0
j_ɐ	t_i	1.0
j	j	1.0
i_ˈ	i	1.0
d̥	d̥	1.0
dʲ	ɛ_t	1.0
d_a	d_a	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
v	ʋ	0.959
k	k	0.896
m	m	0.894
i	iː	0.77
u	uː	0.767
ɐ_k	ə_k	0.667
ɔ	oː	0.661
ˈ	́	0.605
ɫ	l	0.563
ɐ	ə	0.538
a	aː	0.451
o	ɔ	0.421
ɫ	w	0.395
ɤ	ə	0.393
ɛ	eː	0.354
ɤ	oː	0.346
o	ɔː	0.336
ɐ_k	ə	0.333
ˈ	̀	0.302
a	eː	0.268
a	a	0.243
u	u	0.233
i	i	0.23
ɔ	ɔ	0.225
ɐ	-	0.225
o	oː	0.168
ɐ	t_i	0.155
ɛ	ə	0.148
ɤ	ɔː	0.137
ɛ	ɛ	0.134
ɤ	-	0.123
ɔ	o	0.114
m	-	0.106
k	-	0.104
ɛ	ɛː	0.103
ˈ	-	0.093
ɛ	eː_́	0.09
ɐ	aː_̀	0.083
o	o	0.075
ɛ	e	0.066
ɛ	-	0.058
