Štokavian	Kashubian	probability
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ɡ̊	s_k	1.0
x	x	1.0
ǔː	-	1.0
û	-	1.0
uː	õ	1.0
u	-	1.0
t_i	ʦ	1.0
s	s	1.0
r̩̂	-	1.0
r̩̂ː	r	1.0
r̩̂	ˈɛ_r	1.0
p	p	1.0
j_êː	ˈa	1.0
ǐː	ˈə	1.0
îː	ˈə	1.0
i_r	ɾ	1.0
i	ə	1.0
e	-	1.0
ǎː	ˈɔ	1.0
ǎ	-	1.0
âː	-	1.0
a_r	r_i	1.0
a_n	n_i	1.0
a_m	m_ə	1.0
k	k	0.93
m	m	0.802
eː	-	0.796
b	b	0.767
n	n	0.762
z	z	0.758
d	d	0.735
l	w	0.719
t	t	0.67
ɡ	ɡ	0.656
ʋ	v	0.655
ǒ	u̯ˈɛ	0.648
ʒ	ʒ	0.63
r	r	0.564
êː	-	0.554
î	ˈə	0.54
a	a	0.51
o	ɔ	0.507
â	ˈa	0.479
ě	ˈɛ	0.475
j	j	0.468
ê	-	0.465
î	ˈi	0.46
r	r̝	0.436
ê	ˈɛ	0.412
ôː	ˈu	0.408
ěː	ˈɞ	0.386
ěː	ˈe	0.386
ʒ	ʒ̊	0.37
ô	u̯ˈɛ	0.366
ǒ	-	0.352
ûː	ˈɞ_w	0.333
ûː	ˈə	0.333
ûː	ˈõ	0.333
t	ʦ	0.33
ôː	ˈɔ	0.301
ě	ˈɔ	0.295
ôː	u̯ˈɛ	0.291
o	u̯ɛ	0.28
j	-	0.268
d	ʣ	0.265
êː	ˈu	0.245
ô	ˈɔ	0.243
n	ɲ	0.238
â	ˈɛ	0.237
b	b̥	0.233
ě	ɛ	0.23
ěː	ˈã	0.229
ô	-	0.225
a	ɛ	0.218
o	w	0.213
eː	ã	0.204
êː	j_ˈã	0.201
m	m_j	0.198
ʋ	v_j	0.196
ɡ	ʤ	0.192
l	l	0.183
ô	ˈɛ	0.166
â	ˈɞ	0.164
a	-	0.163
z	z̥	0.155
ɡ	ɡ̊	0.152
ʋ	f	0.149
j	ˈa	0.134
j	j_ˈɞ	0.13
ê	ˈe	0.123
â	-	0.119
a	i	0.109
l	d_w	0.097
z	-	0.087
k	-	0.07
