Mainland North Frisian	East Franconian	probability
ˈɒː_z	ˈoː	1.0
ˈœː_ç	ə	1.0
ˈœː	ˈaʊ̯	1.0
ˈœi̯	-	1.0
ˈiː_nʲ	ˈaː	1.0
ʃ	ʃ	1.0
ʀ_ˈa	r_ˈaɪ̯	1.0
ʀ_n	ɐ_n	1.0
ɡ	ɡ̊	1.0
ɛi̯	eː	1.0
ə_ʀ	ɐ	1.0
ə_n	a	1.0
z̥	d̥	1.0
z	z̥	1.0
w	ŋ	1.0
v_ə	m	1.0
tʲ	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
nʲ	n_d̥	1.0
n_ə	n_d̥	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
j_ˈa	ˈɛ	1.0
h	h	1.0
dʲ	d̥	1.0
d	d̥	1.0
f	f	0.953
b	b̥	0.925
s	s	0.813
d̥	d̥	0.756
n	n	0.724
v	v	0.706
ˈyː	ˈuː	0.688
j	-	0.682
ˈɒ	ˈɒ	0.664
ʀ	ɐ	0.623
lʲ	l_d̥	0.618
ˈaː	ˈʊ	0.614
ˈɔ	ˈɔ	0.6
ˈai̯	ˈɪ	0.598
ˈɛ	ˈiː	0.584
x	x	0.579
ŋ	ŋ	0.571
ə	n	0.569
ˈɒː	ˈɒ	0.561
d_ə	ɾ	0.545
p	v̥	0.529
j_ə	ɣ	0.515
ˈʊ	ˈʊ	0.514
ˈɔu̯	ˈoː	0.509
ˈiː	ˈiː	0.492
ˈɔu̯	ˈuː	0.491
j_ə	ŋ	0.485
ˈi	ˈaɪ̯	0.479
p	b̥͡v̥	0.471
ˈɒː	-	0.439
ˈʏ	ˈaʊ̯	0.43
t	d̥	0.429
t	ʦ	0.428
ˈɛː	ˈɛ	0.426
x	ç	0.421
ˈɛi̯	ˈoː	0.418
ˈɛ	ˈiː_ɐ	0.416
ˈuː	ˈaː	0.416
ˈai̯	ˈaɪ̯	0.402
ˈɔ	-	0.4
k	kʰ	0.394
ˈaː	-	0.386
ˈeː	ˈɛ	0.385
lʲ	l	0.382
ˈœ	ˈɒ	0.375
ˈiː	ˈaː	0.364
ˈeː	-	0.356
ˈi	ˈɪ	0.337
ˈɔː	-	0.336
ˈɒ	-	0.336
i	ɪ	0.333
i	i	0.333
i	-	0.333
ˈɛi̯	ˈiː	0.331
ˈɔː	ˈoː	0.325
ˈɛː	ˈoː	0.324
ˈœ	-	0.321
j	j	0.318
ˈyː	-	0.312
ʀ	r	0.301
ˈa	ˈɛ	0.291
ˈʏ	-	0.286
ˈeː	ˈɪ	0.26
ˈɛi̯	-	0.251
ˈɛː	-	0.25
ˈuː	ˈɒ	0.244
d̥	d̥_n	0.244
ŋ	ç	0.242
d_ə	z̥	0.242
ˈœ	ˈuː	0.223
d_ə	ŋ	0.213
ˈa	ˈɪ	0.2
ˈɔː	ˈiː	0.198
ə	a	0.197
ˈuː	ˈuː	0.192
ˈa	-	0.189
ŋ	-	0.187
ˈi	ˈeː	0.184
ə	-	0.177
k	x	0.171
ˈa	ˈiː	0.166
n	-	0.157
k	ɡ̊	0.154
ˈa	ˈa	0.153
ˈuː	-	0.148
k	ç	0.147
ˈiː	-	0.144
t	s	0.144
ˈʏ	ˈʊ_n	0.142
ˈʏ	ˈuː	0.142
ˈɔː	ˈɔ	0.141
s	ʃ	0.133
ˈʊ	-	0.122
ˈʊ	ˈɪ	0.121
n	n_d̥	0.119
ˈʊ	ˈɒ	0.115
v	-	0.109
k	ŋ	0.093
ˈœ	ˈɔ	0.081
ˈʊ	ˈɔ	0.078
b	-	0.075
v	f	0.064
v	m	0.063
v	v_ˈɪ	0.059
ə	ɐ	0.057
s	ʃ_v	0.054
