Portuguese	Piedmontese	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
l	l	1.0
m	m	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɡ	ɡ	1.0
ɨ	e	1.0
ɫ	l	1.0
ʁ	r	1.0
ʎ	j	1.0
ˈa	ˈa	1.0
ˈẽ	ˈɛ_ŋ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈõ	ˈu_ŋ	1.0
ˈɐ	ˈa	1.0
β	v	1.0
n	n	0.751
u	j	0.261
ˈu	ˈu	0.291
ˈɐ̃	ˈa	0.491
t	s	0.102
v	b	0.182
w̃	-	0.292
ɣ	-	0.782
ɲ	ŋ	0.622
ˈɔ	ˈu	0.412
j	j	0.563
ʃ	s	0.493
ʒ	z	0.273
ɾ	j	0.094
ˈe	ˈi	0.14
ˈi	ˈe	0.084
ˈɔ	ˈø	0.264
ˈɔ	ˈɔ	0.324
w	l	0.085
w	w	0.915
ð	t	0.345
ɐ	-	0.185
ɐ	a	0.815
ɾ	-	0.15
ˈe	ˈɛ	0.5
ˈɛ	ˈe	0.205
ˈɛ	ˈɛ	0.795
u	-	0.226
ˈe	ˈe	0.36
ˈi	ˈi	0.916
ˈo	ˈø	0.296
j	-	0.437
u	i	0.227
u	u	0.287
ð	-	0.347
ɾ	e	0.087
ʒ	ʤ	0.727
ˈo	ˈu	0.167
t	t	0.898
v	v	0.818
w̃	ŋ	0.708
ð	d	0.308
ɣ	ɡ	0.218
ɲ	ɲ	0.378
ʃ	z	0.338
ˈo	ˈɔ	0.538
n	ŋ	0.249
ɾ	r	0.669
ʃ	-	0.169
ˈu	ˈy	0.709
ˈɐ̃	ˈa_ŋ	0.509
