Slovak	Slovenian	probability
a	a	1.0
b	b	1.0
d	d	1.0
i	i	1.0
j	j	1.0
m	m	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	ʋ	1.0
z	z	1.0
ɟ	d	1.0
ɦ	ɡ	1.0
ɪ̯ˈa	èː	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ɔ́	1.0
ʋ	ʋ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈaː	àː	1.0
ˈu	óː	1.0
ˈɫ̩	ɔ́ː	1.0
ɪ̯ˈɛ	èː	0.871
ɫ	l	0.971
ˈa	á	0.091
ˈi	ìː	0.641
ˈr̩	r	0.421
ˈɔ	ɔ̀ː	0.351
ˈɛ	ɛ̀ː	0.241
k	k	0.932
ɛ	éː	0.132
ˈɛ	èː	0.152
l	-	0.183
n	n	0.723
ɔ	ɔ	0.683
ʎ	l	0.813
ʦ	ʦ	0.83
ˈɔ	o	0.213
ˈɛ	e	0.113
iː	w	0.874
r	r	0.94
ˈɔ	ɔ	0.054
ˈɛ	éː	0.494
c	t_i	0.445
x	k	0.235
x	x	0.765
iː	-	0.126
r	r_j	0.06
ˈɔ	òː	0.066
l	l	0.817
n	-	0.277
ʎ	w	0.187
ʦ	ʧ	0.17
ˈa	àː	0.37
ˈɔ	óː	0.317
c	t	0.528
ɔ	óː	0.258
ˈa	áː	0.288
ɔ	ə	0.059
ɛ	ə	0.429
ɛ	ɛ	0.439
ɪ̯ˈɛ	éː	0.129
ˈa	éː	0.209
ˈi	íː	0.359
ˈr̩	ə́_r	0.579
