Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ_ɾ	ˈaː	1.0
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ɡː	ˈɔɪ̯	1.0
ˈɑ_ɾ	ˈɔː_ɑ	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈæː_ɾ	ɑ	1.0
ˈæ	ˈɛː	1.0
ˈoː_ɾ	ˈɔː_ɑ	1.0
ˈeː_ɡ	ˈɪ_ç	1.0
ʰpː	f	1.0
ʰkː	ŋ_k	1.0
ʋ_#>	b̥_#>	1.0
ʉ	-	1.0
ɾ_e	ɑ	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɡː	k	1.0
ɛ	-	1.0
ə_ɾ	ɑ	1.0
ə	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	ɪ	1.0
v	ʋ	1.0
tː	ʦ	1.0
sː	n_s	1.0
s_k	ʃ	1.0
s_e	s	1.0
s_#>	s_#>	1.0
pʰ	b	1.0
p_#>	f_#>	1.0
nː_#>	#>	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kʰ_ʋ	ʋ	1.0
kʰ	k	1.0
jː	-	1.0
j_ˈʉː	l_ˈiː	1.0
j_ɑ	ə	1.0
h	h	1.0
f	f	1.0
e_n	eː	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_n	<#_n	1.0
m	m	0.92
ɑ	ə	0.882
d	d	0.85
ˈæɪ̯	ˈeː	0.846
e	-	0.846
#>	d̥_#>	0.828
ˈɑ	ˈa	0.818
ʋ	ʋ	0.81
ˈiː	ˈaɪ̯	0.769
ˈʉː	ˈaʊ̯	0.692
tʰ	d	0.688
t	s	0.682
ˈʏ	ˈɪ	0.636
ˈuː	ˈuː	0.615
s	ʃ	0.606
p	f	0.6
j	ɡ	0.6
<#	<#_ʋ	0.6
ˈʉ	ˈʊ	0.562
ˈyː	ˈiː	0.556
ˈeː	-	0.556
k	ç	0.556
ɾ	ɾ	0.535
ˈɛ	ˈɛ	0.529
ˈɑː	ˈɔː	0.5
ˈɑː	ˈa	0.5
ˈæʉ̯	ˈɔː	0.5
ˈæʉ̯	ˈoː_d̥	0.5
ˈoː	ˈoː	0.5
ʂ	ʃ	0.5
ˈyː	ˈaɪ̯	0.444
ˈeː	ˈɛ	0.444
k	x	0.444
ˈøː	ˈiː	0.429
ʰtː	t	0.429
ɡ	ɡ	0.417
p	p	0.4
j	ˈɛ	0.4
<#	<#_j	0.4
s	s	0.394
ˈʏ	-	0.364
ˈoː	-	0.333
ç	k	0.333
ç	d	0.333
ç	-	0.333
t	t	0.318
tʰ	ʦ	0.312
ˈøː	ˈuː	0.286
ˈøː	ˈeː	0.286
ʰtː	ç_t	0.286
ʰtː	s	0.286
ʂ	ʃ_ˈɪ	0.25
ʂ	s	0.25
ɡ	ɡ̊	0.25
ˈuː	-	0.231
ˈiː	-	0.231
ɾ	ɑ	0.209
ˈɔ	ˈɛ	0.2
ˈɔ	ˈɔ	0.2
ˈɔ	ˈaː	0.2
ˈɔ	ˈa_x	0.2
ˈɔ	-	0.2
ʋ	f	0.19
ˈʉ	ˈɔ	0.188
ˈɛ	ˈɛː	0.176
ˈɛ	ˈaɪ̯	0.176
ˈoː	n	0.167
ˈʉː	ˈuː	0.154
ˈʉː	-	0.154
ˈæɪ̯	-	0.154
ˈuː	ˈʊ	0.154
e	ɑ	0.154
d	d̥	0.15
ˈʉ	ʋ_ˈɔ	0.125
ˈʉ	-	0.125
ɡ	ç	0.125
ɡ	-	0.125
ˈɛ	ˈa	0.118
ɑ	-	0.118
ɾ	d_ɑ	0.116
#>	ɑ_#>	0.103
ɾ	-	0.093
ˈɑ	ˈɔː	0.091
ˈɑ	ˈaː	0.091
ɡ	ɣ	0.083
m	ə_m	0.08
#>	b̥_#>	0.069
