Italian	Spanish	probability
a	a	0.904
a	e	0.058
b	b	0.593
b	β	0.197
b	-	0.106
b	k	0.058
d	d	0.439
d	-	0.331
d	ð	0.133
d	t	0.09
e	e	0.462
e	-	0.324
e	ˈi	0.071
e	a	0.063
f	f	0.511
f	ɟ͡ʝ	0.302
f	θ	0.187
i	e	0.312
i	i	0.248
i	-	0.139
i	o	0.099
i	ˈe	0.064
i	ɾ	0.06
j	j	0.329
j	-	0.277
j	l	0.197
j	ʝ	0.081
k	k	0.734
k	-	0.145
k	ɣ	0.105
l	l	0.542
l	-	0.29
l	ʝ	0.143
m	m	0.935
n	n	0.921
n	-	0.055
o	o	0.917
o	-	0.079
p	p	0.663
p	β	0.301
r	ɾ	0.756
r	-	0.162
r	r	0.082
s	s	0.825
s	-	0.085
t	t	0.42
t	ð	0.297
t	-	0.188
t	ʧ	0.078
u	u	0.341
u	ˈa	0.311
u	i	0.16
u	e	0.129
u	-	0.059
v	b	0.589
v	β	0.333
w	w	0.846
w	ɾ	0.082
z	s	1.0
ŋ	ŋ	0.966
ɡ	ɣ	0.509
ɡ	ɡ	0.414
ɡ	-	0.076
ɲ	ɲ	0.614
ɲ	θ	0.23
ɲ	-	0.133
ʃ	θ	0.763
ʃ	-	0.237
ʎ	x	0.55
ʎ	-	0.362
ʎ	l	0.088
ʣ	x	1.0
ʤ	-	0.453
ʤ	x	0.297
ʤ	θ	0.146
ʤ	ɟ͡ʝ	0.091
ʦ	θ	0.882
ʦ	-	0.118
ʧ	θ	0.668
ʧ	-	0.244
ʧ	x	0.061
ˈa	ˈa	0.932
ˈe	ˈe	0.828
ˈe	e	0.056
ˈe	ˈa	0.051
ˈi	ˈi	0.793
ˈi	ˈe	0.07
ˈi	j	0.07
ˈo	ˈo	0.766
ˈo	w_ˈe	0.089
ˈo	ˈu	0.065
ˈo	ˈe	0.059
ˈu	ˈu	0.81
ˈu	ˈo	0.087
ˈu	-	0.06
ˈɔ	w	0.388
ˈɔ	ˈo	0.274
ˈɔ	ˈe	0.202
ˈɛ	j	0.441
ˈɛ	ˈe	0.413
ˈɛ	ˈi	0.06
