Alsatian	East Frisian Low Saxon	probability
ˈɛ	ˈeːe̯	1.0
ˈɔi̯	ˈɑːʊ̯	1.0
ˈɒː_s	z̥	1.0
ˈœ	ˈoːo̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈøː	1.0
ˈu_ʁ	ˈyːʏ̯	1.0
ˈei̯	ˈɛːɪ̯	1.0
ˈai̯	ˈøː	1.0
ʦ	t	1.0
ʁ_n	ɐ_n	1.0
ɡ̊	ɡ	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
w	w	1.0
t_ʁ	d_r	1.0
s_ə	t_n	1.0
p͡f	p	1.0
p	p	1.0
n_s	s	1.0
n_d̥	n	1.0
n	n	1.0
m_ə	m	1.0
m	m	1.0
kʰ	k	1.0
k_ə	k_n	1.0
k_s	s	1.0
k	ɣ̊	1.0
h	h	1.0
f_ə	p_n	1.0
f	f	1.0
eː	ɑɪ̯	1.0
e	ˈiː	1.0
d̥_ə	n	1.0
b̥	b	1.0
l	l	0.972
d̥	d	0.875
ˈəi̯	ˈæɪ̯	0.833
j	ɡ	0.777
ˈyː	ˈuː	0.775
ˈaː	-	0.743
ʋ	v	0.728
ˈæː	-	0.696
ə	n	0.651
ˈo	ˈoː	0.598
ˈæ	ˈeː	0.576
ˈi	ˈɪ	0.573
ʁ	ɐ	0.556
s	z	0.536
ʃ	s	0.531
ˈeː	-	0.491
ˈɒ	ˈɑ	0.479
t	t	0.479
ˈʊː	ˈɑʊ̯	0.453
x	χ	0.429
ˈæ	ˈɛ	0.424
ˈɒː	ˈɑː	0.4
ˈu	ˈʊ	0.37
ˈɒː	ˈɑ	0.363
ˈiː	-	0.361
ʁ	r	0.354
i	ɣ̊	0.333
i	ɐ_ɣ̊	0.333
i	-	0.333
t	d̥	0.325
s	t	0.319
ˈæː	ˈeː	0.304
x	k	0.286
x	-	0.286
ˈi	-	0.281
ˈoː	ˈoː	0.263
ˈeː	ˈɛːɪ̯	0.263
ˈe	ˈøː	0.257
ˈaː	ˈɛə̯	0.257
ˈoː	ˈɒː	0.25
ˈoː	-	0.25
ˈeː	ˈiː	0.247
ˈoː	ˈɔː	0.238
ˈɒː	ˈɒː	0.237
ˈyː	ˈuːu̯	0.225
j	j	0.223
ˈʊː	ˈoː	0.222
ˈiː	ˈiː	0.221
ʃ	k	0.218
ʋ	-	0.207
ˈo	ˈʊ	0.201
ˈo	ˈɔ	0.201
ˈe	ˈɪ	0.2
ˈe	ˈɛ	0.2
ˈe	ˈeː	0.2
ˈu	ˈœ	0.196
ˈu	-	0.194
ʃ	s_k	0.171
ˈəi̯	-	0.167
ˈʊː	-	0.166
ə	-	0.161
ˈiː	ˈæɪ̯	0.146
s	z̥	0.145
ˈɒ	ˈɑːɑ̯	0.143
ˈe	-	0.143
d̥	-	0.125
t	d	0.12
ə	m	0.119
ˈɒ	ˈɒː	0.114
ˈɒ	-	0.11
ˈʊː	ˈœːy̯	0.108
ˈu	ˈʏə̯	0.105
ˈiː	ˈœy̯	0.102
ˈiː	ˈeː	0.102
ʁ	-	0.091
ˈi	ˈʏ	0.082
ʃ	χ	0.08
ˈɒ	ˈɑː	0.077
t	-	0.075
ə	ɡ_n	0.069
ˈu	ˈɔ	0.067
ˈu	ˈøːø̯	0.067
ˈiː	ˈæː	0.067
ʋ	v_ˈɪ	0.066
ˈi	ˈɛ	0.063
ˈɒ	ˈɔ	0.053
ˈʊː	ʊ	0.052
