Bavarian	Alsatian	probability
#>	#>	0.821
#>	ʁ_#>	0.123
<#	<#	1.0
a	ə	0.877
a	-	0.119
a_#>	#>	0.251
b̥	b̥	0.862
b̥	-	0.084
b̥	v	0.053
d̥	d̥	0.532
d̥	t	0.465
f	f	1.0
h	h	0.948
h	-	0.058
i	i	0.683
i	l	0.226
j	l	0.79
j	j	0.209
k	k	1.0
kʰ	kʰ	0.879
kʰ	ɡ̊	0.102
l	l	0.917
l	-	0.082
m	m	0.766
m	n	0.142
m	v	0.056
n	n	0.711
n	ə	0.256
n_#>	#>	1.0
p	p	0.66
p	p͡f	0.166
p͡f	p͡f	0.501
r	ʁ	1.0
s	s	0.958
t	t	0.908
t	d̥	0.091
t_#>	#>	1.0
x	x	0.607
x	ʃ	0.389
ç	ʃ	1.0
ŋ	ŋ	0.636
ŋ	j	0.187
ŋ	i	0.089
ŋ	v	0.071
ɐ	-	0.407
ɐ	ʁ_i	0.199
ɐ	ə	0.15
ɐ	ˈeː	0.114
ɐ	ˈiː	0.114
ɐ_#>	#>	0.251
ə	l	0.251
ə_#>	#>	1.0
ɡ̊	ɡ̊	0.582
ɡ̊	k	0.27
ɡ̊	ʃ	0.087
ɡ̊	ʋ	0.059
ɡ̊_#>	#>	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.782
ʋ	w	0.216
ʦ	ʦ	1.0
ˈa	ˈɒ	0.582
ˈa	ˈɒː	0.203
ˈa	ˈʊː	0.203
ˈai̯	ˈiː	0.537
ˈai̯	ˈei̯	0.193
ˈai̯	ˈəi̯	0.155
ˈai̯	ˈi	0.093
ˈau̯	ˈyː	0.75
ˈau̯	ˈɔi̯	0.12
ˈau̯	ˈœ	0.09
ˈaː	ˈʊː	0.66
ˈaː	ˈɒ	0.116
ˈaː	ˈo	0.109
ˈe	ˈeː	0.463
ˈe	ˈe	0.437
ˈe	ˈæː	0.066
ˈeɐ̯	ˈi	0.392
ˈeɐ̯	ˈiː	0.392
ˈeɐ̯	ˈʊː	0.13
ˈeː	ˈeː	0.441
ˈeː	ˈæ	0.262
ˈeː	ˈæː	0.124
ˈeː	ˈɛ	0.119
ˈi	ˈi	0.754
ˈi	-	0.122
ˈi	ˈe	0.061
ˈi	ˈiː	0.061
ˈiɐ̯	ˈiː	0.833
ˈiɐ̯	ˈei̯	0.139
ˈiː	ˈi	0.723
ˈiː	ˈiː	0.208
ˈo	ˈɒ	0.676
ˈo	ˈo	0.117
ˈo	ˈɒː	0.099
ˈo	ˈaː	0.073
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈəi̯	0.442
ˈoɐ̯	ˈoː	0.177
ˈoɐ̯	ˈo_ʁ	0.139
ˈoɐ̯	ˈiː	0.08
ˈoɐ̯	ˈɒ	0.08
ˈoɐ̯	ˈɒː	0.064
ˈoː	ˈɒː	0.386
ˈoː	ˈɒ	0.254
ˈoː	ˈo	0.193
ˈoː	ˈø	0.133
ˈu	ˈu	0.794
ˈu	ˈi	0.13
ˈu	ˈoː	0.071
ˈuɐ̯	ˈʊː	0.901
ˈuɐ̯	ˈøː	0.083
ˈɑː	ˈæː	0.501
ˈɒ	ˈɒ	0.67
ˈɒ	ˈɒː	0.229
ˈɒ	ˈɛ	0.069
ˈɒː	ˈoː	0.561
ˈɒː	ˈɒ	0.175
ˈɒː	ˈɒː	0.175
ˈɔ	ˈoː	0.464
ˈɔ	ˈɒ	0.168
ˈɔ	ˈɒː	0.168
ˈɔ	ˈo	0.153
ˈɛ	ˈe	0.356
ˈɛ	ˈæ	0.303
ˈɛ	ˈæː	0.174
ˈɛ	ˈu	0.12
ˈɛː	ˈeː	0.644
ˈɛː	ˈæː	0.245
ˈʏ	ˈi	0.251
