Faroese	North Frisian	probability
a	ə	0.689
a	-	0.308
b̥	b	0.931
b̥	-	0.069
d̥	d	0.576
d̥	-	0.279
d̥	t	0.088
d̥	j	0.056
f	f	0.661
f	-	0.247
f	f_r	0.084
h	h	1.0
j	-	0.83
j	dʲ	0.095
j	w	0.073
k	k	1.0
k_ʊ	ʃ	1.0
kʰ	k	0.606
kʰ	-	0.384
l	l	0.823
l	lʲ	0.084
l	ə_l	0.052
l	l_ə	0.039
l_a	l	1.0
l_d̥	lʲ	1.0
l_ʊ	l	1.0
l̥	l	0.837
l̥	lʲ	0.136
l̥_ʊ	l	1.0
m	m	0.938
m	-	0.061
m_ʊ	m	1.0
n	n	0.857
n	nʲ	0.091
n	-	0.051
n_d̥	nʲ	1.0
nː	n	0.564
nː	s	0.254
nː	d	0.168
n̥	n	0.738
n̥	r	0.194
p	p	1.0
r	ˈyː	0.494
s	s	0.913
s	-	0.054
s	z	0.032
s	ʃ	0.031
s_k	ʃ	1.0
sː	s	1.0
t	t	0.498
t	-	0.263
t	r	0.169
t	z	0.042
t	d	0.038
t_ʊ	tʲ	1.0
tʰ	t	0.814
tʰ	d	0.169
tː	d	0.494
v	v	0.593
v	-	0.255
v	f	0.075
v	p	0.033
v	x	0.033
w	-	0.472
w	dʲ	0.366
w	j	0.143
ŋ	ŋ	1.0
ə	ə	1.0
ɛ	i	0.244
ɡ̊	-	0.642
ɡ̊	ɡ	0.244
ɡ̊	j	0.105
ɡ̊_ʊ	ə	0.494
ɪ	ə	0.528
ɪ	-	0.392
ɪ	i	0.067
ɲ	ŋ	0.12
ɹ	-	0.597
ɹ	r	0.375
ɹː	j	0.494
ʃ	ʃ	0.59
ʃ	s	0.275
ʈ	t	1.0
ʊ	-	0.83
ʊ	ə	0.095
ʊ	ə_n	0.039
ʊ_ɹ	i	1.0
ʊ̯ˈiː	ˈi	0.244
ʎ	l	0.494
ʤ̊	-	0.58
ʤ̊	d	0.117
ʤ̊	j	0.114
