Faroese	North Frisian	probability
a	ə	0.727
a	-	0.266
b̥	b	0.98
d̥	d	0.554
d̥	-	0.44
f	f	0.976
h	h	1.0
j	-	0.645
j	w	0.13
j	j	0.114
j	h	0.076
k	-	0.561
k	k	0.439
kʰ	k	0.804
kʰ	-	0.196
l	l	0.807
l	lʲ	0.118
l	ə_l	0.055
l̥	l	0.951
m	m	0.893
m	-	0.107
mː	m	1.0
n	n	0.845
n	nʲ	0.136
nː	n	0.654
nː	s	0.215
nː	d	0.131
n̥	n	0.782
n̥	r	0.218
p	p	1.0
pʰ	p	1.0
r	r	0.842
r	-	0.158
s	s	0.816
s	ʃ	0.154
sː	s	1.0
t	t	0.37
t	r	0.197
t	-	0.159
t	d	0.114
t	z	0.081
t	tʲ	0.079
tʰ	t	0.763
tʰ	d	0.144
tʰ	j	0.054
tː	d	1.0
v	v	0.629
v	-	0.267
v	f	0.056
v̥	f	0.414
v̥	-	0.342
v̥	v	0.139
v̥	w	0.105
w	dʲ	0.379
w	-	0.352
w	ˈɔu̯	0.187
w	ə	0.064
ŋ	ŋ	1.0
ɑ	ə	1.0
ɛ	i	1.0
ɡ̊	-	0.58
ɡ̊	ɡ	0.223
ɡ̊	j	0.197
ɡ̊ː	-	0.667
ɡ̊ː	j	0.333
ɪ	ə	0.872
ɪ	-	0.069
ɪ	i	0.059
ɲ	ŋ	1.0
ɹ	-	0.516
ɹ	r	0.476
ɹː	j	1.0
ʃ	ʃ	0.858
ʃ	s	0.142
ʈ	t	1.0
ʊ	-	0.868
ʊ	ə	0.103
ʎ	l	1.0
ʤ̊	j	0.581
ʤ̊	-	0.22
ʤ̊	d	0.18
ʤ̊ː	-	0.757
ʤ̊ː	d	0.212
ʧ	ɡ	0.766
ʧ	k	0.234
ʧʰ	k	0.322
ʧʰ	tʲ	0.322
ʧʰ	ʃ	0.284
ʧʰ	t	0.056
ʧː	w	1.0
ʰk	k	1.0
ʰkː	ŋ_k	0.879
ʰkː	k	0.121
ʰp	v	0.502
ʰp	b	0.299
ʰp	p	0.199
ʰpː	p	1.0
ʰt	s	0.336
ʰt	t	0.271
ʰt	d	0.258
ʰt	tʲ	0.078
ʰt	z	0.056
ʰtː	x	0.546
ʰtː	tʲ	0.264
ʰtː	t	0.19
ʰʧː	k	1.0
ˈa	ˈœ	0.279
ˈa	ˈa	0.237
ˈa	ˈɒ	0.103
ˈa	ˈuː	0.087
ˈa	ˈʊ	0.074
ˈa	ˈyː	0.056
ˈai̯	ˈiː	0.545
ˈai̯	ˈɒ	0.334
ˈai̯	ˈuː	0.092
ˈaːi̯	ˈiː	1.0
ˈeə̯	ˈɛː	1.0
ˈeː	ˈeː	0.372
ˈeː	ˈai̯	0.224
ˈeː	ˈɛː	0.121
ˈeː	ˈɒː	0.093
ˈeː	ˈu	0.064
ˈeː	ˈɛi̯	0.064
ˈeː	ˈi	0.061
ˈiː	ˈaː	0.412
ˈiː	ˈeː	0.162
ˈiː	ˈɔ	0.146
ˈiː	ˈɔu̯	0.124
ˈiː	ˈa	0.116
ˈoː	ˈuː	0.499
ˈoː	ˈɔ	0.206
ˈoː	ˈaː	0.161
ˈoː	ˈɛi̯	0.135
ˈuː	ˈɔː	0.398
ˈuː	ˈœ	0.359
ˈuː	ˈøː	0.197
ˈøː	ˈa	0.464
ˈøː	ˈɛ	0.134
ˈøː	ˈaː	0.127
ˈøː	ˈɛi̯	0.108
ˈøː	ˈɔː	0.093
ˈøː	ˈɛː	0.075
ˈœ	ˈɔː	0.453
ˈœ	ˈeː	0.205
ˈœ	-	0.072
ˈœ	ˈi	0.072
ˈœ	ˈɒ	0.072
ˈœ	ˈɔ	0.072
ˈœ	ˈœ	0.054
ˈɔ	ˈœ	0.191
ˈɔ	ˈɔ	0.166
ˈɔ	ˈeː	0.138
ˈɔ	ˈɛi̯	0.084
ˈɔ	ˈi	0.081
ˈɔ	ˈɒ	0.08
ˈɔ	ˈaː	0.057
ˈɔːi̯	ˈiː	0.712
ˈɔːi̯	ˈuː	0.288
ˈɔːu̯	ˈiː	0.376
ˈɔːu̯	ˈœ	0.341
ˈɔːu̯	ˈɒ	0.202
ˈɔːu̯	-	0.08
ˈɔ̯aː	ˈɔu̯	0.321
ˈɔ̯aː	ˈuː	0.193
ˈɔ̯aː	ˈiː	0.142
ˈɔ̯aː	ˈyː	0.137
